Model,FedTime,Amount,AssetID,CargoType,DynamicPOD,FromLocationType,FromPurpose,MissionID,MissionNum,RLN,VirtualRlnId,CCC,ToLocationType,ToPurpose,DepartTime,SqFt,MTons,NumContainers,NumItems,Hot,LoadRule,CommodityType,Consolidated
MAIN,9.15,10.5,5432112,STONS,VKNP,POE,LOAD,5432112-1,1,1:0YBPC,"",R1D,POD,UNLOAD,9.125,280,0,0,1,false,1,5,false
MAIN,9.15,10.5,5432112,STONS,VKNP,POE,LOAD,5432112-1,1,1:0YBPC,"",R1D,POD,UNLOAD,9.125,280,0,0,1,false,1,5,false
MAIN,9.15,30.0,5432112,STONS,VKNP,POE,LOAD,5432112-1,1,1:0YBPC,"",R2D,POD,UNLOAD,9.125,794.4001,0,0,6,false,1,5,false
MAIN,9.15,90.0,5432112,STONS,VKNP,POE,LOAD,5432112-1,1,1:0YBPC,"",R2D,POD,UNLOAD,9.125,2383.2,0,0,18,false,1,5,false
MAIN,15.8,4.900000095367432,7208297,STONS,APFD,POE,LOAD,7208297-1,1,1:0YBTC,"",R2D,POD,UNLOAD,15.791666984558105,97.6,0,0,1,false,1,5,false
MAIN,15.8,73.5,7208297,STONS,APFD,POE,LOAD,7208297-1,1,1:0YBTC,"",R2D,POD,UNLOAD,15.791666984558105,1464,0,0,15,false,1,5,false
MAIN,15.8,11.0,7208297,CONTAINER_20,APFD,POE,LOAD,7208297-1,1,1:0YBTC,"",J3B,POD,UNLOAD,15.791666984558105,209,0,1.8206898,0,false,20,5,false
MAIN,15.8,0.39999961853027344,7208297,CONTAINER_20,APFD,POE,LOAD,7208297-1,1,1:0YBTC,"",J3B,POD,UNLOAD,15.791666984558105,19,0,0.1793102,0,false,20,5,false
MAIN,15.8,14.700000762939453,7208297,STONS,APFD,POE,LOAD,7208297-1,1,1:0YBTC,"",R2D,POD,UNLOAD,15.791666984558105,292.8,0,0,3,false,1,5,false
MAIN,15.8,4.900000095367432,7208297,STONS,APFD,POE,LOAD,7208297-1,1,1:0YBTC,"",R2D,POD,UNLOAD,15.791666984558105,97.6,0,0,1,false,1,5,false
MAIN,15.8,4.5,7208297,STONS,APFD,POE,LOAD,7208297-1,1,1:0YBTC,"",R2D,POD,UNLOAD,15.791666984558105,98.40015,0,0,1,false,1,5,false
MAIN,15.8,4.900000095367432,7208297,STONS,APFD,POE,LOAD,7208297-1,1,1:0YBTC,"",R2D,POD,UNLOAD,15.791666984558105,97.6,0,0,1,false,1,5,false
