Model,FedTime,AssetID,AssetType,FromLocation,FromTime,MissionID,VoyageNum,Mode,ToLocation,ToTime,LoadedDraft,Visa
MAIN,9.15,5432112,RO/RO,NPTU,9.125,5432112-1,1,SEA,VKNP,41.752083,9,false
MAIN,15.8,7208297,RO/RO,QTUP,15.791667,7208297-1,1,SEA,APFD,26.7625,19,false
MAIN,16.2,6510899,T-ACS,NPTU,16.16736,6510899-1,1,SEA,VKNP,36.49271,16,false
MAIN,16.3,6817845,T-ACS,RULV,16.29236,6817845-1,1,SEA,SEA1,26.493055,16,false
MAIN,17.05,6916433,T-ACS,RRRK,17.04236,6916433-1,1,SEA,VKNP,26.715279,18,false
MAIN,17.55,7027576,RO/RO,DKSD,17.54236,7027576-1,1,SEA,VKNP,28.838888,21,false
MAIN,17.65,7302897,FSS,QTUP,17.638195,7302897-1,1,SEA,HNTS,24.544445,22,false
MAIN,17.7,7315571,FSS,ZBES,17.66736,7315571-1,1,SEA,HNTS,24.702778,23,false
MAIN,17.7,8211306,RO/RO,JTVH,17.66736,8211306-1,1,SEA,VKNP,33.208332,20,false
MAIN,18.05,0429011,RO/RO,DKSD,18.04236,0429011-1,1,SEA,HNTS,28.865973,20,false
MAIN,18.05,7909968,RO/RO,WPVT,18.04236,7909968-1,1,SEA,HNTS,42.56389,15,false
MAIN,18.3,9002037,CONT-NSS,NPTU,18.25,9002037-1,1,SEA,VKNP,35.07639,19,false
MAIN,18.5,7229423,RO/RO,DKSD,18.458334,7229423-1,1,SEA,VKNP,29.788889,23,false
MAIN,18.7,7236153,FSS,QTUP,18.66736,7236153-1,1,SEA,HNTS,25.594444,21,false
MAIN,18.8,6916861,CONT-NSS,JTVH,18.79236,6916861-1,1,SEA,VKNP,29.863194,16,false
MAIN,18.9,5170185,T-ACS,QTUP,18.875,5170185-1,1,SEA,HNTS,28.71875,17,false
MAIN,19.5,1811111,CONT-NSS,RUAM,19.477083,1811111-1,1,SEA,VKNP,26.872223,15,false
MAIN,19.9,7602247,RO/RO,DKSD,19.875,7602247-1,1,SEA,HNTS,31.355556,15,false
MAIN,19.95,7602259,RO/RO,DKSD,19.91736,7602259-1,1,SEA,VKNP,31.23889,18,false
MAIN,20.5,8211291,RO/RO,QTUP,20.481945,8211291-1,1,SEA,VKNP,32.761112,22,false
MAIN,20.55,6820579,CONT-NSS,WPVT,20.5,6820579-1,1,SEA,HNTS,39.709026,16,false
MAIN,21.1,6828624,CONT-NSS,JTVH,21.083334,6828624-1,1,SEA,VKNP,31.197222,16,false
MAIN,22.3,6913429,COMBO,DKSD,22.25,6913429-1,1,SEA,HNTS,30.399305,22,false
MAIN,22.5,7506015,RO/RO,DKSD,22.458334,7506015-1,1,SEA,VKNP,31.629168,18,false
MAIN,22.55,7050248,BARGE(T-AKB),UTAC,22.5,7050248-1,1,SEA,HNTS,40.902084,18,false
MAIN,22.6,7234430,RO/RO(T-AKR),DKSD,22.583334,7234430-1,1,SEA,HNTS,30.699306,28,false
MAIN,22.9,7224306,CONT-NSS,FQZF,22.899305,7224306-1,1,SEA,SEA1,30.738194,15,false
MAIN,23.05,7324390,RO/RO,QTUP,23,7324390-1,1,SEA,HNTS,34.02986,17,false
MAIN,23.25,7216854,RO/RO,DKSD,23.208334,7216854-1,1,SEA,VKNP,34.538887,17,false
MAIN,23.5,7634331,RO/RO,DKSD,23.458334,7634331-1,1,SEA,VKNP,36.300694,13,false
MAIN,23.8,7325253,FSS,ZBES,23.75,7325253-1,1,SEA,HNTS,30.802778,21,false
MAIN,24.4,7034335,BARGE(T-AKB),DKSD,24.35625,7034335-1,1,SEA,VKNP,32.730556,21,false
MAIN,24.65,7320411,BARGE(T-AKB),DKSD,24.625,7320411-1,1,SEA,HNTS,34.379166,19,false
MAIN,24.9,7026259,CONT-NSS,RUAM,24.890972,7026259-1,1,SEA,VKNP,32.979168,16,false
MAIN,24.95,7717171,COMBO,WPVT,24.916666,7717171-1,1,SEA,HNTS,48.15486,19,false
MAIN,25.05,7603497,RO/RO,QTUP,25.041666,7603497-1,1,SEA,HNTS,36.02986,20,false
MAIN,25.1,6905252,CONT-NSS,RUAM,25.068056,6905252-1,1,SEA,VKNP,32.809723,16,false
MAIN,25.1,7304792,BARGE(T-AKB),QTUP,25.083334,7304792-1,1,SEA,HNTS,34.425,20,false
MAIN,25.25,7635945,CONT-NSS,RUAM,25.227083,7635945-1,1,SEA,VKNP,33.735416,13,false
MAIN,26.45,8902400,CONT-NSS,QTUP,26.425694,8902400-1,1,SEA,HNTS,34.922916,14,false
MAIN,27.3,8320779,CAR TRANS,QTUP,27.25,8320779-1,1,SEA,HNTS,37.118404,22,false
MAIN,28.55,90664384,CONT-NSS,DKSD,28.538889,90664384-1,1,SEA,VKNP,39.208332,17,false
MAIN,29.05,9015204,CONT-SS,SBEQ,29,9015204-1,1,SEA,HNTS,37.397915,16,false
MAIN,29.2,7820423,RO/RO,QTUP,29.166666,7820423-1,1,SEA,HNTS,39.566666,14,false
MAIN,29.35,8419154,CONT-NSS,UTAC,29.333334,8419154-1,1,SEA,HNTS,47.702084,15,false
MAIN,29.45,8902395,CONT-NSS,QTUP,29.416666,8902395-1,1,SEA,VKNP,37.794445,14,false
MAIN,29.8,7218462,CONT-NSS,QTUP,29.791666,7218462-1,1,SEA,HNTS,38.272915,18,false
MAIN,30.05,7820411,RO/RO,SBEA,30.041666,7820411-1,1,SEA,HNTS,40.26875,15,false
MAIN,30.7,8026048,RO/RO,QTUP,30.666666,8026048-1,1,SEA,VKNP,41.513195,11,false
MAIN,30.8,7390117,RO/RO,DKSD,30.791666,7390117-1,1,SEA,HNTS,40.529167,19,false
MAIN,31.5,8221507,CONT-NSS,QTUP,31.458334,8221507-1,1,SEA,VKNP,42.992016,13,false
MAIN,32.6,7395351,RO/RO,DKSD,32.583332,7395351-1,1,SEA,VKNP,41.729168,22,false
MAIN,33.15,7224904,CONT-NSS,RUAM,33.129166,7224904-1,1,SEA,VKNP,40.859722,20,false
MAIN,33.3,8200711,CONT-NSS,ZBES,33.25,8200711-1,1,SEA,HNTS,43.27222,19,false
MAIN,33.4,9125592,VISA CONT,RUAM,33.37847,9125592-1,1,SEA,SEA1,40.554516,20,false
