Model,FedTime,AssetID,MissionID,AssetLocation,AssetType,LocationType,ReleaseTime,BerthName,Contam
MAIN,9.15,5432112,5432112-1,NPTU,RO/RO,POE,9.125,LONG BEACH berth group-NPTU,false
MAIN,15.8,7208297,7208297-1,QTUP,RO/RO,POE,15.791667,MOREHEAD CITY BG-QTUP -19792,false
MAIN,16.2,6510899,6510899-1,NPTU,T-ACS,POE,16.16736,LONG BEACH berth group-NPTU,false
MAIN,16.3,6817845,6817845-1,RULV,T-ACS,POE,16.29236,NEWPORT NEWS berth group-RULV,false
MAIN,17.05,6916433,6916433-1,RRRK,T-ACS,POE,17.04236,NEW YORK berth group-RRRK,false
MAIN,17.55,7027576,7027576-1,DKSD,RO/RO,POE,17.54236,Charleston-DKSD Terminal-19777,false
MAIN,17.65,7302897,7302897-1,QTUP,FSS,POE,17.638195,MOREHEAD CITY BG-QTUP -19792,false
MAIN,17.7,7315571,7315571-1,ZBES,FSS,POE,17.66736,WILMINGTON berth group-ZBES,false
MAIN,17.7,8211306,8211306-1,JTVH,RO/RO,POE,17.66736,GULFPORT BG-JTVH Terminal-19783,false
MAIN,18.05,0429011,0429011-1,DKSD,RO/RO,POE,18.04236,Charleston-DKSD Terminal-19777,false
MAIN,18.05,7909968,7909968-1,WPVT,RO/RO,POE,18.04236,TACOMA berth group-WPVT,false
MAIN,18.3,9002037,9002037-1,NPTU,CONT-NSS,POE,18.25,LONG BEACH berth group-NPTU,false
MAIN,18.5,7229423,7229423-1,DKSD,RO/RO,POE,18.458334,Charleston-DKSD Terminal-19777,false
MAIN,18.7,7236153,7236153-1,QTUP,FSS,POE,18.66736,MOREHEAD CITY BG-QTUP -19792,false
MAIN,18.8,6916861,6916861-1,JTVH,CONT-NSS,POE,18.79236,GULFPORT BG-JTVH Terminal-19783,false
MAIN,18.9,5170185,5170185-1,QTUP,T-ACS,POE,18.875,MOREHEAD CITY BG-QTUP -19792,false
MAIN,19.5,1811111,1811111-1,RUAM,CONT-NSS,POE,19.477083,Unconstrained,false
MAIN,19.9,7602247,7602247-1,DKSD,RO/RO,POE,19.875,Charleston-DKSD Terminal-19777,false
MAIN,19.95,7602259,7602259-1,DKSD,RO/RO,POE,19.91736,Charleston-DKSD Terminal-19777,false
MAIN,20.5,8211291,8211291-1,QTUP,RO/RO,POE,20.481945,MOREHEAD CITY BG-QTUP -19792,false
MAIN,20.55,6820579,6820579-1,WPVT,CONT-NSS,POE,20.5,TACOMA berth group-WPVT,false
MAIN,21.1,6828624,6828624-1,JTVH,CONT-NSS,POE,21.083334,GULFPORT BG-JTVH Terminal-19783,false
MAIN,22.3,6913429,6913429-1,DKSD,COMBO,POE,22.25,Charleston-DKSD Terminal-19777,false
MAIN,22.5,7506015,7506015-1,DKSD,RO/RO,POE,22.458334,Charleston-DKSD Terminal-19777,false
MAIN,22.55,7050248,7050248-1,UTAC,BARGE(T-AKB),POE,22.5,SAN DIEGO berth group-UTAC,false
MAIN,22.6,7234430,7234430-1,DKSD,RO/RO(T-AKR),POE,22.583334,Charleston-DKSD Terminal-19777,false
MAIN,22.9,7224306,7224306-1,FQZF,CONT-NSS,POE,22.899305,Unconstrained,false
MAIN,23.05,7324390,7324390-1,QTUP,RO/RO,POE,23,MOREHEAD CITY BG-QTUP -19792,false
MAIN,23.25,7216854,7216854-1,DKSD,RO/RO,POE,23.208334,Charleston-DKSD Terminal-19777,false
MAIN,23.5,7634331,7634331-1,DKSD,RO/RO,POE,23.458334,Charleston-DKSD Terminal-19777,false
MAIN,23.8,7325253,7325253-1,ZBES,FSS,POE,23.75,WILMINGTON berth group-ZBES,false
MAIN,24.4,7034335,7034335-1,DKSD,BARGE(T-AKB),POE,24.35625,Charleston-DKSD Terminal-19777,false
MAIN,24.65,7320411,7320411-1,DKSD,BARGE(T-AKB),POE,24.625,Charleston-DKSD Terminal-19777,false
MAIN,24.9,7026259,7026259-1,RUAM,CONT-NSS,POE,24.890972,Unconstrained,false
MAIN,24.95,7717171,7717171-1,WPVT,COMBO,POE,24.916666,TACOMA berth group-WPVT,false
MAIN,25.05,7603497,7603497-1,QTUP,RO/RO,POE,25.041666,MOREHEAD CITY BG-QTUP -19792,false
MAIN,25.1,6905252,6905252-1,RUAM,CONT-NSS,POE,25.068056,Unconstrained,false
MAIN,25.1,7304792,7304792-1,QTUP,BARGE(T-AKB),POE,25.083334,MOREHEAD CITY BG-QTUP -19792,false
MAIN,25.25,7635945,7635945-1,RUAM,CONT-NSS,POE,25.227083,Unconstrained,false
MAIN,25.95,7302897,7302897-1,HNTS,FSS,POD,25.916666,BG Gabes berth1,false
MAIN,26.45,8902400,8902400-1,QTUP,CONT-NSS,POE,26.425694,MOREHEAD CITY BG-QTUP -19792,false
MAIN,26.55,6817845,6817845-1,SEA1,T-ACS,POD,26.541666,N/A,false
MAIN,26.85,7236153,7236153-1,HNTS,FSS,POD,26.833334,BG Gabes berth2,false
MAIN,27,7315571,7315571-1,HNTS,FSS,POD,26.958334,BG Gabes berth1,false
MAIN,27.2,6916433,6916433-1,VKNP,T-ACS,POD,27.166666,BG Safaqis cont-1 berth,false
MAIN,27.25,1811111,1811111-1,VKNP,CONT-NSS,POD,27.208334,BG Safaqis cont-2 berth,false
MAIN,27.3,8320779,8320779-1,QTUP,CAR TRANS,POE,27.25,MOREHEAD CITY BG-QTUP -19792,false
MAIN,28.55,90664384,90664384-1,DKSD,CONT-NSS,POE,28.538889,Charleston-DKSD Terminal-19777,false
MAIN,29.05,9015204,9015204-1,SBEQ,CONT-SS,POE,29,SBEQ,false
MAIN,29.05,5170185,5170185-1,HNTS,T-ACS,POD,29.041666,BG Gabes berth1,false
MAIN,29.2,7820423,7820423-1,QTUP,RO/RO,POE,29.166666,MOREHEAD CITY BG-QTUP -19792,false
MAIN,29.35,8419154,8419154-1,UTAC,CONT-NSS,POE,29.333334,SAN DIEGO berth group-UTAC,false
MAIN,29.45,8902395,8902395-1,QTUP,CONT-NSS,POE,29.416666,MOREHEAD CITY BG-QTUP -19792,false
MAIN,29.5,7208297,7208297-1,APFD,RO/RO,POD,29.489584,InStreamAnchor1,false
MAIN,29.8,7218462,7218462-1,QTUP,CONT-NSS,POE,29.791666,MOREHEAD CITY BG-QTUP -19792,false
MAIN,30.05,7820411,7820411-1,SBEA,RO/RO,POE,30.041666,NORFOLK berth group-SBEA,false
MAIN,30.1,6916861,6916861-1,VKNP,CONT-NSS,POD,30.083334,BG Safaqis cont-2 berth,false
MAIN,30.25,0429011,0429011-1,HNTS,RO/RO,POD,30.208334,BG Gabes berth1,false
MAIN,30.7,8026048,8026048-1,QTUP,RO/RO,POE,30.666666,MOREHEAD CITY BG-QTUP -19792,false
MAIN,30.8,7390117,7390117-1,DKSD,RO/RO,POE,30.791666,Charleston-DKSD Terminal-19777,false
MAIN,30.85,7224306,7224306-1,SEA1,CONT-NSS,POD,30.833334,N/A,false
MAIN,30.95,6913429,6913429-1,HNTS,COMBO,POD,30.916666,BG Gabes berth1,false
MAIN,31.05,7229423,7229423-1,VKNP,RO/RO,POD,31,BG Safaqis cont-1 berth,false
MAIN,31.4,7027576,7027576-1,VKNP,RO/RO,POD,31.375,BG Safaqis cont-1 berth,false
MAIN,31.45,6828624,6828624-1,VKNP,CONT-NSS,POD,31.416666,BG Safaqis cont-1 berth,false
MAIN,31.5,8221507,8221507-1,QTUP,CONT-NSS,POE,31.458334,MOREHEAD CITY BG-QTUP -19792,false
MAIN,32,7506015,7506015-1,VKNP,RO/RO,POD,31.958334,BG Safaqis cont-1 berth,false
MAIN,32.05,7325253,7325253-1,HNTS,FSS,POD,32,BG Gabes berth1,false
MAIN,32.05,7602247,7602247-1,HNTS,RO/RO,POD,32.041668,BG Gabes berth1,false
MAIN,32.6,7395351,7395351-1,DKSD,RO/RO,POE,32.583332,Charleston-DKSD Terminal-19777,false
MAIN,33.05,7234430,7234430-1,HNTS,RO/RO(T-AKR),POD,33.041668,BG Gabes berth1,false
MAIN,33.1,7034335,7034335-1,VKNP,BARGE(T-AKB),POD,33.083332,BG Safaqis cont-1 berth,false
MAIN,33.15,7224904,7224904-1,RUAM,CONT-NSS,POE,33.129166,Unconstrained,false
MAIN,33.2,6905252,6905252-1,VKNP,CONT-NSS,POD,33.166668,BG Safaqis cont-2 berth,false
MAIN,33.3,8200711,8200711-1,ZBES,CONT-NSS,POE,33.25,WILMINGTON berth group-ZBES,false
MAIN,33.35,7026259,7026259-1,VKNP,CONT-NSS,POD,33.333332,BG Safaqis cont-1 berth,false
MAIN,33.4,9125592,9125592-1,RUAM,VISA CONT,POE,33.37847,Unconstrained,false
MAIN,33.55,7602259,7602259-1,VKNP,RO/RO,POD,33.5,BG Safaqis cont-2 berth,false
MAIN,33.55,7334204,7334204-1,SBEA,COMBO,POE,33.541668,NORFOLK berth group-SBEA,false
MAIN,33.55,8211291,8211291-1,VKNP,RO/RO,POD,33.541668,BG Safaqis cont-1 berth,false
MAIN,33.6,8412869,8412869-1,DKSD,RO/RO,POE,33.583332,Charleston-DKSD Terminal-19777,false
MAIN,33.75,8221545,8221545-1,FQZF,CONT-SS,POE,33.738888,Unconstrained,false
MAIN,34.05,7635945,7635945-1,VKNP,CONT-NSS,POD,34,BG Safaqis cont-1 berth,false
MAIN,34.85,7617905,7617905-1,AVBU,CONT-NSS,POE,34.84722,Unconstrained,false
MAIN,35.05,7304792,7304792-1,HNTS,BARGE(T-AKB),POD,35,BG Gabes berth2,false
MAIN,35.05,7320411,7320411-1,HNTS,BARGE(T-AKB),POD,35.041668,BG Gabes berth1,false
MAIN,35.15,7216854,7216854-1,VKNP,RO/RO,POD,35.125,BG Safaqis cont-1 berth,false
MAIN,35.25,8902400,8902400-1,HNTS,CONT-NSS,POD,35.208332,BG Gabes berth2,false
MAIN,35.25,8211306,8211306-1,VKNP,RO/RO,POD,35.208332,BG Safaqis cont-2 berth,false
MAIN,35.3,7324390,7324390-1,HNTS,RO/RO,POD,35.291668,BG Gabes berth1,false
MAIN,35.3,9002037,9002037-1,VKNP,CONT-NSS,POD,35.291668,BG Safaqis cont-1 berth,false
MAIN,36.25,5386605,5386605-1,NPTU,T-ACS,POE,36.208332,LONG BEACH berth group-NPTU,false
MAIN,36.75,6510899,6510899-1,VKNP,T-ACS,POD,36.708332,BG Safaqis cont-1 berth,false
MAIN,36.95,7634331,7634331-1,VKNP,RO/RO,POD,36.916668,BG Safaqis cont-1 berth,false
MAIN,37.45,7603497,7603497-1,HNTS,RO/RO,POD,37.416668,BG Gabes berth1,false
MAIN,37.65,7233278,7233278-1,UTAC,CONT-NSS,POE,37.625,SAN DIEGO berth group-UTAC,false
MAIN,37.7,9015204,9015204-1,HNTS,CONT-SS,POD,37.666668,BG Gabes berth1,false
MAIN,37.85,8320779,8320779-1,HNTS,CAR TRANS,POD,37.833332,BG Gabes berth1,false
MAIN,37.95,6708379,6708379-1,UTAC,CONT-NSS,POE,37.916668,SAN DIEGO berth group-UTAC,false
MAIN,38.05,8902395,8902395-1,VKNP,CONT-NSS,POD,38,BG Safaqis cont-1 berth,false
