Model,FedTime,NumShipsOnBerth,NumShipsWaitingToBerth,Longitude,Latitude,Geoloc,Name,Capability
MAIN,-2,0,0,-66.0,40.0,00A1,NW ATLANTIC,1
MAIN,-2,0,0,75.0,-15.0,00IO,INDIAN OCEAN,1
MAIN,-2,0,0,6.0,40.0,00XT,WESTERN MED,1
MAIN,-2,0,0,-4.016666889190674,5.25,AAPV,ABIDJAN,1
MAIN,-2,0,0,50.099998474121094,26.433332443237305,ABFL,AD DAMMAM,1
MAIN,-2,0,0,50.599998474121094,26.200000762939453,ADKH,AL BAHRAYN MINA S,1
MAIN,-2,0,0,11.050000190734863,35.5,ADLS,AL MAHDIYAH,1
MAIN,-2,0,0,29.899999618530273,31.183332443237305,AELU,ALEXANDRIA,1
MAIN,-2,0,0,-5.449999809265137,36.13333511352539,AEQT,ALGECIRAS,1
MAIN,-2,0,0,13.5,43.61666488647461,AJGX,ANCONA,1
MAIN,-2,0,0,4.333333492279053,51.266666412353516,ALRF,ANTWERP,1
MAIN,-2,0,0,144.61666870117188,13.449999809265137,AMCQ,APRA HARBOR,1
MAIN,-2,0,0,10.149999618530273,34.31666564941406,APFD,AS SUKHAYRAH,1
MAIN,-2,0,0,47.91666793823242,29.350000381469727,APGW,ASH SHUWAIKH COMM,1
MAIN,-2,0,0,-76.58333587646484,39.266666412353516,AVBU,BALTIMORE OUTPORT,1
MAIN,-2,0,0,2.1666667461395264,41.349998474121094,AVYX,BARCELONA,1
MAIN,-2,0,0,-94.08333587646484,30.08333396911621,BBNQ,BEAUMONT T2,1
MAIN,-2,0,0,-94.08333587646484,30.08333396911621,BBNV,BEAUMONT,1
MAIN,-2,0,0,67.33333587646484,24.766666412353516,BQWA,MUHAMMAD QASIM,1
MAIN,-2,0,0,9.899999618530273,37.28333282470703,BSRL,BIZERTE,1
MAIN,-2,0,0,8.550000190734863,53.54999923706055,CHCY,BREMERHAVEN,1
MAIN,-2,0,0,-6.2841668128967285,36.38333511352539,CWCP,CADIZ,1
MAIN,-2,0,0,124.6500015258789,8.5,CWGV,CAGAYAN DE ORO,1
MAIN,-2,0,0,-79.91666412353516,32.78333282470703,DKSD,CHARLESTON,1
MAIN,-2,0,0,128.6666717529297,35.13333511352539,DRUG,CHINHAE,1
MAIN,-2,0,0,79.8499984741211,6.933333396911621,EDME,COLOMBO,1
MAIN,-2,0,0,-121.93333435058594,37.93333435058594,EGNN,CONCORD,1
MAIN,-2,0,0,-97.4000015258789,27.816667556762695,ENCN,CORPUS CHRISTI NA,1
MAIN,-2,0,0,-17.433332443237305,14.683333396911621,EZMU,DAKAR,1
MAIN,-2,0,0,72.46666717529297,-7.349999904632568,FGDB,DIEGO GARCIA EAST,1
MAIN,-2,0,0,72.40555572509766,-7.255555629730225,FGDD,DIEGO GARCIA,1
MAIN,-2,0,0,10.833333015441895,33.83333206176758,FGTW,DJERBA,1
MAIN,-2,0,0,55.266666412353516,25.25,FMAZ,DUBAI,1
MAIN,-2,0,0,30.96666717529297,-29.96666717529297,FNLD,DURBAN,1
MAIN,-2,0,0,-166.60000610351562,53.91666793823242,FNSH,DUTCH HARBOR,1
MAIN,-2,0,0,-74.5999984741211,40.016666412353516,FQZF,EARLE NWS,1
MAIN,-2,0,0,1.3166667222976685,51.95000076293945,GPEN,FELIXSTOWE,1
MAIN,-2,0,0,4.866666793823242,43.400001525878906,GWZP,FOS,1
MAIN,-2,0,0,-95.4000015258789,29.0,HAGC,FREEPORT,1
MAIN,-2,0,0,56.29999923706055,25.08333396911621,HMGB,FUJAIRAH,1
MAIN,-2,0,0,10.116666793823242,33.849998474121094,HNTS,GABES,1
MAIN,-2,0,0,8.833333015441895,44.41666793823242,HUPR,GENOVA,1
MAIN,-2,0,0,0.38333332538604736,51.45000076293945,JJRP,GRAVESEND,1
MAIN,-2,0,0,144.9277801513672,13.58055591583252,JSSN,GUAM PORT,1
MAIN,-2,0,0,-89.08333587646484,30.350000381469727,JTVH,GULFPORT,1
MAIN,-2,0,0,35.03333282470703,32.79999923706055,JWJY,HAIFA,1
MAIN,-2,0,0,130.39999389648438,33.599998474121094,JWTD,HAKATA,1
MAIN,-2,0,0,-63.58333206176758,44.650001525878906,JXKM,HALIFAX,1
MAIN,-2,0,0,9.949999809265137,53.53333282470703,JYPN,HAMBURG,1
MAIN,-2,0,0,114.13333129882812,22.233333587646484,KZPH,HONG KONG ABERDEE,1
MAIN,-2,0,0,-157.9499969482422,21.33333396911621,KZTZ,HONOLULU,1
MAIN,-2,0,0,-95.41666412353516,29.75,LCMT,HOUSTON,1
MAIN,-2,0,0,-122.75,48.07500076293945,LKPE,INDIAN ISLAND,1
MAIN,-2,0,0,27.129722595214844,38.42388916015625,LRNC,IZMIR,1
MAIN,-2,0,0,-81.66666412353516,30.33333396911621,LSGM,JACKSONVILLE,1
MAIN,-2,0,0,39.20000076293945,21.5,LUTP,JEDDAH,1
MAIN,-2,0,0,49.66666793823242,27.0,LWEV,JUBAIL PORT,1
MAIN,-2,0,0,70.21666717529297,23.016666412353516,LYAP,KANDLA,1
MAIN,-2,0,0,120.36666870117188,22.600000381469727,LYRV,KAOHSIUNG TSOYING,1
MAIN,-2,0,0,66.98332977294922,24.78333282470703,LYTM,KARACHI,1
MAIN,-2,0,0,135.1999969482422,34.66666793823242,MKAG,KOBE,1
MAIN,-2,0,0,13.733333587646484,45.54999923706055,MLDL,KOPER,1
MAIN,-2,0,0,127.64666748046875,34.89444351196289,MMGH,KWANGYANG,1
MAIN,-2,0,0,0.11666666716337204,49.46666717529297,MZJK,LE HAVRE,1
MAIN,-2,0,0,10.300000190734863,43.56666564941406,NBDY,LIVORNO,1
MAIN,-2,0,0,-3.0,53.41666793823242,NLFL,LIVERPOOL,1
MAIN,-2,0,0,1.25,6.166666507720947,NNWH,LOME,1
MAIN,-2,0,0,-118.18333435058594,33.766666412353516,NPTU,LONG BEACH,1
MAIN,-2,0,0,-118.26667022705078,33.71666717529297,NSAN,LOS ANGELES,1
MAIN,-2,0,0,120.96666717529297,14.583333015441895,PAXM,MANILA,1
MAIN,-2,0,0,-104.31666564941406,19.03333282470703,PCFC,MANZANILLO,1
MAIN,-2,0,0,-79.88361358642578,9.363333702087402,PCFG,MANZANILLO,1
MAIN,-2,0,0,128.56666564941406,35.18333435058594,PKVP,MASAN,1
MAIN,-2,0,0,-81.43333435058594,30.399999618530273,PPSH,MAYPORT NAVAL ST,1
MAIN,-2,0,0,-80.18333435058594,25.78333282470703,QCFF,MIAMI,1
MAIN,-2,0,0,55.04999923706055,24.983333587646484,QHPB,JEBEL ALI,1
MAIN,-2,0,0,56.04999923706055,25.96666717529297,QHPD,MINA SAQR,1
MAIN,-2,0,0,54.36666488647461,24.516666412353516,QHPF,MINA ZAYED,1
MAIN,-2,0,0,126.38333129882812,34.78333282470703,QNPW,MOKPO,1
MAIN,-2,0,0,-76.67583465576172,34.65277862548828,QTUP,MOREHEAD CITY,1
MAIN,-2,0,0,58.63333511352539,23.616666793823242,RCYQ,MUSCAT,1
MAIN,-2,0,0,58.599998474121094,23.616666793823242,RCYT,MUSCAT,1
MAIN,-2,0,0,136.86666870117188,35.04999923706055,RELG,NAGOYA,1
MAIN,-2,0,0,127.67166900634766,26.205278396606445,REPV,NAHA,1
MAIN,-2,0,0,14.266666412353516,40.83333206176758,RGJW,NAPLES,1
MAIN,-2,0,0,-90.01667022705078,29.950000762939453,RQNK,NEW ORLEANS,1
MAIN,-2,0,0,-74.03333282470703,40.71666717529297,RRHU,NEW YORK,1
MAIN,-2,0,0,-73.96666717529297,40.66666793823242,RRRK,NEW YORK PORT EMB,1
MAIN,-2,0,0,-71.33333587646484,41.5,RUAM,NEWPORT,1
MAIN,-2,0,0,-71.33333587646484,41.5,RUAQ,NEWPORT T2,1
MAIN,-2,0,0,-76.4000015258789,37.0,RULV,NEWPORT NEWS,1
MAIN,-2,0,0,-76.32749938964844,36.90999984741211,SBEA,NORFOLK,1
MAIN,-2,0,0,-76.28333282470703,36.93333435058594,SBEQ,NORFOLK T2,1
