Model,FedTime,Key,NumShipsOnBerth,NumShipsWaitingToBerth,Capability
MAIN,9,NPTU,1,0,1
MAIN,10,NPTU,0,0,1
MAIN,15,QTUP,1,0,1
MAIN,16,DKSD,1,0,1
MAIN,16,NPTU,1,0,1
MAIN,16,QTUP,0,0,1
MAIN,16,ZBES,1,0,1
MAIN,17,DKSD,2,0,1
MAIN,17,JTVH,1,0,1
MAIN,17,NPTU,0,0,1
MAIN,17,QTUP,2,0,1
MAIN,17,RRRK,1,0,1
MAIN,18,JTVH,0,0,1
MAIN,18,QTUP,1,0,1
MAIN,18,RRRK,0,0,1
MAIN,18,WPVT,1,0,1
MAIN,18,ZBES,0,0,1
MAIN,19,DKSD,1,0,1
MAIN,19,QTUP,0,0,1
MAIN,19,WPVT,0,0,1
MAIN,20,DKSD,0,0,1
MAIN,20,QTUP,1,0,1
MAIN,21,DKSD,1,0,1
MAIN,21,JTVH,1,0,1
MAIN,21,QTUP,0,0,1
MAIN,22,DKSD,2,0,1
MAIN,22,JTVH,0,0,1
MAIN,22,QTUP,1,0,1
MAIN,23,ZBES,1,0,1
MAIN,24,ZBES,0,0,1
MAIN,25,DKSD,0,0,1
MAIN,25,HNTS,2,0,1
MAIN,25,QTUP,2,0,1
MAIN,26,QTUP,0,0,1
MAIN,27,APFD,1,0,1
MAIN,27,HNTS,0,0,1
MAIN,27,QTUP,1,0,1
MAIN,27,VKNP,2,0,1
MAIN,28,QTUP,0,0,1
MAIN,28,VKNP,0,0,1
MAIN,29,HNTS,2,0,1
MAIN,29,QTUP,1,0,1
MAIN,29,SBEQ,1,0,1
MAIN,29,VKNP,1,0,1
MAIN,30,APFD,0,0,1
MAIN,30,DKSD,1,0,1
MAIN,30,HNTS,1,0,1
MAIN,30,SBEA,1,0,1
MAIN,30,SBEQ,0,0,1
MAIN,30,VKNP,3,0,1
MAIN,31,HNTS,2,0,1
MAIN,31,QTUP,0,0,1
MAIN,31,SBEA,0,0,1
MAIN,31,VKNP,2,0,1
MAIN,32,HNTS,3,0,1
MAIN,32,SBEA,1,0,1
MAIN,32,VKNP,1,0,1
MAIN,33,HNTS,1,0,1
MAIN,33,VKNP,4,0,1
MAIN,34,DKSD,0,0,1
MAIN,34,HNTS,0,0,1
MAIN,34,SBEA,0,0,1
MAIN,34,VKNP,2,0,1
MAIN,35,HNTS,3,1,1
MAIN,36,HNTS,0,0,1
MAIN,36,VKNP,0,0,1
MAIN,37,HNTS,1,0,1
MAIN,38,HNTS,0,0,1
MAIN,38,VKNP,1,0,1
MAIN,39,VKNP,0,0,1
MAIN,40,HNTS,1,0,1
MAIN,41,DKSD,1,0,1
MAIN,41,HNTS,3,0,1
MAIN,41,RRRK,1,0,1
MAIN,41,VKNP,1,0,1
MAIN,42,DKSD,0,0,1
MAIN,42,HNTS,2,0,1
MAIN,42,RRRK,0,0,1
MAIN,42,VKNP,3,0,1
MAIN,43,HNTS,1,0,1
MAIN,43,QTUP,1,0,1
MAIN,43,VKNP,1,0,1
MAIN,44,QTUP,0,0,1
MAIN,44,VKNP,0,0,1
MAIN,45,HNTS,0,0,1
MAIN,46,QTUP,1,0,1
MAIN,46,VKNP,2,0,1
MAIN,47,QTUP,0,0,1
MAIN,47,SBEA,1,0,1
MAIN,47,VKNP,0,0,1
MAIN,48,SBEA,0,0,1
MAIN,51,VKNP,1,0,1
MAIN,53,HNTS,1,0,1
MAIN,53,VKNP,0,0,1
MAIN,54,HNTS,0,0,1
MAIN,56,HNTS,1,0,1
MAIN,57,HNTS,0,0,1
MAIN,59,HNTS,1,0,1
MAIN,60,HNTS,0,0,1
MAIN,62,VKNP,2,0,1
MAIN,63,VKNP,0,0,1
MAIN,70,VKNP,1,0,1
MAIN,71,VKNP,0,0,1
MAIN,77,VKNP,1,0,1
MAIN,81,VKNP,0,0,1
MAIN,88,VKNP,1,0,1
MAIN,89,VKNP,0,0,1
MAIN,92,VKNP,1,0,1
MAIN,93,VKNP,0,0,1
MAIN,96,VKNP,1,0,1
MAIN,97,VKNP,0,0,1
MAIN,99,VKNP,1,0,1
MAIN,100,VKNP,0,0,1
MAIN,102,VKNP,1,0,1
MAIN,103,RRRK,1,0,1
MAIN,104,RRRK,0,0,1
MAIN,105,VKNP,0,0,1
MAIN,113,RUAQ,1,0,1
MAIN,114,RUAQ,0,0,1
MAIN,118,VKNP,1,0,1
MAIN,119,VKNP,0,0,1
MAIN,127,RRRK,1,0,1
MAIN,128,RRRK,0,0,1
MAIN,133,VKNP,1,0,1
MAIN,134,VKNP,0,0,1
MAIN,145,VKNP,1,0,1
MAIN,146,VKNP,0,0,1
MAIN,169,VKNP,1,0,1
MAIN,170,VKNP,0,0,1
MAIN,173,VKNP,1,0,1
MAIN,177,VKNP,0,0,1
