Model,FedTime,VisaShip,Length,PositionUpdateTime,ShipStatus,ShipType,Longitude,Latitude,AssetID,AssetName,Beam,Draft,Speed,CargoDeadWeight,AreaCapacity,VolumeCapacity,PaxCapacity,PolCapacity,ContainerCapacity,RoroTransferRate,SelfSustaining
AMP,-2,false,696,0,AT_INITIAL_POSITION,RO/RO,-90.05000305175781,29.950000762939453,0429011,CAPE KENNEDY,106,35,18,23725,148327,0,0,0,0,4600,NO
AMP,-2,false,950,0,AT_INITIAL_POSITION,RO/RO(T-AKR),-90.05000305175781,29.950000762939453,1000050,MENDONCA (T-AKR 303),105,35,24,21143,391000,0,0,0,0,9000,NO
AMP,-2,false,950,0,AT_INITIAL_POSITION,RO/RO(T-AKR),-76.30000305175781,36.849998474121094,1000053,FISHER (T-AKR 301),105,34,24,21143,391000,0,0,0,0,9000,NO
AMP,-2,false,950,0,AT_INITIAL_POSITION,RO/RO(T-AKR),-79.91670227050781,32.78329849243164,1000054,SEAY (T-AKR 302),105,34,24,21143,391000,0,0,0,0,9000,NO
AMP,-2,false,950,0,AT_INITIAL_POSITION,RO/RO(T-AKR),-90.05000305175781,29.950000762939453,1000059,(T-AKR 306),105,35,24,21143,391000,0,0,0,0,9000,NO
AMP,-2,false,950,0,AT_INITIAL_POSITION,RO/RO(T-AKR),-76.58329772949219,39.28329849243164,1100021,PILILAAU (T-AKR 304),105,35,24,21143,391000,0,0,0,0,9000,NO
AMP,-2,false,950,0,AT_INITIAL_POSITION,RO/RO(T-AKR),-76.58329772949219,39.28329849243164,1100022,BRITTIN (T-AKR 305),105,35,24,21143,391000,0,0,0,0,9000,NO
AMP,-2,false,950,0,AT_INITIAL_POSITION,VISA CONT,0.0,0.0,1234567,APL-AEX-1 (H55),106,46,22,51146,0,0,0,0,4800,0,NO
AMP,-2,false,700,0,AT_INITIAL_POSITION,VISA CONT,0.0,0.0,1234568,APL-AGC-1 (M18),90,32,14,15983,0,0,0,0,1500,0,NO
AMP,-2,false,400,0,AT_INITIAL_POSITION,VISA CONT,0.0,0.0,1234569,APL-BGO-1 (M16),60,22,14,11282,0,0,0,0,600,0,NO
AMP,-2,false,400,0,AT_INITIAL_POSITION,VISA CONT,0.0,0.0,1234570,APL-BGO-2 (M16),60,22,14,11282,0,0,0,0,600,0,NO
AMP,-2,false,804,0,AT_INITIAL_POSITION,VISA CONT,0.0,0.0,1234571,APL-WAX-1 (A38),106,40,22,40491,0,0,0,0,3800,0,NO
AMP,-2,false,831,0,AT_INITIAL_POSITION,VISA CONT,0.0,0.0,1234572,APL-WAX-1 (K10),106,38,22,34097,0,0,0,0,3200,0,NO
AMP,-2,false,830,0,AT_INITIAL_POSITION,VISA CONT,0.0,0.0,1234573,APL-WAX-1 (M22),106,38,21,31966,0,0,0,0,3000,0,NO
AMP,-2,false,830,0,AT_INITIAL_POSITION,VISA CONT,0.0,0.0,1234574,AOL-WAX-2 (M22),106,38,21,31966,0,0,0,0,3000,0,NO
AMP,-2,false,400,0,AT_INITIAL_POSITION,VISA CONT,0.0,0.0,1234575,APL-WIX-1 (M15),60,22,13,9402,0,0,0,0,500,0,NO
AMP,-2,false,400,0,AT_INITIAL_POSITION,VISA CONT,0.0,0.0,1234576,APL-WIX-2 (M15),60,22,13,9402,0,0,0,0,500,0,NO
AMP,-2,false,812,0,AT_INITIAL_POSITION,CONT-NSS,-73.4000015258789,38.900001525878906,1811111,SEA-LAND PRODUCER,90,31,23,25730,0,0,0,0,1468,0,NO
AMP,-2,false,812,0,AT_INITIAL_POSITION,VISA CONT,-78.80000305175781,26.466699600219727,1811113,SEA-LAND INNOVATOR,90,33,22,30341,0,0,0,0,2306,0,NO
AMP,-2,false,572,0,AT_INITIAL_POSITION,CLF,-76.43329620361328,36.96670150756836,5004245,CAPE ANN,75,31,19,8800,11247,16427,0,7264,0,1800,NO
AMP,-2,false,572,0,AT_INITIAL_POSITION,CLF,-76.43329620361328,36.96670150756836,5004257,CAPE ALEXANDER,75,31,19,8800,11247,16467,0,7264,0,1800,NO
AMP,-2,false,572,0,AT_INITIAL_POSITION,CLF,-76.58329772949219,39.28329849243164,5004283,CAPE ARCHWAY,75,31,19,8800,11247,16467,0,7264,0,1800,NO
AMP,-2,false,572,0,AT_INITIAL_POSITION,CLF,-76.58329772949219,39.28329849243164,5004398,CAPE AVINOF,75,31,19,8800,11247,16467,0,7264,0,1800,NO
AMP,-2,false,565,0,AT_INITIAL_POSITION,CLF,-95.2833023071289,30.066699981689453,5056274,CAPE JOHN (SANTA ANA),76,31,18,9740,13568,19540,0,4736,0,1800,NO
AMP,-2,false,565,0,AT_INITIAL_POSITION,CLF,-122.31669616699219,37.79999923706055,5057931,CAPE JACOB (CALIFORNIA),76,32,18,9740,13568,19540,0,4736,0,1800,NO
AMP,-2,false,565,0,AT_INITIAL_POSITION,CLF,-76.30000305175781,36.849998474121094,5144485,CAPE JUBY,76,32,18,9740,13226,18310,0,4736,0,1800,NO
AMP,-2,false,668,0,AT_INITIAL_POSITION,T-ACS,-95.2833023071289,29.75,5170185,DIAMOND STATE (TACS 7),76,33,19,9400,28100,0,0,0,182,0,NO
AMP,-2,false,565,0,AT_INITIAL_POSITION,CLF,-76.58329772949219,39.28329849243164,5215753,CAPE JOHNSON,76,32,18,9740,13226,18310,0,4736,0,1800,NO
AMP,-2,false,565,0,AT_INITIAL_POSITION,PAX,-74.0,40.0,5264510,EMPIRE STATE,76,32,20,12062,0,17200,1900,0,0,0,NO
