Model,FedTime,AssetID,VoyageNum,MissionID,AssetLocation,AssetType,LocationType,BerthName,BerthTime
MAIN,8.9,5432112,1,5432112-1,NPTU,RO/RO,POE,LONG BEACH berth group-NPTU,8.96180534362793
MAIN,14.5,7208297,1,7208297-1,QTUP,RO/RO,POE,MOREHEAD CITY BG-QTUP -19792,14.574999809265137
MAIN,15.1,7027576,1,7027576-1,DKSD,RO/RO,POE,Charleston-DKSD Terminal-19777,15.133333206176758
MAIN,15.45,7315571,1,7315571-1,ZBES,FSS,POE,WILMINGTON berth group-ZBES,15.515277862548828
MAIN,16,6510899,1,6510899-1,NPTU,T-ACS,POE,LONG BEACH berth group-NPTU,16.066667556762695
MAIN,16.05,7236153,1,7236153-1,QTUP,FSS,POE,MOREHEAD CITY BG-QTUP -19792,16.08333396911621
MAIN,16.05,7302897,1,7302897-1,QTUP,FSS,POE,MOREHEAD CITY BG-QTUP -19792,16.08333396911621
MAIN,16.1,6817845,1,6817845-1,RULV,T-ACS,POE,NEWPORT NEWS berth group-RULV,16.176389694213867
MAIN,16.45,8211306,1,8211306-1,JTVH,RO/RO,POE,GULFPORT BG-JTVH Terminal-19783,16.488889694213867
MAIN,16.65,6916433,1,6916433-1,RRRK,T-ACS,POE,NEW YORK berth group-RRRK,16.71979331970215
MAIN,16.75,0429011,1,0429011-1,DKSD,RO/RO,POE,Charleston-DKSD Terminal-19777,16.818750381469727
MAIN,17.1,7229423,1,7229423-1,DKSD,RO/RO,POE,Charleston-DKSD Terminal-19777,17.133333206176758
MAIN,17.15,7909968,1,7909968-1,WPVT,RO/RO,POE,TACOMA berth group-WPVT,17.228126525878906
MAIN,18.05,9002037,1,9002037-1,NPTU,CONT-NSS,POE,LONG BEACH berth group-NPTU,18.125
MAIN,18.4,1811111,1,1811111-1,RUAM,CONT-NSS,POE,Unconstrained,18.477083206176758
MAIN,18.55,7602259,1,7602259-1,DKSD,RO/RO,POE,Charleston-DKSD Terminal-19777,18.59479331970215
MAIN,18.6,5170185,1,5170185-1,QTUP,T-ACS,POE,MOREHEAD CITY BG-QTUP -19792,18.637500762939453
MAIN,18.65,6916861,1,6916861-1,JTVH,CONT-NSS,POE,GULFPORT BG-JTVH Terminal-19783,18.698612213134766
MAIN,19.05,7602247,1,7602247-1,DKSD,RO/RO,POE,Charleston-DKSD Terminal-19777,19.09479331970215
MAIN,19.5,8211291,1,8211291-1,QTUP,RO/RO,POE,MOREHEAD CITY BG-QTUP -19792,19.580556869506836
MAIN,20.05,7234430,1,7234430-1,DKSD,RO/RO(T-AKR),POE,Charleston-DKSD Terminal-19777,20.08333396911621
MAIN,20.35,6820579,1,6820579-1,WPVT,CONT-NSS,POE,TACOMA berth group-WPVT,20.383333206176758
MAIN,20.95,6828624,1,6828624-1,JTVH,CONT-NSS,POE,GULFPORT BG-JTVH Terminal-19783,20.988889694213867
MAIN,21.55,7324390,1,7324390-1,QTUP,RO/RO,POE,MOREHEAD CITY BG-QTUP -19792,21.611806869506836
MAIN,21.75,6913429,1,6913429-1,DKSD,COMBO,POE,Charleston-DKSD Terminal-19777,21.794445037841797
MAIN,21.85,7224306,1,7224306-1,FQZF,CONT-NSS,POE,Unconstrained,21.89930534362793
MAIN,22.05,7506015,1,7506015-1,DKSD,RO/RO,POE,Charleston-DKSD Terminal-19777,22.087154388427734
MAIN,22.05,7050248,1,7050248-1,UTAC,BARGE(T-AKB),POE,SAN DIEGO berth group-UTAC,22.097917556762695
MAIN,22.1,7216854,1,7216854-1,DKSD,RO/RO,POE,Charleston-DKSD Terminal-19777,22.138195037841797
MAIN,22.35,7325253,1,7325253-1,ZBES,FSS,POE,WILMINGTON berth group-ZBES,22.422916412353516
MAIN,22.7,7634331,1,7634331-1,DKSD,RO/RO,POE,Charleston-DKSD Terminal-19777,22.733333587646484
MAIN,23.1,7603497,1,7603497-1,QTUP,RO/RO,POE,MOREHEAD CITY BG-QTUP -19792,23.17013931274414
MAIN,23.6,7034335,1,7034335-1,DKSD,BARGE(T-AKB),POE,Charleston-DKSD Terminal-19777,23.679166793823242
MAIN,23.85,7026259,1,7026259-1,RUAM,CONT-NSS,POE,Unconstrained,23.890972137451172
MAIN,24,7320411,1,7320411-1,DKSD,BARGE(T-AKB),POE,Charleston-DKSD Terminal-19777,24.064584732055664
MAIN,24,6905252,1,6905252-1,RUAM,CONT-NSS,POE,Unconstrained,24.068056106567383
MAIN,24.15,7635945,1,7635945-1,RUAM,CONT-NSS,POE,Unconstrained,24.227083206176758
MAIN,24.4,7304792,1,7304792-1,QTUP,BARGE(T-AKB),POE,MOREHEAD CITY BG-QTUP -19792,24.45625114440918
