RoundTripID,MissionID,TailNumber,Fleet,HomeFleet,AircraftType,BaseAircraftType,Locked,MultiScoop,StartDay,EndDay,Completed,Duration,MsnFlyProportion,TankerMission,NumStops,NumAirRefuelings,TotalCrewRestHours,MaxRoutePayload,LoadedPAX,LatePAX,TotalLoadedStons,LateStons,LoadedPallets,LoadedContainers20,LoadedContainers40,LoadedBulkSTons,LoadedOversizeSTons,LoadedOutsizeSTons,TotalFlyingHours,LoadedFlyingHours,Miles,LoadedMiles,ChannelMission,ChannelName,ChannelStartTime,FuelLoadedPounds,StartApt,APOE,APOD,EndApt,ScheduledThroughToHome,Medevac
C17-DKFX001-D0007R0001,C17-DKFX001-D0007R0001S01,C17-DKFX001,STRATEGIC,STRATEGIC,C-17,C-17,NO,NO,7.09375,9.503183,YES,2.4094334,9.681282,NO,5,0,25.5,79.81125,24,0,8.4,0,0,0,0,5.6,2.8,0,23.326405,10.876659,8839,4402,NO,"",-1,0,DKFX,DKFX,FUQN,DKFX,YES,NO
KC10-XDAT001-D0007R0001,KC10-XDAT001-D0007R0001S01,KC10-XDAT001,STRATEGIC,STRATEGIC,KC-10,KC-10,NO,NO,7,10.354511,YES,3.3545113,9.2437525,NO,7,0,35.5,84.675,0,0,22,0,22,0,0,22,0,0,31.008272,9.523741,12400,4051,NO,"",-1,0,XDAT,FJXT,HNTK,XDAT,YES,NO
KC10-XDAT002-D0007R0001,KC10-XDAT002-D0007R0001S01,KC10-XDAT002,STRATEGIC,STRATEGIC,KC-10,KC-10,NO,NO,7,10.354511,YES,3.3545113,9.2437525,NO,7,0,35.5,84.675,0,0,22,0,22,0,0,22,0,0,31.008272,9.523741,12400,4051,NO,"",-1,0,XDAT,FJXT,HNTK,XDAT,YES,NO
KC10-XDAT003-D0007R0001,KC10-XDAT003-D0007R0001S01,KC10-XDAT003,STRATEGIC,STRATEGIC,KC-10,KC-10,NO,NO,7,10.354511,YES,3.3545113,9.2437525,NO,7,0,35.5,84.675,0,0,22,0,22,0,0,22,0,0,31.008272,9.523741,12400,4051,NO,"",-1,0,XDAT,FJXT,HNTK,XDAT,YES,NO
KC10-XDAT004-D0007R0001,KC10-XDAT004-D0007R0001S01,KC10-XDAT004,STRATEGIC,STRATEGIC,KC-10,KC-10,NO,NO,7,10.417011,YES,3.4170113,9.0746765,NO,7,0,35.5,84.675,0,0,22,0,22,0,0,22,0,0,31.008272,9.523741,12400,4051,NO,"",-1,0,XDAT,FJXT,HNTK,XDAT,YES,NO
KC10-XDAT005-D0008R0001,KC10-XDAT005-D0008R0001S01,KC10-XDAT005,STRATEGIC,STRATEGIC,KC-10,KC-10,NO,NO,8,11.354511,YES,3.3545113,9.2437525,NO,7,0,35.5,84.675,0,0,22,0,22,0,0,22,0,0,31.008272,9.523741,12400,4051,NO,"",-1,0,XDAT,FJXT,HNTK,XDAT,YES,NO
KC10-XDAT006-D0008R0001,KC10-XDAT006-D0008R0001S01,KC10-XDAT006,STRATEGIC,STRATEGIC,KC-10,KC-10,NO,NO,8,11.354511,YES,3.3545113,9.2437525,NO,7,0,35.5,84.675,0,0,15,0,15,0,0,15,0,0,31.008272,9.523741,12400,4051,NO,"",-1,0,XDAT,FJXT,HNTK,XDAT,YES,NO
KC10-XDAT001-D0010R0002,KC10-XDAT001-D0010R0002S01,KC10-XDAT001,STRATEGIC,STRATEGIC,KC-10,KC-10,NO,NO,10.354511,13.102496,YES,2.747985,9.625827,NO,7,0,25.5,84.675,0,0,0.5,0,1,0,0,0.5,0,0,26.451628,14.291445,10481,6084,NO,"",-1,0,XDAT,QKJA,HNTK,PTFL,YES,NO
B747-400-XDAT001-D0010R0001,B747-400-XDAT001-D0010R0001S01,B747-400-XDAT001,STRATEGIC,STRATEGIC,B-747P,B-747P,NO,YES,10,13.40863,YES,3.4086304,8.597916,NO,7,0,37.5,121.6,106,0,0,0,0,0,0,0,0,0,29.307117,13.501507,12440,6220,NO,"",-1,0,XDAT,*,*,XDAT,YES,NO
C17-DKFX001-D0012R0002,C17-DKFX001-D0012R0002S01,C17-DKFX001,STRATEGIC,STRATEGIC,C-17,C-17,NO,NO,12,14.517304,YES,2.5173044,9.401052,NO,6,0,25.5,81.7269,28,0,40,0,0,0,0,0,40,0,23.665312,10.652325,8851,4303,NO,"",-1,0,DKFX,TMKH,FUQN,DKFX,YES,NO
C17-DKFX002-D0012R0001,C17-DKFX002-D0012R0001S01,C17-DKFX002,STRATEGIC,STRATEGIC,C-17,C-17,NO,NO,12,14.517304,YES,2.5173044,9.401052,NO,6,0,25.5,81.7269,28,0,40,0,0,0,0,0,40,0,23.665312,10.652325,8851,4303,NO,"",-1,0,DKFX,TMKH,FUQN,DKFX,YES,NO
C17-XDAT001-D0012R0001,C17-XDAT001-D0012R0001S01,C17-XDAT001,STRATEGIC,STRATEGIC,C-17,C-17,NO,NO,12,15.236717,YES,3.2367172,8.706728,NO,6,0,38.25,81.7269,28,0,40,0,0,0,0,0,40,0,28.181217,10.652325,10767,4303,NO,"",-1,0,XDAT,TMKH,FUQN,DKFX,YES,NO
