TailNum,FleetName,TypeName,TypeID,HomeGeo,StartDay,EndDay,ArrivingUnitRln,InitialTrace
B747-400-AEDY001,STRATEGIC,B-747P,1,AEDY,15,10000,"",false
B747-400-AEDY002,STRATEGIC,B-747P,1,AEDY,15.125,10000,"",false
B747-400-AEDY003,STRATEGIC,B-747P,1,AEDY,15.25,10000,"",false
B747-400-AEDY004,STRATEGIC,B-747P,1,AEDY,15.375,10000,"",false
B747-400-AEDY005,STRATEGIC,B-747P,1,AEDY,15.5,10000,"",false
B747-400-AEDY006,STRATEGIC,B-747P,1,AEDY,15.625,10000,"",false
B747-400-AEDY007,STRATEGIC,B-747P,1,AEDY,15.75,10000,"",false
B747-400-AEDY008,STRATEGIC,B-747P,1,AEDY,15.875,10000,"",false
B747-400-XDAT001,STRATEGIC,B-747P,1,XDAT,0,10000,"",false
B747-400-XDAT002,STRATEGIC,B-747P,1,XDAT,0.1,10000,"",false
B747-400-XDAT003,STRATEGIC,B-747P,1,XDAT,0.2,10000,"",false
B747-400-XDAT004,STRATEGIC,B-747P,1,XDAT,0.3,10000,"",false
B747-400-XDAT005,STRATEGIC,B-747P,1,XDAT,0.4,10000,"",false
B747-400-XDAT006,STRATEGIC,B-747P,1,XDAT,0.5,10000,"",false
B747-400-XDAT007,STRATEGIC,B-747P,1,XDAT,0.6,10000,"",false
B747-400-XDAT008,STRATEGIC,B-747P,1,XDAT,0.7,10000,"",false
B747-400-XDAT009,STRATEGIC,B-747P,1,XDAT,0.8,10000,"",false
B747-400-XDAT010,STRATEGIC,B-747P,1,XDAT,0.9,10000,"",false
B747-400-XDAT011,STRATEGIC,B-747P,1,XDAT,15,10000,"",false
B747-400-XDAT012,STRATEGIC,B-747P,1,XDAT,15.04,10000,"",false
B747-400-XDAT013,STRATEGIC,B-747P,1,XDAT,15.08,10000,"",false
B747-400-XDAT014,STRATEGIC,B-747P,1,XDAT,15.12,10000,"",false
B747-400-XDAT015,STRATEGIC,B-747P,1,XDAT,15.16,10000,"",false
B747-400-XDAT016,STRATEGIC,B-747P,1,XDAT,15.2,10000,"",false
B747-400-XDAT017,STRATEGIC,B-747P,1,XDAT,15.24,10000,"",false
B747-400-XDAT018,STRATEGIC,B-747P,1,XDAT,15.28,10000,"",false
B747-400-XDAT019,STRATEGIC,B-747P,1,XDAT,15.32,10000,"",false
B747-400-XDAT020,STRATEGIC,B-747P,1,XDAT,15.36,10000,"",false
B747-400-XDAT021,STRATEGIC,B-747P,1,XDAT,15.4,10000,"",false
B747-400-XDAT022,STRATEGIC,B-747P,1,XDAT,15.44,10000,"",false
