Day,Airport,Geoloc,Fleet,AircraftType,Arrivals,Departures,UploadHours,DownloadHours,HomeHours,EnrouteHours,RecoveryHours,ChannelSvcHours,MogDelay,CrewRestHours,ItineraryDelay,ConfigurationChange,ReconfigurationDelay
7,JB CHARLESTON,DKFX,STRATEGIC,C-17,0,1,2.250,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
7,DOVER AFB,FJXT,STRATEGIC,KC-10,4,4,20.000,.000,.000,.000,.000,.000,1.500,40.000,.000,NO,.000
7,THYNA,FUQN,STRATEGIC,C-17,1,0,.000,2.250,.000,.000,.000,.000,.000,6.373,.000,NO,.000
7,LAJES,MQNA,STRATEGIC,C-17,1,1,.000,.000,.000,2.250,.000,.000,.000,.000,.000,NO,.000
7,TRAVIS AFB,XDAT,STRATEGIC,KC-10,0,4,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
8,DOVER AFB,FJXT,STRATEGIC,KC-10,2,2,10.000,.000,.000,.000,.000,.000,.000,20.000,.000,NO,.000
8,THYNA,FUQN,STRATEGIC,C-17,0,1,.000,.000,.000,.000,.000,.000,.000,6.377,.000,NO,.000
8,MATMATA,HNTK,STRATEGIC,KC-10,4,4,.000,12.000,.000,.000,.000,.000,.000,48.000,.000,NO,.000
8,LAJES,MQNA,STRATEGIC,KC-10,4,4,.000,.000,.000,6.000,.000,.000,.000,.000,.000,NO,.000
8,MC GUIRE FLD,PTFL,STRATEGIC,C-17,1,0,.000,.000,.000,2.250,.000,.000,.000,4.986,.000,NO,.000
8,TRAVIS AFB,XDAT,STRATEGIC,KC-10,0,2,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
9,JB CHARLESTON,DKFX,STRATEGIC,C-17,1,0,.000,.000,2.250,.000,.000,.000,.000,.000,.000,NO,.000
9,MATMATA,HNTK,STRATEGIC,KC-10,2,2,.000,6.000,.000,.000,.000,.000,.000,24.000,.000,NO,.000
9,LAJES,MQNA,STRATEGIC,KC-10,6,6,.000,.000,.000,9.000,.000,.000,.000,.000,.000,NO,.000
9,MC GUIRE FLD,PTFL,STRATEGIC,C-17,0,1,.000,.000,.000,.000,.000,.000,.000,7.764,.000,NO,.000
9,MC GUIRE FLD,PTFL,STRATEGIC,KC-10,4,0,.000,.000,.000,6.000,.000,.000,.000,47.564,.000,NO,.000
10,LAJES,MQNA,STRATEGIC,KC-10,2,2,.000,.000,.000,3.000,.000,.000,.000,.000,.000,NO,.000
10,MC GUIRE FLD,PTFL,STRATEGIC,KC-10,3,4,.000,.000,.000,4.500,.000,.000,.000,33.584,.000,NO,.000
10,MIRAMAR MCAS,QKJA,STRATEGIC,B-747P,1,1,3.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
10,MIRAMAR MCAS,QKJA,STRATEGIC,KC-10,1,1,5.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000
10,POPE AAF,TMKH,STRATEGIC,B-747P,1,1,3.000,.000,.000,.000,.000,.000,.000,12.000,.000,NO,.000
