geoloc,berthid,berthtype,draft,avail,len,cap,ute,lat,lon
00A1,00A1BBULK/RORO01,5,33,1,4129,99999,0.6,40,-66
00IO,00IOGENERAL PU01,10,99,0,9999,99999,1,-15,75
00XT,00XTALL-PURPOS01,1,99,0,999,99999,1,40,6
AAPV,AAPVVISA      01,18,99,0,9999,99999,1,5.25,-4.016667
ABFL,ABFLBBULK/RORO01,5,36,0,1772,99999,1,26.433332,50.1
ABFL,ABFLBBULK/RORO02,5,43,0,1181,99999,1,26.433332,50.1
ABFL,ABFLBBULK/RORO03,5,43,0,2214,99999,1,26.433332,50.1
ABFL,ABFLBBULK/RORO07,5,39,0,1180,99999,1,26.433332,50.1
ABFL,ABFLBREAKBULK 01,6,46,0,623,99999,1,26.433332,50.1
ABFL,ABFLGENERAL PU01,10,43,0,3148,99999,1,26.433332,50.1
ABFL,ABFLVISA      01,18,99,0,9999,99999,1,26.433332,50.1
ADKH,ADKHBBULK/RORO03,5,35,0,1968,99999,1,26.2,50.6
ADKH,ADKHGENERAL PU01,10,35,0,1968,99999,1,26.2,50.6
ADLS,BG ADLS berth general purpose,10,90,0,4000,99999,1,35.5,11.05
ADLS,BG ADLS berth container,8,90,0,4000,99999,1,35.5,11.05
AELU,AELUVISA      01,18,99,0,9999,99999,1,31.183332,29.9
AEQT,AEQTVISA      01,18,99,0,9999,99999,1,36.133335,-5.45
AJGX,AJGXVISA      01,18,99,0,9999,99999,1,43.616665,13.5
ALRF,ALRFVISA      01,18,99,0,9999,99999,1,51.266666,4.3333335
AMCQ,AMCQGENERAL PU01,10,99,0,9999,99999,1,13.45,144.61667
APGW,APGWVISA      01,18,99,0,9999,99999,1,29.35,47.916668
AVBU,berth group-AVBU Terminal-19772,1,55,0,5000,99999,1,39.266666,-76.583336
AVYX,AVYXVISA      01,18,99,0,9999,99999,1,41.35,2.1666667
BBNQ,BBNQ BG,10,50,0,1000,99999,1,30.083334,-94.083336
BBNV,BBNVBBULK/CONT01,4,40,0,1435,99999,1,30.083334,-94.083336
BBNV,BBNVGENERAL PU01,10,38,0,1342,99999,1,30.083334,-94.083336
BBNV,BBNVGENERAL PU02,10,40,0,1200,99999,1,30.083334,-94.083336
BBNV,BBNVGENERAL PU05,10,42,0,1000,99999,1,30.083334,-94.083336
BBNV,BBNVGENERAL PU06,10,42,0,1000,99999,1,30.083334,-94.083336
BBNV,BBNVGENERAL PU07,10,42,0,1000,99999,1,30.083334,-94.083336
BBNV,BBNVGENERAL PU08,10,42,0,1000,99999,1,30.083334,-94.083336
BBNV,BBNVGENERAL PU09,10,42,0,1000,99999,1,30.083334,-94.083336
BQWA,BQWAVISA      01,18,99,0,9999,99999,1,24.766666,67.333336
BSRL,BG BSRL berth container,8,90,0,4000,99999,1,37.283333,9.9
BSRL,BG BSRL berth general purpose,10,90,0,4000,99999,1,37.283333,9.9
CHCY,CHCYGENERAL PU01,10,40,0,7200,99999,1,53.55,8.55
CHCY,CHCYGENERAL PU02,10,40,0,1150,99999,1,53.55,8.55
CHCY,CHCYGENERAL PU03,10,40,0,1312,99999,1,53.55,8.55
CWCP,CWCPVISA      01,18,99,0,9999,99999,1,36.383335,-6.284167
CWGV,CWGVVISA      01,18,99,0,9999,99999,1,8.5,124.65
DKSD,Charleston-DKSD Terminal-19777,1,55,0,5000,99999,1,32.783333,-79.916664
DRUG,DRUGBREAKBULK 01,6,36,0,600,99999,1,35.133335,128.66667
DRUG,DRUGGENERAL PU01,10,40,0,1053,99999,1,35.133335,128.66667
EDME,EDMEVISA      01,18,99,0,9999,99999,1,6.9333334,79.85
EGNN,EGNNBBULK/AMMO01,3,35,0,1180,99999,1,37.933334,-121.933334
EGNN,EGNNBBULK/AMMO02,3,35,0,1220,99999,1,37.933334,-121.933334
EGNN,EGNNCONT/AMMO 01,7,35,0,1220,99999,1,37.933334,-121.933334
ENCN,ENCNBBULK/RORO01,5,36,0,1000,99999,1,27.816668,-97.4
ENCN,ENCNBBULK/RORO02,5,37,0,750,99999,1,27.816668,-97.4
ENCN,ENCNGENERAL PU01,10,45,0,1060,99999,1,27.816668,-97.4
EZMU,EZMUVISA      01,18,99,0,9999,99999,1,14.683333,-17.433332
FGDD,FGDDBBULK/RORO01,5,45,0,1000,99999,1,-7.2555556,72.405556
FGDD,FGDDGENERAL PU01,10,45,0,1000,99999,1,-7.2555556,72.405556
FGTW,BG FGTW berth container,8,90,0,4000,99999,1,33.833332,10.833333
FGTW,BG FGTW berth general purpose,10,90,0,4000,99999,1,33.833332,10.833333
FMAZ,FMAZVISA      01,18,99,0,9999,99999,1,25.25,55.266666
FNLD,FNLDGENERAL PU01,10,99,0,9999,99999,1,-29.966667,30.966667
FNSH,FNSHVISA      01,18,99,0,9999,99999,1,53.916668,-166.6
FQZF,berth group-FQZF Terminal-19854,1,70,0,5000,99999,1,40.016666,-74.6
GPEN,GPENVISA      01,18,99,0,9999,99999,1,51.95,1.3166667
GWZP,GWZPVISA      01,18,99,0,9999,99999,1,43.4,4.866667
HAGC,HAGCVISA      01,18,99,0,9999,99999,1,29,-95.4
HMGB,HMGBVISA      01,18,99,0,9999,99999,1,25.083334,56.3
HNTS,BG Gabes berth1,10,44,0,4000,99999,1,33.85,10.116667
HNTS,BG Gabes berth2,10,90,0,4000,99999,1,33.85,10.116667
HNTS,BG Gabes tanker berth,17,44,0,1000,99999,1,33.85,10.116667
HUPR,HUPRVISA      01,18,99,0,9999,99999,1,44.416668,8.833333
JJRP,JJRPVISA      01,18,99,0,9999,99999,1,51.45,0.38333333
JSSN,JSSNVISA      01,18,99,0,9999,99999,1,13.580556,144.92778
JTVH,GULFPORT BG-JTVH Terminal-19783,1,55,0,5000,99999,1,30.35,-89.083336
JWJY,JWJYVISA      01,18,99,0,9999,99999,1,32.8,35.033333
JWTD,JWTDVISA      01,18,99,0,9999,99999,1,33.6,130.4
JXKM,JXKMGENERAL PU01,10,36,0,2000,99999,1,44.65,-63.583332
