Day,Fleet,AircraftType,OwnedAircraft,BorrowedAircraft,Shared,SchedulingCandidates,TotalUsed,TotalMissions,StartedMissions,ChannelMissions,RepositionMissions,EmptyMissions,AvailableUteHours,TotalFlyingHours,LoadedFlyingHours,UploadHours,DownloadHours,HomeHours,EnrouteHours,RecoveryHours,ChannelSvcHours,MogDelay,CrewRestHours,ItineraryDelay,ConfigurationChange,ReconfigurationDelay,TotalMiles,LoadedMiles,BulkSTons,OverSTons,OutSTons,PAX,UnschedBulk,UnschedOver,UnschedOut,UnschedPAX,0DecileLoaded,1DecileLoaded,2DecileLoaded,3DecileLoaded,4DecileLoaded,5DecileLoaded,6DecileLoaded,7DecileLoaded,8DecileLoaded,9DecileLoaded
0,STRATEGIC,B-747P,10,0,0,10,0,0,0,0,0,0,100.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
0,STRATEGIC,C-17,16,0,0,16,0,0,0,0,0,0,203.200,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
0,STRATEGIC,C-5A,5,0,0,5,0,0,0,0,0,0,48.500,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
0,STRATEGIC,CH47,3,0,0,3,0,0,0,0,0,0,30.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
0,STRATEGIC,KC-10,8,0,0,8,0,0,0,0,0,0,80.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
1,STRATEGIC,B-747P,10,0,0,10,0,0,0,0,0,0,100.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
1,STRATEGIC,C-17,16,0,0,16,0,0,0,0,0,0,203.200,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
1,STRATEGIC,C-5A,5,0,0,5,0,0,0,0,0,0,48.500,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
1,STRATEGIC,CH47,3,0,0,3,0,0,0,0,0,0,30.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
1,STRATEGIC,KC-10,8,0,0,8,0,0,0,0,0,0,80.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
2,STRATEGIC,B-747P,10,0,0,10,0,0,0,0,0,0,100.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
2,STRATEGIC,C-17,16,0,0,16,0,0,0,0,0,0,203.200,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
2,STRATEGIC,C-5A,5,0,0,5,0,0,0,0,0,0,48.500,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,NO,.000,0,0,.0,.0,.0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0
