ShipId,ShipName,ShipIndex,ShipType,ShipTypeName,ShipFleet,FleetName,ShipSpeed,DepartureDate,DeparturePort,DeparturePortName,ArrivalDate,ArrivalPort,ArrivalPortName,VoyageNumber,CargoSquareCapacity,CargoSquareTransported,RemainingCargoSquare,SquareUtilization,ContainerizedCubeCapacity,ContainerCubeTransported,RemainingContainerizedCargoCube,ContainerCubeUtilization,NonContainerCubeCapacity,NonContainerCubeTransported,RemainingCargoCube,NonContainerCubeUtilization,NetExplosivePoundsCapacity,NetExplosivePoundsTransported,RemainingNetExplosivePoundsCapacity,NetExplosiveCapacityUtilization,PolCapacity,PolTransported,RemainingPol,PolUtilization,PassengerCapacity,PassengersTransported,RemainingPassengerCapacity,PassengerUtilization,CargoDeadweightCapacity,CargoDeadweightTransported,RemainingCargoDeadweightCapacity,DeadweightUtilization,ResupplyTransported,UnitEquipmentTransported,AmmunitionTransported,CargoMix,EarliestRequiredDeliveryDate,ConfigurationNumber
5432112,STRONG TEXAN,-1,12,RO/RO,5,MSC,11,9.125,NPTU,LONG BEACH,41.75152,VKNP,SFAX,1,12900,2803.2002,9162,0.28976744,0,0,0,0,0,0,0,0,20000000,0,20000000,0,0,0,0,0,0,0,0,0,10000,141,9859,0.014100015,0,141,0,UE          ,12,1
7208297,CAPE DUCATO,-1,12,RO/RO,7,RRF,17,15.791667,QTUP,MOREHEAD CITY,26.762255,APFD,AS SUKHAYRAH,1,166730,104267,62463,0.62536436,150,0,150,0,0,0,0,0,20000000,0,20000000,0,0,0,0,0,0,0,0,0,19573,4558.2,15014,0.23292291,0,4554,0,UE          ,22,1
6510899,GRAND CANYON STATE (TACS 3),-1,14,T-ACS,7,RRF,18,16.16736,NPTU,LONG BEACH,36.49259,VKNP,SFAX,1,24000,598,23202,0.033249974,190,6,184,0.031578958,0,0,0,0,20000000,0,20000000,0,0,0,0,0,0,0,0,0,9780,64,9716,0.006543994,0,63,0,UE          ,25,1
6817845,FLICKERTAIL STATE (TACS 5),-1,14,T-ACS,7,RRF,18,16.29236,RULV,NEWPORT NEWS,26.493055,SEA1,TUNISIASEABASE,1,34460,0,34460,0,315,6,309,0.019047618,0,0,0,0,20000000,0,20000000,0,0,0,0,0,0,0,0,0,8900,50,8850,0.005617976,50,0,0,RESUPPLY    ,17,1
6916433,CORNHUSKER STATE (TACS 6),-1,14,T-ACS,7,RRF,18,17.04236,RRRK,NEW YORK PORT EMB,26.715279,VKNP,SFAX,1,34460,0,34460,0,315,126,189,0.39999998,0,0,0,0,20000000,0,20000000,0,0,0,0,0,0,0,0,0,8900,1125,7775,0.12640452,1125,0,0,RESUPPLY    ,10,1
7027576,CAPE EDMONT,-1,12,RO/RO,7,RRF,17,17.54236,DKSD,CHARLESTON,28.838234,VKNP,SFAX,1,162261,121491.82,271,0.9983299,0,0,0,0,0,0,0,0,20000000,0,20000000,0,1994,0,1994,0,0,0,0,0,16750,6127.2,10622,0.36585075,0,6124,0,UE          ,26,1
7302897,REGULUS (T-AKR 292),-1,9,FSS,6,ORG SURGE,27,17.638195,QTUP,MOREHEAD CITY,24.544445,HNTS,GABES,1,209681,135277.2,29311,0.8602115,44,0,44,0,0,0,0,0,20000000,0,20000000,0,0,0,0,0,0,0,0,0,21116,5000.4995,16115,0.23683465,0,4997,0,UE          ,24,1
7315571,ALTAIR (T-AKR 291),-1,9,FSS,6,ORG SURGE,27,17.66736,ZBES,WILMINGTON,24.702469,HNTS,GABES,1,208792,140695,21198,0.89847314,46,13,33,0.2826087,0,0,0,0,20000000,0,20000000,0,0,0,0,0,0,0,0,0,21116,6054.1,15061,0.28674936,0,6046,0,UE          ,12,1
8211306,CAPE VICTORY (MERZARIO B),-1,12,RO/RO,7,RRF,15,17.66736,JTVH,GULFPORT,33.208332,VKNP,SFAX,1,136614,80757.8,28936,0.78819156,0,0,0,0,0,0,0,0,20000000,0,20000000,0,0,0,0,0,0,0,0,0,17687,7904.7,9782,0.44693846,0,7903,0,UE          ,34,1
0429011,CAPE KENNEDY,-1,12,RO/RO,7,RRF,18,18.04236,DKSD,CHARLESTON,28.865742,HNTS,GABES,1,148327,67049,58928,0.6027156,0,0,0,0,0,0,0,0,20000000,0,20000000,0,0,0,0,0,0,0,0,0,23725,3226.4,20498,0.13601685,0,3220,0,UE          ,27,1
