RequirementIndex,VehicleType,PolMoved,PaxMoved,BulkOrArea,OversizedOrVolume,OutsizedOrContainers,CargoWeight,StartDate,LoadDate,OffloadDate,MarryUpDate,ClosureDate,Sorties,PoeGeoloc,PodGeoloc,DeploymentDistance,TransshipmentPoint,SeqNum,DeploymentMode,ShipNumber,ShipSpeed,SpoeArrival,SpoeDepart,ConvoyDeparts,ConvoyArrives,ShipAircraftArrives,ShipBerthDay,ConvoyRouteCode,PoeBerthType,PodBerthType,ShipVoyage,LoadRule,VisaMove,ReqId,CommodityType,Service,SplitRlnCode,ParentUnitCode,UnitName,UnitDescription,Tpsn,AircraftName,BrigadeKey,Utc,Uic,ForceModule,NumberOfAircraft,ShipId,TonsDelivered,Origin,Destination,AvailDate,Ead,Lad,Rdd,PrefMode,DeploymentMeans,PaxRequired,CargoRequired,FleetId,TheaterNumber,CommodityName,OriginName,PoeName,PodName,ConvoyRoute,DestinationName,TheaterName,Operation,ActualModeName,ShipName,PoeBerthId,PodBerthId,FleetName,VehicleName,ServiceName,CCC,ElistDest,ElistClosureDate,ForceModules,LoadedDraft,SpoeAvail,Organization,HandoffOrigin,HandoffOriginName,HandoffDate
219,3,0,0,3,0,0,3,21,23,25,25,25,0,AJJY,VRJT,15655,0,1,1,114,0,0,23,99999,99999,25,99999,-1,1,1,0,0,0,1:5HDC9,2,2,,,"",POL 400  GAL LOX STORAGE TANK  0SR,,,CTK,JFDEQ,"",CTK,0,"",3,AJJY,VRJT,16,21,21,21,1,0,0,3,-1,1,AF-SUPPORT,ANDERSEN AFB,ANDERSEN AFB,SIGONELLA, ,SIGONELLA,STRATEGIC,THEATER1,AIRLIFT,C5A-XDAT001,RAMP1,RAMP1, ,C-5A,AIR-FORCE,"","",0,,0,0,SIGONELLA,AJJY,ANDERSEN AFB,16
1,2,0,28,0,0,19.1,19.1,28,29,31,31,31,0,AWUB,FUQN,5037,0,2,0,106,0,0,29,99999,99999,31,99999,-1,1,1,4,0,0,1:00DDA,23,1,,,"","HQS   HQS CO, SPT BN, ABN",64ZZZ,,ABN,6ZZZZ,"",ABN,0,"",19.1,VQHP,WSVC,8,24,26,28,1,0,95,19.1,-1,1,CSS-OTHER,SHREVEPORT,BARKSDALE AFB,THYNA, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,C17-XDAT004,UNKNOWN,THYNA-EL MAOU -FUQN-IAP-parking, ,C-17,ARMY,"","",0,,0,0,TEBESSA,VQHP,SHREVEPORT,8
1,1,0,3,0,0,0,0,28,29,31,31,31,0,AWUB,FUQN,5679,0,3,0,3,0,0,29,99999,99999,31,99999,-1,1,1,1,0,0,1:00DDA,23,1,,,"","HQS   HQS CO, SPT BN, ABN",64ZZZ,,ABN,6ZZZZ,"",ABN,0,"",0,VQHP,WSVC,8,24,26,28,1,0,0,0,-1,1,CSS-OTHER,SHREVEPORT,BARKSDALE AFB,THYNA, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,B747-400-AEDY003,UNKNOWN,THYNA-EL MAOU -FUQN-IAP-parking, ,B-747P,ARMY,"","",0,,0,0,TEBESSA,VQHP,SHREVEPORT,8
1,2,0,28,0,0,0,0,31,31,32,32,32,0,AWUB,FUQN,5108,0,4,0,74,0,0,31,99999,99999,32,99999,-1,1,1,5,0,0,1:00DDA,23,1,,,"","HQS   HQS CO, SPT BN, ABN",64ZZZ,,ABN,6ZZZZ,"",ABN,0,"",0,VQHP,WSVC,8,24,26,28,1,0,0,0,-1,1,CSS-OTHER,SHREVEPORT,BARKSDALE AFB,THYNA, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,C17-DKFX001,UNKNOWN,THYNA-EL MAOU -FUQN-IAP-parking, ,C-17,ARMY,"","",0,,0,0,TEBESSA,VQHP,SHREVEPORT,8
1,2,0,28,0,0,0,0,54,54,56,56,57,0,AWUB,FUQN,5092,0,5,0,97,0,0,54,99999,99999,56,99999,-1,1,1,7,0,0,1:00DDA,23,1,,,"","HQS   HQS CO, SPT BN, ABN",64ZZZ,,ABN,6ZZZZ,"",ABN,0,"",0,VQHP,WSVC,8,24,26,28,1,0,0,0,-1,1,CSS-OTHER,SHREVEPORT,BARKSDALE AFB,THYNA, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,C17-PQWY004,UNKNOWN,THYNA-EL MAOU -FUQN-IAP-parking, ,C-17,ARMY,"","",0,,0,0,TEBESSA,VQHP,SHREVEPORT,8
1,1,0,8,0,0,0,0,69,69,70,70,71,0,AWUB,FUQN,5082,0,6,0,22,0,0,69,99999,99999,70,99999,-1,1,1,3,0,0,1:00DDA,23,1,,,"","HQS   HQS CO, SPT BN, ABN",64ZZZ,,ABN,6ZZZZ,"",ABN,0,"",0,VQHP,WSVC,8,24,26,28,1,0,0,0,-1,1,CSS-OTHER,SHREVEPORT,BARKSDALE AFB,THYNA, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,B747-400-XDAT014,UNKNOWN,THYNA-EL MAOU -FUQN-IAP-parking, ,B-747P,ARMY,"","",0,,0,0,TEBESSA,VQHP,SHREVEPORT,8
2,9,0,0,3708.0002,807,0,185.40001,12,22,32,99999,99999,0,ZBES,HNTS,4570,0,7,0,-1,27,22,23,99999,99999,30,30,-1,1,10,1,1,0,1:00DDC,23,1,,,"","HQS   HQS CO, SPT BN, ABN",64ZZZ,,ABN,6ZZZZ,"",ABN,0,7325253,185.40001,VQHP,WSVC,8,24,26,28,2,0,0,203.00002,6,1,CSS-OTHER,SHREVEPORT,WILMINGTON,GABES, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,DENEBOLA (T-AKR 289),WILMINGTON berth group-ZBES,BG Gabes berth1,ORG SURGE,FSS,ARMY,"","",0,,21.32491,34,TEBESSA,VQHP,SHREVEPORT,8
2,7,0,0,352,49,3,17.6,24,33,43,99999,99999,0,ZBES,HNTS,4570,0,8,0,-1,19,33,33,99999,99999,43,43,-1,1,10,1,20,0,1:00DDC,23,1,,,"","HQS   HQS CO, SPT BN, ABN",64ZZZ,,ABN,6ZZZZ,"",ABN,0,8200711,17.6,VQHP,WSVC,8,24,26,28,2,0,0,0,1,1,CSS-OTHER,SHREVEPORT,WILMINGTON,GABES, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,TILLIE LYKES,WILMINGTON berth group-ZBES,BG Gabes berth1,AMMO,CONT-NSS,ARMY,"","",0,,19.030254,48,TEBESSA,VQHP,SHREVEPORT,8
3,1,0,9,0,0,0,0,23,23,25,25,25,0,AWUB,FUQN,5006,0,9,0,4,0,0,23,99999,99999,25,99999,-1,1,1,0,0,0,1:00DDP,23,1,,,"","HQS   HQS CO, SPT BN, ABN",64ZZZ,,ABN,6ZZZZ,"",ABN,0,"",0,VQHP,WSVC,17,19,20,20,1,0,9,0,-1,1,CSS-OTHER,SHREVEPORT,BARKSDALE AFB,THYNA, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,B747-400-AEDY004,UNKNOWN,THYNA-EL MAOU -FUQN-IAP-parking, ,B-747P,ARMY,"","",0,,0,0,TEBESSA,VQHP,SHREVEPORT,17
4,1,0,152,0,0,0,0,27,28,30,30,30,0,AWUB,FUQN,5404,0,10,0,1,0,0,28,99999,99999,30,99999,-1,1,1,2,0,0,1:00DEA,23,1,,,"",HHC SIG BDE  ABN,,,ABN,6RB22,"",ABN,0,"",0,VQHP,WSVC,8,24,26,26,1,0,152,0,-1,1,CSS-OTHER,SHREVEPORT,BARKSDALE AFB,THYNA, ,CHEIKH LARBI TEBE,Tunisia,THEATER1,NO MOVE,B747-400-AEDY001,UNKNOWN,THYNA-EL MAOU -FUQN-IAP-parking, ,B-747P,ARMY,"","",0,,0,0,TEBESSA,VQHP,SHREVEPORT,8
