Name,GeolocCode,LocationType,CountryState,Latitude,Longitude
NW ATLANTIC,00A1,OCN,N ATLANTIC OCN,40,-66
INDIAN OCEAN,00IO,OCN,INDIAN OCEAN,-15,75
WESTERN MED,00XT,SEA,MEDITERREAN W,40,6
ABBEVILLE,AAFR,CTY,ALABAMA,31.533333,-85.26667
ABERDEEN PROV GND,AAMP,AIN,MARYLAND,39.491665,-76.13611
ABIDJAN,AAPV,PRT,IVORY COAST,5.25,-4.016667
ABILENE,AART,CTY,TEXAS,32.45,-99.73333
ABILENE RGNL,AARV,CAP,TEXAS,32.41139,-99.681946
ABSTON,ABAA,AGS,ALABAMA,32.35,-86.3625
AD DAMMAM,ABFL,PRT,SAUDI ARABIA,26.433332,50.1
ADELPHI,ABTW,COM,MARYLAND,39,-76.95
ADELPHI,ABXK,NYI,MARYLAND,38.8975,-77.00916
LOS ANGELES,ACJP,AFS,CALIFORNIA,34,-118.25
AIEA,ACWE,RPA,HAWAII,21.383333,-157.93333
AKRON,ADHB,CTY,OHIO,41.083332,-81.5
AL BAHRAYN MINA S,ADKH,PRT,BAHRAIN,26.2,50.6
AL MAHDIYAH,ADLS,PRT,TUNISIA,35.5,11.05
ALAMEDA,ADNA,CTY,COLORADO,39.70861,-105.013336
ALAMEDA,ADNB,CTY,CALIFORNIA,37.733334,-122.23333
ALAMEDA,ADNC,MFC,CALIFORNIA,37.783333,-121.48333
ALAMEDA NAS,ADND,MAP,CALIFORNIA,37.790554,-122.325554
ALAMEDA,ADNE,NYI,CALIFORNIA,37.783333,-121.48333
ALAMEDA NAS,ADNF,AMO,CALIFORNIA,37.790554,-122.32445
ALAMEDA,ADNG,ADM,CALIFORNIA,37.776943,-122.27
ALAMEDA PT MARAD,ADNK,PRT,CALIFORNIA,37.783333,-122.26667
ALAMEDA        BA,ADNR,STG,CALIFORNIA,37.783333,-122.316666
ALAMOGORDO WHITE,ADQM,CAP,NEW MEXICO,32.84139,-105.98889
ALBANY,ADUK,CTY,GEORGIA,31.616667,-84.166664
ALBANY        MSC,ADUP,STG,GEORGIA,31.6,-84.083336
ALBANY,ADUQ,MGI,GEORGIA,31.616667,-84.166664
ALBANY,ADVK,CTY,NEW YORK,42.666668,-73.8
ALBANY INTL,ADVM,IAP,NEW YORK,42.74917,-73.80194
SOUTHWEST GEORGIA,ADVN,CAP,GEORGIA,31.535555,-84.19444
ALBEMARLE,ADXV,CTY,NORTH CAROLINA,35.35,-80.35
ALBERT,ADYK,CTY,OKLAHOMA,35.232777,-98.41111
ALBUQUERQUE,AEBS,CTY,NEW MEXICO,35.083332,-106.65
ALCOA,AECW,AGS,TENNESSEE,35.783333,-84
ALCONBURY,AEDY,IAP,UNITED KINGDOM,52.3725,-0.21138889
ALEXANDER CITY,AELJ,CTY,ALABAMA,32.95,-86
ALEXANDRIA,AELU,PRT,EGYPT,31.183332,29.9
ALEXANDRIA,AEPL,ADM,VIRGINIA,38.816666,-77.066666
ALEXANDRIA,AEPQ,CTY,VIRGINIA,38.816666,-77.15
ALGECIRAS,AEQT,PRT,SPAIN,36.133335,-5.45
ALLENDALE,AFKB,CTY,SOUTH CAROLINA,33.016666,-81.3
LEHIGH VALLEY INT,AFMS,CAP,PENNSYLVANIA,40.6525,-75.44055
