Day,ActivityType,ShipName,ShipID,ShipType,ShipFleet,IsVisaShip,VoyageNumber,SeaportName,SeaportGeoloc,BerthName,BerthType,BerthLength,PaxLoaded,PaxOffloaded,STonsLoaded,STonsOffloaded,POLLoaded,POLOffloaded
8.878472,OffshorePort,STRONG TEXAN,5432112,RO/RO,MSC,0,1,LONG BEACH,NPTU,,,0,0,0,0,0,0,0
8.878472,CanEnterPort,STRONG TEXAN,5432112,RO/RO,MSC,0,1,LONG BEACH,NPTU,,,0,0,0,0,0,0,0
8.961805,ArriveBerth,STRONG TEXAN,5432112,RO/RO,MSC,0,1,LONG BEACH,NPTU,LONG BEACH berth group-NPTU,ALL-PURPOSE,5000,0,0,0,0,0,0
9.125,DepartPort,STRONG TEXAN,5432112,RO/RO,MSC,0,1,LONG BEACH,NPTU,LONG BEACH berth group-NPTU,ALL-PURPOSE,5000,0,0,141,0,0,0
14.491667,OffshorePort,CAPE DUCATO,7208297,RO/RO,RRF,0,1,MOREHEAD CITY,QTUP,,,0,0,0,0,0,0,0
14.491667,CanEnterPort,CAPE DUCATO,7208297,RO/RO,RRF,0,1,MOREHEAD CITY,QTUP,,,0,0,0,0,0,0,0
14.575,ArriveBerth,CAPE DUCATO,7208297,RO/RO,RRF,0,1,MOREHEAD CITY,QTUP,MOREHEAD CITY BG-QTUP -19792,ALL-PURPOSE,5000,0,0,0,0,0,0
15.05,OffshorePort,CAPE EDMONT,7027576,RO/RO,RRF,0,1,CHARLESTON,DKSD,,,0,0,0,0,0,0,0
15.05,CanEnterPort,CAPE EDMONT,7027576,RO/RO,RRF,0,1,CHARLESTON,DKSD,,,0,0,0,0,0,0,0
15.133333,ArriveBerth,CAPE EDMONT,7027576,RO/RO,RRF,0,1,CHARLESTON,DKSD,Charleston-DKSD Terminal-19777,ALL-PURPOSE,5000,0,0,0,0,0,0
15.110416,OffshorePort,BELLATRIX (T-AKR 288),7236153,FSS,ORG SURGE,0,1,MOREHEAD CITY,QTUP,,,0,0,0,0,0,0,0
15.110416,OffshorePort,REGULUS (T-AKR 292),7302897,FSS,ORG SURGE,0,1,MOREHEAD CITY,QTUP,,,0,0,0,0,0,0,0
15.431945,OffshorePort,ALTAIR (T-AKR 291),7315571,FSS,ORG SURGE,0,1,WILMINGTON,ZBES,,,0,0,0,0,0,0,0
15.431945,CanEnterPort,ALTAIR (T-AKR 291),7315571,FSS,ORG SURGE,0,1,WILMINGTON,ZBES,,,0,0,0,0,0,0,0
15.515278,ArriveBerth,ALTAIR (T-AKR 291),7315571,FSS,ORG SURGE,0,1,WILMINGTON,ZBES,WILMINGTON berth group-ZBES,ALL-PURPOSE,5000,0,0,0,0,0,0
15.791667,DepartPort,CAPE DUCATO,7208297,RO/RO,RRF,0,1,MOREHEAD CITY,QTUP,MOREHEAD CITY BG-QTUP -19792,ALL-PURPOSE,5000,0,0,4558.2,0,0,0
15.983334,OffshorePort,GRAND CANYON STATE (TACS 3),6510899,T-ACS,RRF,0,1,LONG BEACH,NPTU,,,0,0,0,0,0,0,0
15.983334,CanEnterPort,GRAND CANYON STATE (TACS 3),6510899,T-ACS,RRF,0,1,LONG BEACH,NPTU,,,0,0,0,0,0,0,0
16.066668,ArriveBerth,GRAND CANYON STATE (TACS 3),6510899,T-ACS,RRF,0,1,LONG BEACH,NPTU,LONG BEACH berth group-NPTU,ALL-PURPOSE,5000,0,0,0,0,0,0
16,CanEnterPort,BELLATRIX (T-AKR 288),7236153,FSS,ORG SURGE,0,1,MOREHEAD CITY,QTUP,,,0,0,0,0,0,0,0
16,CanEnterPort,REGULUS (T-AKR 292),7302897,FSS,ORG SURGE,0,1,MOREHEAD CITY,QTUP,,,0,0,0,0,0,0,0
16.083334,ArriveBerth,BELLATRIX (T-AKR 288),7236153,FSS,ORG SURGE,0,1,MOREHEAD CITY,QTUP,MOREHEAD CITY BG-QTUP -19792,ALL-PURPOSE,5000,0,0,0,0,0,0
16.083334,ArriveBerth,REGULUS (T-AKR 292),7302897,FSS,ORG SURGE,0,1,MOREHEAD CITY,QTUP,MOREHEAD CITY BG-QTUP -19792,ALL-PURPOSE,5000,0,0,0,0,0,0
16.050694,OffshorePort,YANO (T-AKR 297),7234430,RO/RO(T-AKR),ORG SURGE,0,1,CHARLESTON,DKSD,,,0,0,0,0,0,0,0
16.093056,OffshorePort,FLICKERTAIL STATE (TACS 5),6817845,T-ACS,RRF,0,1,NEWPORT NEWS,RULV,,,0,0,0,0,0,0,0
16.093056,CanEnterPort,FLICKERTAIL STATE (TACS 5),6817845,T-ACS,RRF,0,1,NEWPORT NEWS,RULV,,,0,0,0,0,0,0,0
16.17639,ArriveBerth,FLICKERTAIL STATE (TACS 5),6817845,T-ACS,RRF,0,1,NEWPORT NEWS,RULV,NEWPORT NEWS berth group-RULV,ALL-PURPOSE,5000,0,0,0,0,0,0
16.16736,DepartPort,GRAND CANYON STATE (TACS 3),6510899,T-ACS,RRF,0,1,LONG BEACH,NPTU,LONG BEACH berth group-NPTU,ALL-PURPOSE,5000,0,0,64,0,0,0
16.29236,DepartPort,FLICKERTAIL STATE (TACS 5),6817845,T-ACS,RRF,0,1,NEWPORT NEWS,RULV,NEWPORT NEWS berth group-RULV,ALL-PURPOSE,5000,0,0,50,0,0,0
16.405556,OffshorePort,CAPE VICTORY (MERZARIO B),8211306,RO/RO,RRF,0,1,GULFPORT,JTVH,,,0,0,0,0,0,0,0
16.405556,CanEnterPort,CAPE VICTORY (MERZARIO B),8211306,RO/RO,RRF,0,1,GULFPORT,JTVH,,,0,0,0,0,0,0,0
16.48889,ArriveBerth,CAPE VICTORY (MERZARIO B),8211306,RO/RO,RRF,0,1,GULFPORT,JTVH,GULFPORT BG-JTVH Terminal-19783,ALL-PURPOSE,5000,0,0,0,0,0,0
16.63646,OffshorePort,CORNHUSKER STATE (TACS 6),6916433,T-ACS,RRF,0,1,NEW YORK PORT EMB,RRRK,,,0,0,0,0,0,0,0
16.63646,CanEnterPort,CORNHUSKER STATE (TACS 6),6916433,T-ACS,RRF,0,1,NEW YORK PORT EMB,RRRK,,,0,0,0,0,0,0,0
16.719793,ArriveBerth,CORNHUSKER STATE (TACS 6),6916433,T-ACS,RRF,0,1,NEW YORK PORT EMB,RRRK,NEW YORK berth group-RRRK,ALL-PURPOSE,5000,0,0,0,0,0,0
16.735416,OffshorePort,CAPE KENNEDY,0429011,RO/RO,RRF,0,1,CHARLESTON,DKSD,,,0,0,0,0,0,0,0
16.735416,CanEnterPort,CAPE KENNEDY,0429011,RO/RO,RRF,0,1,CHARLESTON,DKSD,,,0,0,0,0,0,0,0
16.81875,ArriveBerth,CAPE KENNEDY,0429011,RO/RO,RRF,0,1,CHARLESTON,DKSD,Charleston-DKSD Terminal-19777,ALL-PURPOSE,5000,0,0,0,0,0,0
17.04236,DepartPort,CORNHUSKER STATE (TACS 6),6916433,T-ACS,RRF,0,1,NEW YORK PORT EMB,RRRK,NEW YORK berth group-RRRK,ALL-PURPOSE,5000,0,0,1125,0,0,0
