Name,Commodity Code,Service Index,Split RLN Code,Cargo Category Code,Parent Unit Code,Unit Name,Description,TPSN,Aircraft Name,Brigade Key,UTC,UIC,First FM,Aircraft Count,Vehicle Type,Vehicle Name,Aircraft Fleet,Vehicle Count,Origin,Destination,APOE,SPOE,APOD,SPOD,Strat ILOC,Dep Theater,RLD,Air ALD,Sea ALD,ILOC Delay,EAD,LAD,RDD,Mode,Means,POL,PAX,Bulk STons,Over STons,Out STons,Total STons,Cont STons,Wheeled STons,Tracked STons,NSDA STons,NonCont STons,Cont MTons,Wheeled MTons,Tracked MTons,NSDA MTons,NonCont MTons,Cont Sqft,Wheeled Sqft,Tracked Sqft,NSDA Sqft,NonCont Sqft,FM List,Organization,NextRln,Retrograde,HandoffOrigin,HandoffDate,PreemptivePriority,MaxSchedDay,ILOC Mode,Rln Priority,Tpfdd Priority,Trigger Delay,EAD Objective Penalty,RDD Objective Penalty,Additional Days Late Objective,ADL Objective Penalty,Goal Location,Goal Day
1:00DDA,23,1,1:00DDA,"",,"","HQS   HQS CO, SPT BN, ABN",64ZZZ,"",ABN,6ZZZZ,"",ABN,0,"","","",0,VQHP,WSVC,AWUB,"",FUQN,"",,1,8,25,0,0,24,26,28,1,0,.00,95,.00,.00,19.10,19.10,.00,19.10,.00,.00,.00,.00,60.00,.00,.00,.00,0,382,0,0,0,"",TEBESSA,"",0,VQHP,8,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,28
1:00DDC,23,1,1:00DD,"",,"","HQS   HQS CO, SPT BN, ABN",64ZZZ,"",ABN,6ZZZZ,"",ABN,0,"","","",0,VQHP,WSVC,"",ZBES,"",HNTS,,1,8,0,14,0,24,26,28,2,0,.00,0,17.60,166.30,19.10,203.00,17.60,185.40,.00,.00,.00,49.00,807.00,.00,.00,.00,352,3708,0,0,0,"",TEBESSA,"",0,VQHP,8,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,28
1:00DDP,23,1,1:00DD,"",,"","HQS   HQS CO, SPT BN, ABN",64ZZZ,"",ABN,6ZZZZ,"",ABN,0,"","","",0,VQHP,WSVC,AWUB,"",FUQN,"",,1,17,19,0,0,19,20,20,1,0,.00,9,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,0,0,0,0,0,"",TEBESSA,"",0,VQHP,17,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,20
1:00DEA,23,1,1:00DEA,"",,"",HHC SIG BDE  ABN,,"",ABN,6RB22,"",ABN,0,"","","",0,VQHP,WSVC,AWUB,"",FUQN,"",,1,8,24,0,0,24,26,26,1,0,.00,152,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,0,0,0,0,0,"",TEBESSA,"",0,VQHP,8,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,26
1:00DEC,23,1,1:00DE,"",,"",HHC SIG BDE  ABN,,"",ABN,6RB22,"",ABN,0,"","","",0,VQHP,WSVC,"",ZBES,"",HNTS,,1,8,0,14,0,24,26,26,2,0,.00,0,25.80,216.60,15.40,257.80,25.80,232.00,.00,.00,.00,64.00,1284.00,.00,.00,.00,516,4640,0,0,0,"",TEBESSA,"",0,VQHP,8,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,26
1:00FB,6,1,1:00FB,"",,"",HHC AIRBORNE DIVISION,01082,"",ABN,0MBNN,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,0,15,0,0,12,25,25,1,0,.00,25,47.30,18.90,.00,66.20,47.30,.00,18.90,.00,.00,132.00,.00,149.00,.00,.00,929,0,742,0,0,"",TEBESSA,"",0,HCTL,0,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,25
1:00FC,6,1,1:00FC,"",,"","HHC/MMC, SPT CMD, ABN DIV",01082,"",ABN,NTCNN,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,0,24,0,0,24,27,27,1,0,.00,21,32.20,2.70,.00,34.90,32.20,.00,2.70,.00,.00,83.00,.00,22.00,.00,.00,627,0,106,0,0,"",TEBESSA,"",0,HCTL,0,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,27
1:00FD,6,1,1:00FD,"",,"","HHC/MMC, SPT CMD, ABN DIV",01082,"",ABN,NTCNN,"",ABN,0,"","","",0,HCTL,WSVC,"",DKSD,"",HNTS,,1,0,0,18,0,28,32,33,2,0,.00,0,.90,241.00,.00,241.90,.90,195.80,45.20,.00,.00,1.00,1037.00,104.00,.00,.00,1,6686,515,0,0,"",TEBESSA,"",0,HCTL,0,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,33
1:00FDA,6,1,1:00FDA,"",,"","HHC/MMC, SPT CMD, ABN DIV",01082,"",ABN,NTCNN,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,0,28,0,0,28,32,33,1,0,.00,20,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,0,0,0,0,0,"",TEBESSA,"",0,HCTL,0,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,33
1:00FE,6,1,1:00FE,"",,"",HHC AIRBORNE BRIGADE,01082,"",ABN,3MBNN,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,0,12,0,0,12,16,16,1,0,.00,30,15.30,30.90,.00,46.20,15.30,.00,30.90,.00,.00,42.00,.00,222.00,.00,.00,299,0,1131,0,0,"",TEBESSA,"",0,HCTL,0,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,16
1:00FF,6,1,1:00FF,"",,"",HHC AIRBORNE DIVISION,01082,"",ABN,099BB,"",ABN,0,"","","",0,HCTL,OPA1,TMKH,"","","",,1,17,19,0,0,19,20,21,1,0,.00,150,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,0,0,0,0,0,"",ABN,"",0,HCTL,17,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,21
1:00FG,6,1,1:00FG,"",,"",INF BN  ABN,01082,"",ABN,0YSNN,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,0,13,0,0,13,16,17,1,0,.00,517,128.20,157.70,.00,285.90,126.70,.00,159.20,.00,.00,319.00,.00,1070.00,.00,.00,2469,0,5582,0,0,"",TEBESSA,"",0,HCTL,0,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,17
1:00FH,6,1,1:00FH,"",,"",INF BN  ABN,01082,"",ABN,0YSNN,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,0,12,0,0,12,16,17,1,0,.00,517,3.30,159.80,.00,163.10,3.30,.00,159.80,.00,.00,3.00,.00,822.00,.00,.00,1,0,4858,0,0,"",TEBESSA,"",0,HCTL,0,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,17
1:00FJ,6,1,1:00FJ,"",,"",INF BN  ABN,01082,"",ABN,0YSNN,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,0,12,0,0,12,16,17,1,0,.00,517,11.40,150.10,.00,161.50,11.40,.00,150.10,.00,.00,31.00,.00,796.00,.00,.00,163,0,4660,0,0,"",TEBESSA,"",0,HCTL,0,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,17
1:00FK,6,1,1:00FK,"",,"",ADA BTRY VUL/MPDS  ABN,01082,"",ABN,1S7NN,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,0,13,0,0,12,16,17,1,0,.00,50,19.10,13.50,.00,32.60,19.10,.00,13.50,.00,.00,47.00,.00,107.00,.00,.00,371,0,530,0,0,"",TEBESSA,"",0,HCTL,0,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,17
1:00FL,6,1,1:00FL,"",,"",ADA BTRY VUL/MPDS  ABN,01082,"",ABN,1S7NN,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,0,13,0,0,12,16,17,1,0,.00,17,19.10,44.10,.00,63.20,19.10,.00,44.10,.00,.00,47.00,.00,341.00,.00,.00,371,0,1940,0,0,"",TEBESSA,"",0,HCTL,0,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,17
1:00FQ,6,1,1:00FQ,"",,"",MP COMPANY AIRBORNE DIV,01082,"",ABN,QXTTT,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,0,13,0,0,12,16,17,1,0,.00,21,18.80,5.40,.00,24.20,18.80,.00,5.40,.00,.00,44.00,.00,43.00,.00,.00,325,0,212,0,0,"",TEBESSA,"",0,HCTL,0,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,17
1:00FR,6,1,1:00FR,"",,"",MP COMPANY AIRBORNE DIV,01082,"",ABN,QXTTT,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,0,22,0,0,22,26,27,1,0,.00,5,18.80,8.10,.00,26.90,18.80,.00,8.10,.00,.00,44.00,.00,65.00,.00,.00,325,0,318,0,0,"",TEBESSA,"",0,HCTL,0,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,27
1:00FS,6,1,1:00FS,"",,"",FWD COMM CO  ABN,01082,"",ABN,6D444,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,0,22,0,0,22,26,27,1,0,.00,15,.10,.00,.00,.10,.10,.00,.00,.00,.00,1.00,.00,.00,.00,.00,2,0,0,0,0,"",TEBESSA,"",0,HCTL,0,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,27
1:00FTC,6,1,1:00FT,"",,"",FWD COMM CO  ABN,01082,"",ABN,6D444,"",ABN,0,"","","",0,HCTL,WSVC,"",NPTU,"",VKNP,,1,0,0,7,0,22,26,27,2,0,.00,0,34.10,10.80,.00,44.90,34.10,10.80,.00,.00,.00,93.00,86.00,.00,.00,.00,682,216,0,0,0,"",TEBESSA,"",0,HCTL,0,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,27
1:00FTP,6,1,1:00FT,"",,"",FWD COMM CO  ABN,01082,"",ABN,6D444,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,0,22,0,0,22,26,27,1,0,.00,10,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,0,0,0,0,0,"",TEBESSA,"",0,HCTL,0,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,27
1:00FV,6,1,1:00FV,"",,"","ENGR CO, ENGR BN, ABN DIV",01082,"",ABN,44RNN,"",ABN,0,"","","",0,HCTL,WSVC,"",DKSD,"",VKNP,,1,0,0,15,0,22,26,27,2,0,.00,0,16.40,210.80,.00,227.20,16.40,.00,210.80,.00,.00,41.00,.00,563.00,.00,.00,319,0,3160,0,0,"",TEBESSA,"",0,HCTL,0,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,27
1:00FVA,6,1,1:00FVA,"",,"","ENGR CO, ENGR BN, ABN DIV",01082,"",ABN,44RNN,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,0,22,0,0,22,26,27,1,0,.00,94,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,0,0,0,0,0,"",TEBESSA,"",0,HCTL,0,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,27
1:00GB,6,1,1:00GB,"",,"",C J CO MI BN ABN DIV,01082,"",ABN,PC4NN,"",ABN,0,"","","",0,HCTL,WSVC,TMKH,"",FUQN,"",,1,0,20,0,0,20,24,25,1,0,.00,12,19.40,.00,.00,19.40,19.40,.00,.00,.00,.00,48.00,.00,.00,.00,.00,375,0,0,0,0,"",TEBESSA,"",0,HCTL,0,0,9999,-1,2147483647,2147483647,0,0,5,2,1000,DST,25
