Airport,AirportName,RampId,RampName,ACType,ACName,MissionType,MissionName,ServiceTime,ParkingMOG,WorkingMOG,HotCargoFlag,ExclusiveFlag
AEDY,ALCONBURY,1,RAMP1,1,B-747P,1,HOME,1.5,9.473684,9.473684,1,0
AEDY,ALCONBURY,1,RAMP1,1,B-747P,2,UPLOAD,3,9.473684,9.473684,1,0
AEDY,ALCONBURY,1,RAMP1,1,B-747P,4,DOWNLOAD,3,9.473684,9.473684,1,0
AEDY,ALCONBURY,1,RAMP1,2,C-17,2,UPLOAD,2.25,18,18,1,0
AEDY,ALCONBURY,1,RAMP1,2,C-17,4,DOWNLOAD,2.25,18,18,1,0
AEDY,ALCONBURY,1,RAMP1,3,C-5A,2,UPLOAD,3.75,6,6,1,0
AEDY,ALCONBURY,1,RAMP1,3,C-5A,4,DOWNLOAD,3.25,6,6,1,0
AEDY,ALCONBURY,1,RAMP1,5,KC-10,2,UPLOAD,5,14.999999,14.999999,1,0
AEDY,ALCONBURY,1,RAMP1,5,KC-10,4,DOWNLOAD,3,14.999999,14.999999,1,0
AJJY,ANDERSEN AFB,1,RAMP1,1,B-747P,2,UPLOAD,3,4.2105265,4.2105265,1,0
AJJY,ANDERSEN AFB,1,RAMP1,1,B-747P,3,ENROUTE,1.5,4.2105265,4.2105265,1,0
AJJY,ANDERSEN AFB,1,RAMP1,1,B-747P,4,DOWNLOAD,3,4.2105265,4.2105265,1,0
AJJY,ANDERSEN AFB,1,RAMP1,2,C-17,2,UPLOAD,2.25,8,8,1,0
AJJY,ANDERSEN AFB,1,RAMP1,2,C-17,3,ENROUTE,2.25,8,8,1,0
AJJY,ANDERSEN AFB,1,RAMP1,2,C-17,4,DOWNLOAD,2.25,8,8,1,0
AJJY,ANDERSEN AFB,1,RAMP1,3,C-5A,2,UPLOAD,3.75,2.6666667,2.6666667,1,0
AJJY,ANDERSEN AFB,1,RAMP1,3,C-5A,3,ENROUTE,3.25,2.6666667,2.6666667,1,0
