RLN,CCC,STons,MTons,Sqft,CargoClass
1:00DDA,R1D,19.10,60.00,382.00,2
1:00DDC,J3B,17.60,49.00,352.00,2
1:00DDC,R1D,19.10,60.00,382.00,2
1:00DDC,R2D,166.30,747.00,3326.00,2
1:00DEC,J3B,25.80,64.00,516.00,2
1:00DEC,R1D,15.40,121.00,308.00,2
1:00DEC,R2D,216.60,1163.00,4332.00,2
1:00FB,A2D,18.90,149.00,742.00,2
1:00FB,J3C,3.60,24.00,72.00,2
1:00FB,J7C,42.80,107.00,856.00,2
1:00FB,M7C,0.90,1.00,1.00,2
1:00FC,A2D,2.70,22.00,106.00,2
1:00FC,J3C,0.40,5.00,8.00,2
1:00FC,J7C,30.90,77.00,618.00,2
1:00FC,M7C,0.90,1.00,1.00,2
1:00FD,A2D,45.20,104.00,515.00,2
1:00FD,M7C,0.90,1.00,1.00,2
1:00FD,R2B,71.20,338.00,2974.00,2
1:00FD,R2D,124.60,699.00,3712.00,2
1:00FE,A2D,30.90,222.00,1131.00,2
1:00FE,J3C,0.20,4.00,4.00,2
1:00FE,J7C,14.70,37.00,294.00,2
1:00FE,M7C,0.40,1.00,1.00,2
1:00FG,A2D,157.70,1059.00,5477.00,2
1:00FG,A3D,1.50,11.00,105.00,2
1:00FG,J3C,8.10,28.00,162.00,2
1:00FG,J7C,115.30,288.00,2306.00,2
1:00FG,M7C,3.30,3.00,1.00,2
1:00FH,A2D,159.80,822.00,4858.00,2
1:00FH,M7C,3.30,3.00,1.00,2
1:00FJ,A2D,150.10,796.00,4660.00,2
1:00FJ,J3C,8.10,28.00,162.00,2
1:00FJ,M7C,3.30,3.00,1.00,2
1:00FK,A2D,13.50,107.00,530.00,2
1:00FK,J7C,18.50,46.00,370.00,2
1:00FK,M7C,0.60,1.00,1.00,2
1:00FL,A2D,44.10,341.00,1940.00,2
1:00FL,J7C,18.50,46.00,370.00,2
1:00FL,M7C,0.60,1.00,1.00,2
1:00FQ,A2D,5.40,43.00,212.00,2
1:00FQ,J7C,16.20,41.00,324.00,2
1:00FQ,M7C,2.60,3.00,1.00,2
1:00FR,A2D,8.10,65.00,318.00,2
1:00FR,J7C,16.20,41.00,324.00,2
1:00FR,M7C,2.60,3.00,1.00,2
1:00FS,J3C,0.10,1.00,2.00,2
1:00FTC,J3B,34.10,93.00,682.00,2
1:00FTC,R2D,10.80,86.00,216.00,2
1:00FV,A2D,210.80,563.00,3160.00,2
1:00FV,J7C,15.90,40.00,318.00,2
1:00FV,M7C,0.50,1.00,1.00,2
1:00GB,J7C,18.70,47.00,374.00,2
1:00GB,M7C,0.70,1.00,1.00,2
1:00GC,A2D,8.10,65.00,318.00,2
1:00GC,J7C,18.70,47.00,374.00,2
1:00GC,M7C,0.70,1.00,1.00,2
1:00GDC,R1D,19.10,60.00,382.00,2
1:00GE,A2D,11.60,41.00,273.00,2
1:00GE,J7C,9.30,23.00,186.00,2
1:00GE,M7C,0.50,1.00,1.00,2
1:00GF,A2D,91.30,349.00,2042.00,2
1:00GF,A3D,1.80,7.00,60.00,2
1:00GF,J7C,9.30,23.00,186.00,2
1:00GF,M7C,0.50,1.00,1.00,2
1:00GG,A2D,10.80,86.00,424.00,2
1:00GG,J7C,11.20,28.00,224.00,2
1:00GG,M7C,0.20,1.00,1.00,2
1:00GH,A2D,58.00,387.00,2075.00,2
1:00GH,J7C,11.20,28.00,224.00,2
1:00GH,M7C,0.20,1.00,1.00,2
1:00HB,A2D,18.90,149.00,742.00,2
1:00HB,J3C,3.60,24.00,72.00,2
1:00HB,J7C,42.80,107.00,856.00,2
1:00HB,M7C,0.90,1.00,1.00,2
1:00HC,A2D,30.90,222.00,1131.00,2
1:00HC,J3C,0.20,4.00,4.00,2
1:00HC,J7C,14.70,37.00,294.00,2
1:00HC,M7C,0.40,1.00,1.00,2
1:00HDC,A2D,157.70,1059.00,5477.00,2
1:00HDC,A3D,1.50,11.00,105.00,2
1:00HDC,J3C,8.10,28.00,162.00,2
1:00HDC,J7C,115.30,288.00,2306.00,2
1:00HDC,M7C,3.30,3.00,1.00,2
1:00HE,A2D,159.80,822.00,4858.00,2
1:00HE,M7C,3.30,3.00,1.00,2
1:00HF,A2D,150.10,796.00,4660.00,2
1:00HF,J3C,8.10,28.00,162.00,2
1:00HF,M7C,3.30,3.00,1.00,2
1:00HG,A2D,13.50,107.00,530.00,2
1:00HG,J7C,18.50,46.00,370.00,2
1:00HG,M7C,0.60,1.00,1.00,2
1:00HK,A2D,5.40,43.00,212.00,2
1:00HK,J7C,16.20,41.00,324.00,2
1:00HK,M7C,2.60,3.00,1.00,2
1:00HL,A2D,8.10,65.00,318.00,2
1:00HL,J7C,16.20,41.00,324.00,2
1:00HL,M7C,2.60,3.00,1.00,2
1:00JC,A2D,232.40,548.00,2688.00,2
1:00JC,J7C,14.20,36.00,284.00,2
1:00JC,M7C,7.90,8.00,1.00,2
1:00JCC,R1D,19.10,60.00,382.00,2
1:00JD,A1D,24.40,109.00,463.00,2
1:00JD,A2D,17.40,215.00,1914.00,2
1:00JD,J2C,7.10,63.00,363.00,2
1:00JD,J7C,12.90,32.00,258.00,2
1:00JD,M7C,0.60,1.00,1.00,2
1:00JE,A2D,11.60,41.00,273.00,2
1:00JE,J7C,9.30,23.00,186.00,2
1:00JE,M7C,0.50,1.00,1.00,2
1:03AEC,A1D,1218.00,1943.70,8237.00,2
1:03AEC,A2D,1640.60,3347.30,16223.00,2
1:03AEC,J2D,2.20,17.70,101.00,2
1:03AEC,J7C,135.80,340.00,2716.00,2
1:03AEC,M7C,4.40,4.00,1.00,2
1:03AEC,R1D,469.00,1716.50,7779.00,2
1:03AEC,R2B,97.40,530.50,4383.00,2
1:03AEC,R2D,673.70,2561.90,15124.00,2
1:03AEC,R3B,2.40,22.20,240.00,2
1:03AEC,R3D,1.40,9.30,50.00,2
1:03AFC,A1D,1218.00,1943.70,8237.00,2
1:03AFC,A2D,1640.60,3347.30,16223.00,2
1:03AFC,J2D,2.20,17.70,101.00,2
1:03AFC,J7C,135.80,340.00,2716.00,2
1:03AFC,M7C,4.40,4.00,1.00,2
1:03AFC,R1D,469.00,1716.50,7779.00,2
1:03AFC,R2B,97.40,530.50,4383.00,2
1:03AFC,R2D,673.70,2561.90,15124.00,2
1:03AFC,R3B,2.40,22.20,240.00,2
1:03AFC,R3D,1.40,9.30,50.00,2
1:03AGC,A1D,4187.40,4604.40,19466.00,2
1:03AGC,A2D,363.40,710.00,3919.00,2
1:03AGC,J2D,58.70,177.70,901.00,2
1:03AGC,J3D,29.40,92.40,462.00,2
1:03AGC,J7C,104.80,262.00,2096.00,2
1:03AGC,M7C,37.20,38.00,744.00,2
1:03AGC,R1D,619.90,1599.80,7005.00,2
1:03AGC,R2B,2.70,29.70,210.00,2
1:03AGC,R2D,1008.60,3406.70,19047.00,2
1:03AGC,R3B,2.40,22.20,240.00,2
1:03AGC,R3D,1.40,9.30,50.00,2
1:03AJC,A1D,4187.40,4604.40,19466.00,2
1:03AJC,A2D,363.40,710.00,3919.00,2
1:03AJC,J2D,58.70,177.70,901.00,2
1:03AJC,J3D,29.40,92.40,462.00,2
1:03AJC,J7C,104.80,262.00,2096.00,2
1:03AJC,M7C,37.20,38.00,744.00,2
1:03AJC,R1D,619.90,1599.80,7005.00,2
1:03AJC,R2B,2.70,29.70,210.00,2
1:03AJC,R2D,1008.60,3406.70,19047.00,2
1:03AJC,R3B,2.40,22.20,240.00,2
