RLN,CCC,Mtons,Stons,Sqft,NumPieces,Length,Width,Height,Description,LongDescription,CargoId
1:00DDA,R1D,30,9.6,191,1,284,97,115,R1D Defaulted,,1:00DDA.R1D0001
1:00DDA,R1D,30,9.5,191,1,284,97,115,R1D Leftover,,1:00DDA.R1D0002
1:00DDC,J3B,2.7,1,19.5,17,54,52,48,J3B Defaulted,,1:00DDC.J3B0001
1:00DDC,J3B,3.0999985,0.6000004,20.5,1,57,52,48,J3B Leftover,,1:00DDC.J3B0002
1:00DDC,R1D,30,9.6,191,1,284,97,115,R1D Defaulted,,1:00DDC.R1D0001
1:00DDC,R1D,30,9.5,191,1,284,97,115,R1D Leftover,,1:00DDC.R1D0002
1:00DDC,R2D,21.9,4.9,97.8,33,153,92,78,R2D Defaulted,,1:00DDC.R2D0001
1:00DDC,R2D,24.299988,4.600006,98.59985,1,154,92,78,R2D Leftover,,1:00DDC.R2D0002
1:00DEC,J3B,2.4,1,19.8,25,55,52,48,J3B Defaulted,,1:00DEC.J3B0001
1:00DEC,J3B,3.9999962,0.79999924,21.00003,1,58,52,48,J3B Leftover,,1:00DEC.J3B0002
1:00DEC,R1D,60.5,7.7,154,1,229,97,115,R1D Defaulted,,1:00DEC.R1D0001
1:00DEC,R1D,60.5,7.7,154,1,229,97,115,R1D Leftover,,1:00DEC.R1D0002
1:00DEC,R2D,26.4,4.9,98.4,43,154,92,78,R2D Defaulted,,1:00DEC.R2D0001
1:00DEC,R2D,27.800049,5.900009,100.799805,1,158,92,78,R2D Leftover,,1:00DEC.R2D0002
1:00FB,J3C,6,0.9,18,3,50,52,48,J3C Defaulted,,1:00FB.J3C0001
1:00FB,J3C,6,0.9000001,18,1,50,52,48,J3C Leftover,,1:00FB.J3C0002
1:00FB,J7C,2.4,1,19.9,42,55,52,48,J7C Defaulted,,1:00FB.J7C0001
1:00FB,J7C,6.199997,0.79999924,20.200012,1,56,52,48,J7C Leftover,,1:00FB.J7C0002
1:00FB,M7C,1,0.9,1,1,3,52,48,M7C Leftover,,1:00FB.M7C0001
1:00FB,A2D,37.2,4.7,185.5,3,290,92,78,A2D Defaulted,,1:00FB.A2D0001
1:00FB,A2D,37.399994,4.8,185.5,1,290,92,78,A2D Leftover,,1:00FB.A2D0002
1:00FC,J3C,5,0.4,8,1,22,52,48,J3C Leftover,,1:00FC.J3C0001
1:00FC,J7C,2.4,1,19.9,30,55,52,48,J7C Defaulted,,1:00FC.J7C0001
1:00FC,J7C,5,0.8999996,21,1,58,52,48,J7C Leftover,,1:00FC.J7C0002
1:00FC,M7C,1,0.9,1,1,3,52,48,M7C Leftover,,1:00FC.M7C0001
1:00FC,A2D,22,2.7,106,1,166,92,78,A2D Leftover,,1:00FC.A2D0001
1:00FD,M7C,1,0.9,1,1,3,52,48,M7C Leftover,,1:00FD.M7C0001
1:00FD,A2D,10.4,4.5,51.5,9,81,92,78,A2D Defaulted,,1:00FD.A2D0001
1:00FD,A2D,10.400002,4.700001,51.5,1,81,92,78,A2D Leftover,,1:00FD.A2D0002
1:00FD,R2B,22.5,4.7,198.2,14,310,92,78,R2B Defaulted,,1:00FD.R2B0001
1:00FD,R2B,23,5.4000015,199.19995,1,312,92,78,R2B Leftover,,1:00FD.R2B0002
1:00FD,R2D,27.9,5,148.4,24,232,92,78,R2D Defaulted,,1:00FD.R2D0001
1:00FD,R2D,29.400024,4.5999985,150.40015,1,235,92,78,R2D Leftover,,1:00FD.R2D0002
1:00FE,J3C,4,0.2,4,1,11,52,48,J3C Leftover,,1:00FE.J3C0001
1:00FE,J7C,2.4,1,19.6,14,54,52,48,J7C Defaulted,,1:00FE.J7C0001
1:00FE,J7C,3.3999977,0.6999998,19.600006,1,54,52,48,J7C Leftover,,1:00FE.J7C0002
1:00FE,M7C,1,0.4,1,1,3,52,48,M7C Leftover,,1:00FE.M7C0001
1:00FE,A2D,31.7,4.4,161.5,6,253,92,78,A2D Defaulted,,1:00FE.A2D0001
1:00FE,A2D,31.799988,4.499998,162,1,254,92,78,A2D Leftover,,1:00FE.A2D0002
1:00FG,A3D,5.5,0.8,52.5,1,145,52,48,A3D Defaulted,,1:00FG.A3D0001
1:00FG,A3D,5.5,0.7,52.5,1,145,52,48,A3D Leftover,,1:00FG.A3D0002
1:00FG,J3C,3.1,0.9,18,8,50,52,48,J3C Defaulted,,1:00FG.J3C0001
1:00FG,J3C,3.2000008,0.9000006,18,1,50,52,48,J3C Leftover,,1:00FG.J3C0002
1:00FG,J7C,2.4,1,19.8,115,55,52,48,J7C Defaulted,,1:00FG.J7C0001
1:00FG,J7C,12,0.30000305,29,1,80,52,48,J7C Leftover,,1:00FG.J7C0002
1:00FG,M7C,0.7,0.8,0.2,3,1,52,48,M7C Defaulted,,1:00FG.M7C0001
1:00FG,M7C,0.9000001,0.89999986,0.39999998,1,1,52,48,M7C Leftover,,1:00FG.M7C0002
1:00FG,A2D,33,4.9,171.1,31,268,92,78,A2D Defaulted,,1:00FG.A2D0001
1:00FG,A2D,36,5.799988,172.8999,1,271,92,78,A2D Leftover,,1:00FG.A2D0002
