ShipID,ConfigID,CapType,CapValue,CapHistory
0429011,1,SQFT,148327,0
1000050,1,SQFT,391000,0
1000053,1,SQFT,391000,0
1000054,1,SQFT,391000,0
1000059,1,SQFT,391000,0
1100021,1,SQFT,391000,0
1100022,1,SQFT,391000,0
1234567,1,TEU,4800,0
1234568,1,TEU,1500,0
1234569,1,TEU,600,0
1234570,1,TEU,600,0
1234571,1,TEU,3800,0
1234572,1,TEU,3200,0
1234573,1,TEU,3000,0
1234574,1,TEU,3000,0
1234575,1,TEU,500,0
1234576,1,TEU,500,0
1811111,1,TEU,1468,0
1811113,1,TEU,2306,0
5004245,1,SQFT,11247,0
5004245,1,NCNTMT,16427,0
5004245,1,CBBLS,7264,0
5004257,1,SQFT,11247,0
5004257,1,NCNTMT,16467,0
5004257,1,CBBLS,7264,0
5004283,1,SQFT,11247,0
5004283,1,NCNTMT,16467,0
5004283,1,CBBLS,7264,0
5004398,1,SQFT,11247,0
5004398,1,NCNTMT,16467,0
5004398,1,CBBLS,7264,0
5056274,1,SQFT,13568,0
5056274,1,NCNTMT,19540,0
5056274,1,CBBLS,4736,0
5057931,1,SQFT,13568,0
5057931,1,NCNTMT,19540,0
5057931,1,CBBLS,4736,0
5144485,1,SQFT,13226,0
5144485,1,NCNTMT,18310,0
5144485,1,CBBLS,4736,0
5170185,1,SQFT,28100,0
5170185,1,TEU,182,0
5215753,1,SQFT,13226,0
5215753,1,NCNTMT,18310,0
5215753,1,CBBLS,4736,0
5264510,1,PAX,1900,0
5264510,1,NCNTMT,17200,0
5386605,1,SQFT,26460,0
5386605,1,TEU,189,0
5422409,1,PAX,1500,0
5422409,1,NCNTMT,24940,0
5432112,1,SQFT,12900,0
5555007,1,TEU,4024,0
6372812,1,TEU,1848,0
6421347,1,SQFT,15120,0
6421347,1,NCNTMT,6095,0
6421347,1,TEU,118,0
6421347,1,CBBLS,14925,0
6507921,1,SQFT,15120,0
6507921,1,NCNTMT,6095,0
6507921,1,TEU,118,0
6507921,1,CBBLS,14925,0
6510899,1,SQFT,24000,0
6510899,1,TEU,190,0
6708379,1,TEU,1258,0
6801664,1,SQFT,147281,0
6812211,1,TEU,1364,0
6815512,1,SQFT,18781,0
6815512,1,NCNTMT,27583,0
6815512,1,CBBLS,17340,0
6817845,1,SQFT,34460,0
6817845,1,TEU,315,0
