Day,ShipType,ShipsAvailable,TotalUsed,VISAMission,CONUS,Tunisia
0,BARGE(LASH),0,0,0,0,0
0,BARGE(T-AKB),0,0,0,0,0
0,BREAKBULK,0,0,0,0,0
0,CAR TRANS,0,0,0,0,0
0,CLF,0,0,0,0,0
0,COMBO,0,0,0,0,0
0,CONT-NSS,0,0,0,0,0
0,CONT-SS,0,0,0,0,0
0,FSS,0,0,0,0,0
0,PAX,0,0,0,0,0
0,POL TANKER,0,0,0,0,0
0,RO/RO,0,0,0,0,0
0,RO/RO(T-AKR),0,0,0,0,0
0,T-ACS,0,0,0,0,0
0,T-AH,0,0,0,0,0
0,VISA CONT,0,0,0,0,0
1,BARGE(LASH),0,0,0,0,0
1,BARGE(T-AKB),0,0,0,0,0
1,BREAKBULK,0,0,0,0,0
1,CAR TRANS,0,0,0,0,0
1,CLF,0,0,0,0,0
1,COMBO,0,0,0,0,0
1,CONT-NSS,0,0,0,0,0
1,CONT-SS,0,0,0,0,0
1,FSS,0,0,0,0,0
1,PAX,0,0,0,0,0
1,POL TANKER,0,0,0,0,0
1,RO/RO,0,0,0,0,0
1,RO/RO(T-AKR),0,0,0,0,0
1,T-ACS,0,0,0,0,0
1,T-AH,0,0,0,0,0
1,VISA CONT,0,0,0,0,0
2,BARGE(LASH),0,0,0,0,0
2,BARGE(T-AKB),0,0,0,0,0
2,BREAKBULK,0,0,0,0,0
2,CAR TRANS,0,0,0,0,0
2,CLF,0,0,0,0,0
2,COMBO,0,0,0,0,0
2,CONT-NSS,0,0,0,0,0
2,CONT-SS,0,0,0,0,0
2,FSS,0,0,0,0,0
2,PAX,0,0,0,0,0
2,POL TANKER,0,0,0,0,0
2,RO/RO,0,0,0,0,0
2,RO/RO(T-AKR),0,0,0,0,0
2,T-ACS,0,0,0,0,0
2,T-AH,0,0,0,0,0
2,VISA CONT,0,0,0,0,0
3,BARGE(LASH),0,0,0,0,0
3,BARGE(T-AKB),0,0,0,0,0
3,BREAKBULK,0,0,0,0,0
3,CAR TRANS,0,0,0,0,0
3,CLF,0,0,0,0,0
3,COMBO,0,0,0,0,0
3,CONT-NSS,0,0,0,0,0
3,CONT-SS,0,0,0,0,0
3,FSS,0,0,0,0,0
3,PAX,0,0,0,0,0
3,POL TANKER,0,0,0,0,0
3,RO/RO,0,0,0,0,0
3,RO/RO(T-AKR),0,0,0,0,0
3,T-ACS,0,0,0,0,0
3,T-AH,0,0,0,0,0
3,VISA CONT,0,0,0,0,0
4,BARGE(LASH),0,0,0,0,0
4,BARGE(T-AKB),0,0,0,0,0
