ShipID,Name,Type,Fleet,Speed,Deadweight,Length,Beam,MaxDraft,MinDraft,FuelCapacity,FuelConsumption,FuelType,LoadTime,PrepTime,ActivationTime,DesigCargo,Preloaded,PercentVisa,MaxVoyages,InitAvailDate,InitLat,InitLon,DestLat,DestLon,ArrivingUnitRln,HomeGeo
0429011,CAPE KENNEDY,12,7,18,23725,696,106,35,18,4174,0,0,2,0,4,0,false,0,9999,0,29.95,-90.05,0,0,"",""
1000050,MENDONCA (T-AKR 303),13,4,24,21143,950,105,35,18,6505,0,0,2,0,4,0,false,0,9999,0,29.95,-90.05,53,9,"",""
1000053,FISHER (T-AKR 301),13,4,24,21143,950,105,34,17,5333,0,0,2,0,4,0,false,0,9999,0,36.85,-76.3,53,9,"",""
1000054,SEAY (T-AKR 302),13,4,24,21143,950,105,34,17,6505,0,0,2,0,4,0,false,0,9999,0,32.7833,-79.9167,53,9,"",""
1000059,(T-AKR 306),13,6,24,21143,950,105,35,18,5333,0,0,2,0,4,0,false,0,9999,0,29.95,-90.05,53,9,"",""
1100021,PILILAAU (T-AKR 304),13,4,24,21143,950,105,35,18,5333,0,0,2,0,4,0,false,0,9999,0,39.2833,-76.5833,53,9,"",""
1100022,BRITTIN (T-AKR 305),13,4,24,21143,950,105,35,18,6505,0,0,2,0,4,0,false,0,9999,0,39.2833,-76.5833,53,9,"",""
1234567,APL-AEX-1 (H55),16,3,22,51146,950,106,46,23,0,0,0,1,0,0,0,false,0,9999,1,0,0,0,0,"",""
1234568,APL-AGC-1 (M18),16,3,14,15983,700,90,32,16,0,0,0,1,0,0,0,false,0,9999,1,0,0,0,0,"",""
1234569,APL-BGO-1 (M16),16,3,14,11282,400,60,22,11,0,0,0,1,0,0,0,false,0,9999,1,0,0,0,0,"",""
1234570,APL-BGO-2 (M16),16,3,14,11282,400,60,22,11,0,0,0,1,0,0,0,false,0,9999,8,0,0,0,0,"",""
1234571,APL-WAX-1 (A38),16,3,22,40491,804,106,40,20,0,0,0,1,0,0,0,false,0,9999,14,0,0,0,0,"",""
1234572,APL-WAX-1 (K10),16,3,22,34097,831,106,38,19,0,0,0,1,0,0,0,false,0,9999,21,0,0,0,0,"",""
1234573,APL-WAX-1 (M22),16,3,21,31966,830,106,38,19,0,0,0,1,0,0,0,false,0,9999,28,0,0,0,0,"",""
1234574,AOL-WAX-2 (M22),16,3,21,31966,830,106,38,19,0,0,0,1,0,0,0,false,0,9999,7,0,0,0,0,"",""
1234575,APL-WIX-1 (M15),16,3,13,9402,400,60,22,11,0,0,0,1,0,0,0,false,0,9999,7,0,0,0,0,"",""
1234576,APL-WIX-2 (M15),16,3,13,9402,400,60,22,11,0,0,0,1,0,0,0,false,0,9999,14,0,0,0,0,"",""
1811111,SEA-LAND PRODUCER,7,8,23,25730,812,90,31,15,0,0,0,1,0,0,0,false,0,9999,0,38.9,-73.4,37,-122,"",""
1811113,SEA-LAND INNOVATOR,16,8,22,30341,812,90,33,16,0,0,0,1,0,0,0,false,0,9999,49,26.4667,-78.8,37,-122,"",""
5004245,CAPE ANN,5,7,19,8800,572,75,31,16,3407,0,0,3,0,10,0,false,0,1,0,36.9667,-76.4333,43,-71,"",""
5004257,CAPE ALEXANDER,5,7,19,8800,572,75,31,16,3407,0,0,3,0,10,0,false,0,1,0,36.9667,-76.4333,36,-76,"",""
5004283,CAPE ARCHWAY,5,7,19,8800,572,75,31,16,3407,0,0,3,0,5,0,false,0,1,0,39.2833,-76.5833,39,-76,"",""
5004398,CAPE AVINOF,5,7,19,8800,572,75,31,16,3407,0,0,3,0,5,0,false,0,1,0,39.2833,-76.5833,43,-71,"",""
5056274,CAPE JOHN (SANTA ANA),5,7,18,9740,565,76,31,16,5445,0,0,3,0,5,0,false,0,1,0,30.0667,-95.2833,29,-94,"",""
5057931,CAPE JACOB (CALIFORNIA),5,7,18,9740,565,76,32,16,5434,0,0,3,0,0,0,false,0,1,0,37.8,-122.316696,37,-122,"",""
5144485,CAPE JUBY,5,7,18,9740,565,76,32,16,5755,0,0,3,0,5,0,false,0,1,0,36.85,-76.3,36,-76,"",""
5170185,DIAMOND STATE (TACS 7),14,7,19,9400,668,76,33,16,3274,0,0,3,0,4,0,false,0,1,0,29.75,-95.2833,29,-90,"",""
5215753,CAPE JOHNSON,5,7,18,9740,565,76,32,16,5755,0,0,3,0,5,0,false,0,1,0,39.2833,-76.5833,36,-76,"",""
5264510,EMPIRE STATE,10,7,20,12062,565,76,32,16,3538,0,0,1,0,5,0,false,0,9999,0,40,-74,40,-74,"",""
5386605,EQUALITY STATE (TACS 8),14,7,19,9330,668,76,33,16,3125,0,0,3,0,4,0,false,0,1,0,29.75,-95.2833,29,-90,"",""
5422409,PATRIOT STATE,10,7,20,7739,547,79,29,14,2121,0,0,1,0,5,0,false,0,9999,0,41,-70,41,-70,"",""
5432112,STRONG TEXAN,12,5,11,10000,268,52,18,9,0,0,0,2,0,0,0,false,0,9999,0,37.8167,-122.4167,37.8167,-122.4167,"",""
5555007,HANJIN MALTA,7,2,24,50869,949,105,42,21,0,0,0,1,0,0,0,false,0,9999,0,0,0,0,0,"",""
6372812,SEA-LAND TRADER,7,8,22,30000,812,90,33,16,0,0,0,1,0,0,0,false,0,5,0,21.3,121.7,0,0,"",""
6421347,GREEN MT. STATE (TACS 9),14,7,22,12660,666,75,32,16,3089,0,0,3,0,4,0,false,0,1,0,45.6333,-122.7,36,-76,"",""
6507921,BEAVER STATE (TACS 10),14,7,21,12660,666,75,32,16,4019,0,0,3,0,4,0,false,0,1,0,45.55,-122.7,36,-76,"",""
6510899,GRAND CANYON STATE (TACS 3),14,7,18,9780,669,76,33,16,3451,0,0,3,0,4,0,false,0,1,0,37.8,-122.316696,45,-122,"",""
6708379,HUMACACO,7,8,22,22592,700,90,32,16,0,0,0,1,0,0,0,false,0,9999,0,20.3,-64.5,0,0,"",""
6801664,ADMIRAL WILLIAM M. CALLAGHAN,12,7,25,9519,694,92,29,14,4492,0,0,2,0,4,0,false,0,9999,0,37.8,122.4,36,-76,"",""
6812211,SEA-LAND CHALLENGER,7,8,22,10000,701,90,32,16,0,0,0,1,0,0,0,false,0,9999,0,24.8,-149.4,36.9333,-76.2833,"",""
6815512,CAPE GIRARDEAU,5,7,19,15740,605,82,31,16,3702,0,0,3,0,5,0,false,0,1,0,37.8,-122.316696,37,-122,"",""
6817845,FLICKERTAIL STATE (TACS 5),14,7,18,8900,610,78,32,16,3576,0,0,3,0,5,0,false,0,1,0,36.85,-76.3,36,-76,"",""
6820579,SEA-LAND DISCOVERY,7,8,22,22013,700,90,32,16,0,0,0,1,0,0,0,false,0,9999,0,33.7333,-118.1833,0,0,"",""
6821614,CAPE GIBSON,5,7,19,15740,605,82,31,16,3654,0,0,3,0,5,0,false,0,1,0,37.8,-122.316696,37,-122,"",""
6828624,MAYAGUEZ,7,8,23,20904,700,90,32,16,0,0,0,1,0,0,0,false,0,9999,0,20.8,-65.8,0,0,"",""
6905252,SEA-LAND CRUSADER,7,8,22,20904,700,90,32,16,0,0,0,1,0,0,0,false,0,9999,0,19.3,-65.8,0,0,"",""
6913259,MANUKAI REPLACE,7,1,23,22363,721,95,34,17,7013,0,0,1,0,0,0,false,0,9999,45,37,-122,37,-122,"",""
6913429,CAPE NOME,6,7,24,12450,602,90,34,17,5007,0,0,3,0,10,0,false,0,9999,0,36.9667,-76.4333,36,-76,"",""
6916433,CORNHUSKER STATE (TACS 6),14,7,18,8900,610,78,32,16,3576,0,0,3,0,5,0,false,0,1,0,36.9667,-76.4333,36,-76,"",""
6916861,GUAYAMA,7,8,21,20904,700,90,32,16,0,0,0,1,0,0,0,false,0,9999,0,30.6833,-88.1167,0,0,"",""
7002071,MANULANI REPLACE,7,1,23,22363,721,95,34,17,7013,0,0,1,0,0,0,false,0,9999,45,48.2167,-123.5167,23,-155,"",""
7026259,NUEVO SAN JUAN,7,8,21,20336,704,90,33,16,0,0,0,1,0,0,0,false,0,9999,0,30.3833,-81.3,0,0,"",""
7027576,CAPE EDMONT,12,7,17,16750,653,94,31,16,3920,0,0,2,0,4,0,false,0,9999,0,32.7833,-79.9167,45,-122,"",""
7034335,CAPE FLORIDA,2,7,23,25500,820,100,41,20,5500,0,0,7,0,10,0,false,0,9999,0,30.0667,-95.2833,30,-88,"",""
7050248,CAPE FEAR (AUSTRAL LIGHTNING,2,7,20,25500,820,100,35,18,5500,0,0,7,0,10,0,false,0,9999,0,37.8,-122.316696,37,-122,"",""
7105471,LIHUE,7,8,22,38656,819,100,35,17,0,0,0,1,0,0,0,false,0,9999,45,37.7167,-122.6667,0,0,"",""
7114185,CHIEF GADAO,7,8,22,37346,819,100,35,17,0,0,0,1,0,0,0,false,0,9999,0,27.4,-147.6,0,0,"",""
7116315,SEA-LAND NAVIGATOR,7,8,21,31303,812,90,37,18,0,0,0,1,0,0,0,false,0,9999,0,37.7,-122.6667,0,0,"",""
7117292,CAPE MENDOCINO (SEABEE),2,7,17,29780,876,106,39,20,6448,0,0,7,0,10,0,false,0,9999,0,36.9667,-76.4333,29,-90,"",""
7125316,EWA,7,8,22,38656,819,100,35,17,0,0,0,1,0,0,0,false,0,9999,10,0,0,0,0,"",""
7205958,CAPE MAY (SEABEE),2,7,17,29780,876,106,39,20,6448,0,0,7,0,5,0,false,0,9999,0,39.2833,-76.5833,29,-90,"",""
7208297,CAPE DUCATO,12,7,17,19573,680,97,31,16,4273,0,0,2,0,4,50,false,0,9999,0,32.7833,-79.9167,33,-118,"",""
7208443,CAPE DIAMOND,12,4,17,19887,680,97,33,16,4120,0,0,2,0,4,0,false,0,9999,0,32.7833,-79.9167,36,-76,"",""
7214894,LONDON MAERSK,7,3,20,25000,945,106,39,19,0,0,0,1,0,0,0,false,0,9999,8,0,0,0,0,"",""
7216854,CAPE LOBOS,12,7,17,16950,682,75,31,16,1424,0,0,2,0,10,0,false,0,9999,0,36.945892,-76.42483,36,-76,"",""
7218412,MAERSK MANHAI,7,3,26,25000,948,105,36,18,0,0,0,1,0,0,0,false,0,9999,16,0,0,0,0,"",""
7218462,SEA-LAND EXPEDITION,7,8,22,19845,668,90,36,18,0,0,0,1,0,0,0,false,0,9999,0,24.2,-82.65,0,0,"",""
