Event Day,Ship Type,MIN DWTUTE,MINCONTUTE,MIN SQUUTE,MIN VOLUTE,MIN POLUTE,FULLDWTUTE,FULCONTUTE,FULLSQUUTE,FULLVOLUTE,FULLPOLUTE
150,BARGE(LASH),0,0,0,0,0,0,0,0,0,0
150,BARGE(T-AKB),0,0,0,0,0,0,0,0,0,0
150,BREAKBULK,0,0,0,0,0,0,0,0,0,0
150,CAR TRANS,0,0,20,0,0,0,0,20,0,0
150,CLF,0,0,0,0,0,0,0,0,0,0
150,COMBO,0,0,0,0,0,0,0,0,0,0
150,CONT-NSS,0,0,0,0,0,0,0,0,0,0
150,CONT-SS,0,30,0,0,0,0,60,0,0,0
150,FSS,0,0,0,0,0,0,0,20,0,0
150,PAX,0,0,0,0,0,0,0,0,0,0
150,POL TANKER,0,0,0,0,0,0,0,0,0,0
150,RO/RO,0,0,0,0,0,0,0,20,0,0
150,RO/RO(T-AKR),0,0,0,0,0,0,0,20,0,0
150,T-ACS,0,0,0,0,0,0,0,0,0,0
150,T-AH,0,0,0,0,0,0,0,0,0,0
150,VISA CONT,0,0,0,0,0,0,0,0,0,0
