Event Day,Port,Fleet,Restriction
40,00A1,AMMO,true
40,00IO,AMMO,true
40,00XT,AMMO,true
40,AAPV,AMMO,false
40,ABFL,AMMO,true
40,ADKH,AMMO,true
40,ADLS,AMMO,true
40,AELU,AMMO,true
40,AEQT,AMMO,false
40,AJGX,AMMO,false
40,ALRF,AMMO,true
40,AMCQ,AMMO,true
40,APFD,AMMO,false
40,APGW,AMMO,true
40,AVBU,AMMO,true
40,AVYX,AMMO,false
40,BBNQ,AMMO,true
40,BBNV,AMMO,true
40,BQWA,AMMO,true
40,BSRL,AMMO,true
40,CHCY,AMMO,true
40,CWCP,AMMO,false
40,CWGV,AMMO,true
40,DKSD,AMMO,true
40,DRUG,AMMO,true
40,EDME,AMMO,false
40,EGNN,AMMO,false
40,ENCN,AMMO,true
40,EZMU,AMMO,true
40,FGDB,AMMO,true
40,FGDD,AMMO,true
40,FGTW,AMMO,true
40,FMAZ,AMMO,true
40,FNLD,AMMO,true
40,FNSH,AMMO,true
40,FQZF,AMMO,true
40,GPEN,AMMO,true
40,GWZP,AMMO,true
40,HAGC,AMMO,true
40,HMGB,AMMO,true
40,HNTS,AMMO,true
40,HUPR,AMMO,false
40,JJRP,AMMO,true
40,JSSN,AMMO,true
40,JTVH,AMMO,true
40,JWJY,AMMO,false
40,JWTD,AMMO,false
40,JXKM,AMMO,true
40,JYPN,AMMO,true
40,KZPH,AMMO,false
40,KZTZ,AMMO,true
40,LCMT,AMMO,true
40,LKPE,AMMO,false
40,LRNC,AMMO,true
40,LSGM,AMMO,true
40,LUTP,AMMO,true
40,LWEV,AMMO,true
40,LYAP,AMMO,false
40,LYRV,AMMO,false
40,LYTM,AMMO,true
40,MKAG,AMMO,false
40,MLDL,AMMO,true
40,MMGH,AMMO,true
40,MZJK,AMMO,true
40,NBDY,AMMO,false
40,NLFL,AMMO,true
40,NNWH,AMMO,true
40,NPTU,AMMO,true
40,NSAN,AMMO,true
40,PAXM,AMMO,true
40,PCFC,AMMO,false
40,PCFG,AMMO,true
40,PKVP,AMMO,true
40,PPSH,AMMO,true
40,QCFF,AMMO,true
40,QHPB,AMMO,true
40,QHPD,AMMO,true
40,QHPF,AMMO,true
40,QNPW,AMMO,true
40,QTUP,AMMO,true
40,RCYQ,AMMO,true
40,RCYT,AMMO,true
40,RELG,AMMO,false
40,REPV,AMMO,false
40,RGJW,AMMO,false
40,RQNK,AMMO,true
40,RRHU,AMMO,true
40,RRRK,AMMO,true
40,RUAM,AMMO,true
40,RUAQ,AMMO,true
40,RULV,AMMO,true
40,SBEA,AMMO,true
40,SBEQ,AMMO,true
40,SEA1,AMMO,true
40,SERU,AMMO,true
40,SMXS,AMMO,false
40,STRM,AMMO,true
40,SVCN,AMMO,true
40,SYZZ,AMMO,true
40,TGWS,AMMO,true
40,TKDW,AMMO,true
40,TNVX,AMMO,true
40,TNZY,AMMO,true
40,TPPR,AMMO,true
40,TPRW,AMMO,true
40,TQKG,AMMO,true
40,TRZP,AMMO,true
40,TVJD,AMMO,true
40,TVXA,AMMO,true
40,TZL4,AMMO,true
40,TZYR,AMMO,true
40,UMXA,AMMO,true
40,UNAP,AMMO,true
40,UTAC,AMMO,true
40,UTVT,AMMO,true
40,UULA,AMMO,true
