From,To,Distance
AEDY,AEDY,1
AEDY,AGGN,4113
AEDY,AJJY,6476
AEDY,AJXF,3178
AEDY,AQLM,3657
AEDY,ASHE,631
AEDY,ATXK,2762
AEDY,AVXV,6259
AEDY,AWUB,4025
AEDY,BAEY,4542
AEDY,BBJM,3576
AEDY,BJHZ,4265
AEDY,BPWZ,4470
AEDY,BQWK,1117
AEDY,BRKR,3742
AEDY,BWKR,3747
AEDY,BXUR,3182
AEDY,CTGC,3422
AEDY,CWKW,1916
AEDY,CYWF,3634
AEDY,CZQZ,4255
AEDY,DDPF,4139
AEDY,DESR,4608
AEDY,DKFX,3534
AEDY,DNNL,3337
AEDY,DPNB,3425
AEDY,DVLK,5745
AEDY,DYCS,3247
AEDY,ETZB,4725
AEDY,EYBD,5756
AEDY,FAXN,366
AEDY,FBNV,4593
AEDY,FGDC,5128
AEDY,FGWB,3649
AEDY,FJXT,3116
AEDY,FNWZ,4235
AEDY,FTEP,3861
AEDY,FTEV,3876
AEDY,FTFA,3868
AEDY,FTZH,1309
AEDY,FUQN,1160
AEDY,FUZD,4717
AEDY,FXSB,3856
AEDY,GAMH,4040
AEDY,GHLN,3990
AEDY,GJKZ,4028
AEDY,GKVB,72
AEDY,GUQE,3805
AEDY,GYRZ,360
AEDY,HNTK,1203
AEDY,HPBF,1147
AEDY,HTUX,3386
AEDY,HUUA,4661
AEDY,JEAH,1209
AEDY,JFSD,3472
AEDY,JREZ,2956
AEDY,KJGW,4634
AEDY,KNMD,6257
AEDY,KRSM,4193
AEDY,KWRD,4414
AEDY,KYJL,3869
AEDY,KZTV,6257
AEDY,LEXG,3611
AEDY,LSGE,3707
AEDY,LXEZ,5374
AEDY,LYAX,6247
AEDY,MAHG,3956
AEDY,MBPB,4332
AEDY,MEPJ,4940
AEDY,MHMV,4326
AEDY,MQNA,1386
AEDY,MSET,29
AEDY,MSQB,3642
AEDY,MUHJ,3229
AEDY,MYXZ,3733
AEDY,NKAK,3867
AEDY,NNGX,2835
AEDY,NRCH,2566
AEDY,NUEX,4571
AEDY,NVZR,3842
AEDY,NWXN,1233
AEDY,NZAS,3872
AEDY,OPA1,1166
AEDY,PCZP,4694
AEDY,PJVY,3193
AEDY,PNQS,3779
AEDY,PQWY,4164
AEDY,PRQE,3915
AEDY,PSXE,3550
AEDY,PTFL,3050
AEDY,QFQE,26
AEDY,QJKL,3475
AEDY,QJVF,3566
AEDY,QKJA,4741
AEDY,QSEU,3729
AEDY,QYZH,4205
AEDY,RDRD,3461
AEDY,RKMF,4515
AEDY,RZQH,4751
AEDY,SBDW,3233
AEDY,SCEY,4682
AEDY,SEA1,1181
AEDY,SGBP,3718
AEDY,SHYQ,3119
AEDY,SMYU,4794
AEDY,STRL,1020
AEDY,SXHT,3756
AEDY,TDHV,4093
AEDY,THWA,2837
AEDY,TKXA,4733
AEDY,TMKH,3402
AEDY,TYFR,346
AEDY,UGZX,2695
AEDY,UHGN,4230
AEDY,UHHZ,3671
AEDY,ULLT,3654
AEDY,UMXB,980
AEDY,VDYD,3633
AEDY,VGHV,3158
AEDY,VKAG,3357
AEDY,VLSB,3504
AEDY,VRJT,1103
AEDY,VSMR,5862
AEDY,VWLB,203
AEDY,VYHK,298
AEDY,WEAS,3510
AEDY,WSVC,1079
AEDY,WWYK,4018
AEDY,XBGX,726
AEDY,XDAT,4598
AEDY,XLWU,3853
AEDY,XQDT,47
AEDY,XUMU,4741
AEDY,YAQF,3421
AEDY,YTPM,2895
AEDY,YWHG,3747
AEDY,ZAWN,3063
AEDY,ZFKN,62
AEDY,ZHTV,3385
AEDY,ZJXD,3179
AEDY,ZNRE,5134
AEDY,ZRCE,4679
AGGN,AEDY,4113
AGGN,AGGN,1
AGGN,AJJY,6162
AGGN,AJXF,1107
AGGN,AQLM,742
AGGN,ASHE,4743
AGGN,ATXK,6794
AGGN,AVXV,3182
AGGN,AWUB,310
AGGN,BAEY,1098
AGGN,BBJM,939
AGGN,BJHZ,280
AGGN,BPWZ,396
AGGN,BQWK,4999
AGGN,BRKR,627
