Event Day,Aircraft Fleet,Aircraft Fleet Index,Aircraft Type,Airport,Usable
0,STRATEGIC,1,B-747P,AEDY,0
0,STRATEGIC,1,B-747P,AGGN,0
0,STRATEGIC,1,B-747P,AJJY,0
0,STRATEGIC,1,B-747P,AJXF,0
0,STRATEGIC,1,B-747P,AQLM,0
0,STRATEGIC,1,B-747P,ASHE,0
0,STRATEGIC,1,B-747P,ATXK,0
0,STRATEGIC,1,B-747P,AVXV,0
0,STRATEGIC,1,B-747P,AWUB,0
0,STRATEGIC,1,B-747P,BAEY,0
0,STRATEGIC,1,B-747P,BBJM,0
0,STRATEGIC,1,B-747P,BJHZ,0
0,STRATEGIC,1,B-747P,BPWZ,0
0,STRATEGIC,1,B-747P,BQWK,0
0,STRATEGIC,1,B-747P,BRKR,0
0,STRATEGIC,1,B-747P,BWKR,0
0,STRATEGIC,1,B-747P,BXUR,0
0,STRATEGIC,1,B-747P,CTGC,0
0,STRATEGIC,1,B-747P,CWKW,0
0,STRATEGIC,1,B-747P,CYWF,0
0,STRATEGIC,1,B-747P,CZQZ,0
0,STRATEGIC,1,B-747P,DDPF,0
0,STRATEGIC,1,B-747P,DESR,0
0,STRATEGIC,1,B-747P,DKFX,0
0,STRATEGIC,1,B-747P,DNNL,0
0,STRATEGIC,1,B-747P,DPNB,0
0,STRATEGIC,1,B-747P,DVLK,0
0,STRATEGIC,1,B-747P,DYCS,0
0,STRATEGIC,1,B-747P,ETZB,0
0,STRATEGIC,1,B-747P,EYBD,0
0,STRATEGIC,1,B-747P,FAXN,0
0,STRATEGIC,1,B-747P,FBNV,0
0,STRATEGIC,1,B-747P,FGDC,0
0,STRATEGIC,1,B-747P,FGWB,0
0,STRATEGIC,1,B-747P,FJXT,0
0,STRATEGIC,1,B-747P,FNWZ,0
0,STRATEGIC,1,B-747P,FTEP,0
0,STRATEGIC,1,B-747P,FTEV,0
0,STRATEGIC,1,B-747P,FTFA,0
0,STRATEGIC,1,B-747P,FTZH,0
0,STRATEGIC,1,B-747P,FUQN,0
0,STRATEGIC,1,B-747P,FUZD,0
0,STRATEGIC,1,B-747P,FXSB,0
0,STRATEGIC,1,B-747P,GAMH,0
0,STRATEGIC,1,B-747P,GHLN,0
0,STRATEGIC,1,B-747P,GJKZ,0
0,STRATEGIC,1,B-747P,GKVB,0
0,STRATEGIC,1,B-747P,GUQE,0
0,STRATEGIC,1,B-747P,GYRZ,0
0,STRATEGIC,1,B-747P,HNTK,0
0,STRATEGIC,1,B-747P,HPBF,0
0,STRATEGIC,1,B-747P,HTUX,0
0,STRATEGIC,1,B-747P,HUUA,0
0,STRATEGIC,1,B-747P,JEAH,0
0,STRATEGIC,1,B-747P,JFSD,0
0,STRATEGIC,1,B-747P,JREZ,0
0,STRATEGIC,1,B-747P,KJGW,0
0,STRATEGIC,1,B-747P,KNMD,0
0,STRATEGIC,1,B-747P,KRSM,0
0,STRATEGIC,1,B-747P,KWRD,0
0,STRATEGIC,1,B-747P,KYJL,0
0,STRATEGIC,1,B-747P,KZTV,0
0,STRATEGIC,1,B-747P,LEXG,0
0,STRATEGIC,1,B-747P,LSGE,0
0,STRATEGIC,1,B-747P,LXEZ,0
0,STRATEGIC,1,B-747P,LYAX,0
0,STRATEGIC,1,B-747P,MAHG,0
0,STRATEGIC,1,B-747P,MBPB,0
0,STRATEGIC,1,B-747P,MEPJ,0
0,STRATEGIC,1,B-747P,MHMV,0
0,STRATEGIC,1,B-747P,MQNA,0
0,STRATEGIC,1,B-747P,MSET,0
0,STRATEGIC,1,B-747P,MSQB,0
0,STRATEGIC,1,B-747P,MUHJ,0
0,STRATEGIC,1,B-747P,MYXZ,0
0,STRATEGIC,1,B-747P,NKAK,0
0,STRATEGIC,1,B-747P,NNGX,0
0,STRATEGIC,1,B-747P,NRCH,0
0,STRATEGIC,1,B-747P,NUEX,0
0,STRATEGIC,1,B-747P,NVZR,0
0,STRATEGIC,1,B-747P,NWXN,0
0,STRATEGIC,1,B-747P,NZAS,0
0,STRATEGIC,1,B-747P,OPA1,0
0,STRATEGIC,1,B-747P,PCZP,0
0,STRATEGIC,1,B-747P,PJVY,0
0,STRATEGIC,1,B-747P,PNQS,0
0,STRATEGIC,1,B-747P,PQWY,0
0,STRATEGIC,1,B-747P,PRQE,0
0,STRATEGIC,1,B-747P,PSXE,0
0,STRATEGIC,1,B-747P,PTFL,0
0,STRATEGIC,1,B-747P,QFQE,0
0,STRATEGIC,1,B-747P,QJKL,0
0,STRATEGIC,1,B-747P,QJVF,0
0,STRATEGIC,1,B-747P,QKJA,0
0,STRATEGIC,1,B-747P,QSEU,0
0,STRATEGIC,1,B-747P,QYZH,0
0,STRATEGIC,1,B-747P,RDRD,0
0,STRATEGIC,1,B-747P,RKMF,0
0,STRATEGIC,1,B-747P,RZQH,0
0,STRATEGIC,1,B-747P,SBDW,0
