Event Day,Airport,Recovery Base,Priority
0,AEDY,    ,0
0,AGGN,    ,0
0,AJJY,    ,0
0,AJXF,    ,0
0,AQLM,    ,0
0,ASHE,    ,0
0,ATXK,    ,0
0,AVXV,    ,0
0,AWUB,    ,0
0,BAEY,    ,0
0,BBJM,    ,0
0,BJHZ,    ,0
0,BPWZ,    ,0
0,BQWK,    ,0
0,BRKR,    ,0
0,BWKR,    ,0
0,BXUR,    ,0
0,CTGC,    ,0
0,CWKW,    ,0
0,CYWF,    ,0
0,CZQZ,    ,0
0,DDPF,    ,0
0,DESR,    ,0
0,DKFX,    ,0
0,DNNL,    ,0
0,DPNB,    ,0
0,DVLK,    ,0
0,DYCS,    ,0
0,ETZB,    ,0
0,EYBD,    ,0
0,FAXN,    ,0
0,FBNV,    ,0
0,FGDC,    ,0
0,FGWB,    ,0
0,FJXT,    ,0
0,FNWZ,    ,0
0,FTEP,    ,0
0,FTEV,    ,0
0,FTFA,    ,0
0,FTZH,    ,0
0,FUQN,    ,0
0,FUZD,    ,0
0,FXSB,    ,0
0,GAMH,    ,0
0,GHLN,    ,0
0,GJKZ,    ,0
0,GKVB,    ,0
0,GUQE,    ,0
0,GYRZ,    ,0
0,HNTK,    ,0
0,HPBF,    ,0
0,HTUX,    ,0
0,HUUA,    ,0
0,JEAH,    ,0
0,JFSD,    ,0
0,JREZ,    ,0
0,KJGW,    ,0
0,KNMD,    ,0
0,KRSM,    ,0
0,KWRD,    ,0
0,KYJL,    ,0
0,KZTV,    ,0
0,LEXG,    ,0
0,LSGE,    ,0
0,LXEZ,    ,0
0,LYAX,    ,0
0,MAHG,    ,0
0,MBPB,    ,0
0,MEPJ,    ,0
0,MHMV,    ,0
0,MQNA,    ,0
0,MSET,    ,0
0,MSQB,    ,0
0,MUHJ,    ,0
0,MYXZ,    ,0
0,NKAK,    ,0
0,NNGX,    ,0
0,NRCH,    ,0
0,NUEX,    ,0
0,NVZR,    ,0
0,NWXN,    ,0
0,NZAS,    ,0
0,OPA1,    ,0
0,PCZP,    ,0
0,PJVY,    ,0
0,PNQS,    ,0
0,PQWY,    ,0
0,PRQE,    ,0
0,PSXE,    ,0
0,PTFL,    ,0
0,QFQE,    ,0
0,QJKL,    ,0
0,QJVF,    ,0
0,QKJA,    ,0
0,QSEU,    ,0
0,QYZH,    ,0
0,RDRD,    ,0
0,RKMF,    ,0
0,RZQH,    ,0
0,SBDW,    ,0
0,SCEY,    ,0
0,SEA1,    ,0
0,SGBP,    ,0
0,SHYQ,    ,0
0,SMYU,    ,0
0,STRL,    ,0
0,SXHT,    ,0
0,TDHV,    ,0
0,THWA,    ,0
0,TKXA,    ,0
0,TMKH,    ,0
0,TYFR,    ,0
0,UGZX,    ,0
0,UHGN,    ,0
0,UHHZ,    ,0
0,ULLT,    ,0
0,UMXB,    ,0
0,VDYD,    ,0
0,VGHV,    ,0
0,VKAG,    ,0
0,VLSB,    ,0
0,VRJT,    ,0
0,VSMR,    ,0
0,VWLB,    ,0
0,VYHK,    ,0
0,WEAS,    ,0
0,WSVC,    ,0
0,WWYK,    ,0
0,XBGX,    ,0
0,XDAT,    ,0
0,XLWU,    ,0
0,XQDT,    ,0
0,XUMU,    ,0
0,YAQF,    ,0
0,YTPM,    ,0
0,YWHG,    ,0
0,ZAWN,    ,0
0,ZFKN,    ,0
0,ZHTV,    ,0
0,ZJXD,    ,0
0,ZNRE,    ,0
0,ZRCE,    ,0
0,AEDY,    ,1
0,AGGN,    ,1
0,AJJY,    ,1
0,AJXF,    ,1
0,AQLM,    ,1
0,ASHE,    ,1
0,ATXK,    ,1
0,AVXV,    ,1
0,AWUB,    ,1
0,BAEY,    ,1
0,BBJM,    ,1
0,BJHZ,    ,1
0,BPWZ,    ,1
0,BQWK,    ,1
0,BRKR,    ,1
0,BWKR,    ,1
0,BXUR,    ,1
0,CTGC,    ,1
0,CWKW,    ,1
0,CYWF,    ,1
0,CZQZ,    ,1
0,DDPF,    ,1
0,DESR,    ,1
0,DKFX,    ,1
0,DNNL,    ,1
0,DPNB,    ,1
0,DVLK,    ,1
