Seaport,Priority,Airport
00A1,0,NNGX
00IO,0,FGDC
00XT,0,STRL
AAPV,0,UMXB
ABFL,0,UGZX
ADKH,0,UGZX
ADLS,0,FUQN
AELU,0,CWKW
AEQT,0,UMXB
AJGX,0,ASHE
ALRF,0,QFQE
AMCQ,0,AJJY
APFD,0,HNTK
APGW,0,UGZX
AVBU,0,FJXT
AVYX,0,UMXB
BBNQ,0,GAMH
BBNV,0,GAMH
BQWA,0,UGZX
BSRL,0,WSVC
CHCY,0,TYFR
CWCP,0,UMXB
CWGV,0,LXEZ
DKSD,0,DKFX
DRUG,0,MEPJ
EDME,0,FGDC
EGNN,0,XDAT
ENCN,0,UHGN
EZMU,0,UMXB
FGDB,0,FGDC
FGDD,0,KNMD
FGTW,0,JEAH
FMAZ,0,UGZX
FNLD,0,FGDC
FNSH,0,FXSB
FQZF,0,PTFL
GPEN,0,QFQE
GWZP,0,ASHE
HAGC,0,UHGN
HMGB,0,UGZX
HNTS,0,HNTK
HUPR,0,ASHE
JJRP,0,QFQE
JSSN,0,AJJY
JTVH,0,FTFA
JWJY,0,CWKW
JWTD,0,MEPJ
JXKM,0,PTFL
JYPN,0,TYFR
KZPH,0,LXEZ
KZTZ,0,KNMD
LCMT,0,UHGN
LKPE,0,PQWY
LRNC,0,CWKW
LSGM,0,LEXG
LUTP,0,UGZX
LWEV,0,UGZX
LYAP,0,UGZX
LYRV,0,LXEZ
LYTM,0,PTFL
MKAG,0,ZNRE
MLDL,0,ASHE
MMGH,0,MEPJ
MZJK,0,QFQE
NBDY,0,ASHE
NLFL,0,PTFL
NNWH,0,UMXB
NPTU,0,QKJA
NSAN,0,QKJA
PAXM,0,LXEZ
PCFC,0,BPWZ
PCFG,0,FTFA
PKVP,0,MEPJ
PPSH,0,LEXG
QCFF,0,LEXG
QHPB,0,UGZX
QHPD,0,UGZX
QHPF,0,UGZX
QNPW,0,MEPJ
QTUP,0,VKAG
RCYQ,0,UGZX
RCYT,0,UGZX
RELG,0,ZNRE
REPV,0,LXEZ
RGJW,0,ASHE
RQNK,0,GAMH
RRHU,0,PTFL
RRRK,0,PTFL
RUAM,0,NNGX
RUAQ,0,NNGX
RULV,0,MUHJ
SBEA,0,MUHJ
SBEQ,0,SBDW
SEA1,0,SEA1
SERU,0,XDAT
SMXS,0,ZNRE
STRM,0,STRL
SVCN,0,FTFA
SYZZ,0,KNMD
TGWS,0,VRJT
TKDW,0,MEPJ
TNVX,0,LEXG
TNZY,0,QKJA
TPPR,0,PTFL
TPRW,0,VSMR
TQKG,0,PQWY
TRZP,0,MQNA
TVJD,0,MEPJ
TVXA,0,UGZX
TZL4,0,UGZX
TZYR,0,UGZX
UMXA,0,UMXB
UNAP,0,QFQE
UTAC,0,QKJA
UTVT,0,DKFX
UULA,0,LEXG
UULB,0,UMXB
UULX,0,QKJA
UYQR,0,ZNRE
UZXJ,0,LEXG
VFVN,0,PQWY
VKNP,0,FUQN
VPRF,0,ZNRE
VSNF,0,VSMR
WMPT,0,VKAG
WPAU,0,KNMD
WPVT,0,XDAT
WQZM,0,UMXB
WTJG,0,UMXB
WYKZ,0,ZNRE
XEXW,0,ASHE
XRVJ,0,UMXB
XUDT,0,PQWY
XVMN,0,ASHE
XVRV,0,UHGN
XYNK,0,ASHE
YRTK,0,KNMD
ZBES,0,VKAG
ZMJJ,0,LXEZ
ZNMC,0,ZNRE
ZSJC,0,LXEZ
00A1,1,""
00IO,1,""
00XT,1,""
AAPV,1,""
ABFL,1,""
ADKH,1,""
ADLS,1,""
AELU,1,""
AEQT,1,""
AJGX,1,""
ALRF,1,""
AMCQ,1,""
APFD,1,""
APGW,1,""
AVBU,1,""
AVYX,1,""
BBNQ,1,""
BBNV,1,""
BQWA,1,""
BSRL,1,""
CHCY,1,""
CWCP,1,""
CWGV,1,""
DKSD,1,""
DRUG,1,""
EDME,1,""
EGNN,1,""
ENCN,1,""
EZMU,1,""
FGDB,1,""
FGDD,1,""
FGTW,1,""
FMAZ,1,""
FNLD,1,""
FNSH,1,""
FQZF,1,""
GPEN,1,""
GWZP,1,""
HAGC,1,""
HMGB,1,""
HNTS,1,""
HUPR,1,""
JJRP,1,""
JSSN,1,""
JTVH,1,""
JWJY,1,""
JWTD,1,""
JXKM,1,""
JYPN,1,""
KZPH,1,""
KZTZ,1,""
LCMT,1,""
LKPE,1,""
LRNC,1,""
LSGM,1,""
LUTP,1,""
LWEV,1,""
LYAP,1,""
LYRV,1,""
LYTM,1,""
MKAG,1,""
MLDL,1,""
MMGH,1,""
MZJK,1,""
NBDY,1,""
NLFL,1,""
NNWH,1,""
NPTU,1,""
NSAN,1,""
PAXM,1,""
PCFC,1,""
PCFG,1,""
PKVP,1,""
PPSH,1,""
QCFF,1,""
QHPB,1,""
QHPD,1,""
QHPF,1,""
QNPW,1,""
QTUP,1,""
RCYQ,1,""
RCYT,1,""
RELG,1,""
REPV,1,""
RGJW,1,""
RQNK,1,""
RRHU,1,""
RRRK,1,""
RUAM,1,""
RUAQ,1,""
RULV,1,""
SBEA,1,""
SBEQ,1,""
SEA1,1,""
SERU,1,""
SMXS,1,""
STRM,1,""
SVCN,1,""
SYZZ,1,""
TGWS,1,""
TKDW,1,""
TNVX,1,""
TNZY,1,""
TPPR,1,""
TPRW,1,""
TQKG,1,""
TRZP,1,""
TVJD,1,""
TVXA,1,""
TZL4,1,""
TZYR,1,""
UMXA,1,""
UNAP,1,""
UTAC,1,""
UTVT,1,""
UULA,1,""
UULB,1,""
UULX,1,""
UYQR,1,""
UZXJ,1,""
VFVN,1,""
VKNP,1,""
VPRF,1,""
VSNF,1,""
WMPT,1,""
WPAU,1,""
WPVT,1,""
WQZM,1,""
WTJG,1,""
WYKZ,1,""
XEXW,1,""
XRVJ,1,""
XUDT,1,""
XVMN,1,""
XVRV,1,""
XYNK,1,""
YRTK,1,""
ZBES,1,""
ZMJJ,1,""
ZNMC,1,""
ZSJC,1,""
00A1,2,""
00IO,2,""
00XT,2,""
AAPV,2,""
ABFL,2,""
ADKH,2,""
ADLS,2,""
AELU,2,""
AEQT,2,""
AJGX,2,""
ALRF,2,""
AMCQ,2,""
APFD,2,""
APGW,2,""
AVBU,2,""
AVYX,2,""
BBNQ,2,""
BBNV,2,""
BQWA,2,""
BSRL,2,""
CHCY,2,""
CWCP,2,""
CWGV,2,""
DKSD,2,""
DRUG,2,""
EDME,2,""
EGNN,2,""
ENCN,2,""
EZMU,2,""
FGDB,2,""
FGDD,2,""
FGTW,2,""
FMAZ,2,""
FNLD,2,""
FNSH,2,""
FQZF,2,""
GPEN,2,""
GWZP,2,""
HAGC,2,""
HMGB,2,""
HNTS,2,""
HUPR,2,""
JJRP,2,""
JSSN,2,""
JTVH,2,""
JWJY,2,""
JWTD,2,""
JXKM,2,""
JYPN,2,""
KZPH,2,""
KZTZ,2,""
LCMT,2,""
LKPE,2,""
LRNC,2,""
LSGM,2,""
LUTP,2,""
LWEV,2,""
LYAP,2,""
LYRV,2,""
LYTM,2,""
MKAG,2,""
MLDL,2,""
MMGH,2,""
MZJK,2,""
NBDY,2,""
NLFL,2,""
NNWH,2,""
NPTU,2,""
NSAN,2,""
PAXM,2,""
PCFC,2,""
PCFG,2,""
PKVP,2,""
PPSH,2,""
QCFF,2,""
QHPB,2,""
QHPD,2,""
QHPF,2,""
QNPW,2,""
QTUP,2,""
RCYQ,2,""
RCYT,2,""
RELG,2,""
REPV,2,""
RGJW,2,""
RQNK,2,""
RRHU,2,""
RRRK,2,""
RUAM,2,""
RUAQ,2,""
RULV,2,""
SBEA,2,""
SBEQ,2,""
SEA1,2,""
SERU,2,""
SMXS,2,""
STRM,2,""
SVCN,2,""
SYZZ,2,""
TGWS,2,""
TKDW,2,""
TNVX,2,""
TNZY,2,""
TPPR,2,""
TPRW,2,""
TQKG,2,""
TRZP,2,""
TVJD,2,""
TVXA,2,""
TZL4,2,""
TZYR,2,""
UMXA,2,""
UNAP,2,""
UTAC,2,""
UTVT,2,""
UULA,2,""
UULB,2,""
UULX,2,""
UYQR,2,""
UZXJ,2,""
VFVN,2,""
VKNP,2,""
VPRF,2,""
VSNF,2,""
WMPT,2,""
WPAU,2,""
WPVT,2,""
WQZM,2,""
WTJG,2,""
WYKZ,2,""
XEXW,2,""
XRVJ,2,""
XUDT,2,""
XVMN,2,""
XVRV,2,""
XYNK,2,""
YRTK,2,""
ZBES,2,""
ZMJJ,2,""
ZNMC,2,""
ZSJC,2,""
