Event Day,Airport,AC Type,Enroute Loaded
0,AEDY,B-747P,false
0,AEDY,C-17,false
0,AEDY,C-5A,false
0,AEDY,CH47,false
0,AEDY,KC-10,false
0,AGGN,B-747P,false
0,AGGN,C-17,false
0,AGGN,C-5A,false
0,AGGN,CH47,false
0,AGGN,KC-10,false
0,AJJY,B-747P,true
0,AJJY,C-17,true
0,AJJY,C-5A,true
0,AJJY,CH47,true
0,AJJY,KC-10,true
0,AJXF,B-747P,false
0,AJXF,C-17,false
0,AJXF,C-5A,false
0,AJXF,CH47,false
0,AJXF,KC-10,false
0,AQLM,B-747P,false
0,AQLM,C-17,false
0,AQLM,C-5A,false
0,AQLM,CH47,false
0,AQLM,KC-10,false
0,ASHE,B-747P,false
0,ASHE,C-17,false
0,ASHE,C-5A,false
0,ASHE,CH47,false
0,ASHE,KC-10,false
0,ATXK,B-747P,false
0,ATXK,C-17,false
0,ATXK,C-5A,false
0,ATXK,CH47,false
0,ATXK,KC-10,false
0,AVXV,B-747P,false
0,AVXV,C-17,false
0,AVXV,C-5A,false
0,AVXV,CH47,false
0,AVXV,KC-10,false
0,AWUB,B-747P,false
0,AWUB,C-17,false
0,AWUB,C-5A,false
0,AWUB,CH47,false
0,AWUB,KC-10,false
0,BAEY,B-747P,false
0,BAEY,C-17,false
0,BAEY,C-5A,false
0,BAEY,CH47,false
0,BAEY,KC-10,false
0,BBJM,B-747P,false
0,BBJM,C-17,false
0,BBJM,C-5A,false
0,BBJM,CH47,false
0,BBJM,KC-10,false
0,BJHZ,B-747P,false
0,BJHZ,C-17,false
0,BJHZ,C-5A,false
0,BJHZ,CH47,false
0,BJHZ,KC-10,false
0,BPWZ,B-747P,false
0,BPWZ,C-17,false
0,BPWZ,C-5A,false
0,BPWZ,CH47,false
0,BPWZ,KC-10,false
0,BQWK,B-747P,false
0,BQWK,C-17,false
0,BQWK,C-5A,false
0,BQWK,CH47,false
0,BQWK,KC-10,false
0,BRKR,B-747P,false
0,BRKR,C-17,false
0,BRKR,C-5A,false
0,BRKR,CH47,false
0,BRKR,KC-10,false
0,BWKR,B-747P,false
0,BWKR,C-17,false
0,BWKR,C-5A,false
0,BWKR,CH47,false
0,BWKR,KC-10,false
0,BXUR,B-747P,false
0,BXUR,C-17,false
0,BXUR,C-5A,false
0,BXUR,CH47,false
0,BXUR,KC-10,false
0,CTGC,B-747P,false
0,CTGC,C-17,false
0,CTGC,C-5A,false
0,CTGC,CH47,false
0,CTGC,KC-10,false
0,CWKW,B-747P,true
0,CWKW,C-17,true
0,CWKW,C-5A,true
0,CWKW,CH47,true
0,CWKW,KC-10,true
0,CYWF,B-747P,false
0,CYWF,C-17,false
0,CYWF,C-5A,false
0,CYWF,CH47,false
0,CYWF,KC-10,false
0,CZQZ,B-747P,false
0,CZQZ,C-17,false
0,CZQZ,C-5A,false
0,CZQZ,CH47,false
0,CZQZ,KC-10,false
0,DDPF,B-747P,false
0,DDPF,C-17,false
0,DDPF,C-5A,false
0,DDPF,CH47,false
0,DDPF,KC-10,false
0,DESR,B-747P,false
0,DESR,C-17,false
0,DESR,C-5A,false
0,DESR,CH47,false
0,DESR,KC-10,false
0,DKFX,B-747P,true
0,DKFX,C-17,true
0,DKFX,C-5A,true
0,DKFX,CH47,true
0,DKFX,KC-10,true
0,DNNL,B-747P,false
0,DNNL,C-17,false
0,DNNL,C-5A,false
0,DNNL,CH47,false
0,DNNL,KC-10,false
0,DPNB,B-747P,false
0,DPNB,C-17,false
0,DPNB,C-5A,false
0,DPNB,CH47,false
0,DPNB,KC-10,false
0,DVLK,B-747P,false
0,DVLK,C-17,false
0,DVLK,C-5A,false
0,DVLK,CH47,false
0,DVLK,KC-10,false
0,DYCS,B-747P,false
0,DYCS,C-17,false
0,DYCS,C-5A,false
0,DYCS,CH47,false
0,DYCS,KC-10,false
0,ETZB,B-747P,false
0,ETZB,C-17,false
0,ETZB,C-5A,false
0,ETZB,CH47,false
0,ETZB,KC-10,false
0,EYBD,B-747P,true
0,EYBD,C-17,true
0,EYBD,C-5A,true
0,EYBD,CH47,true
0,EYBD,KC-10,true
0,FAXN,B-747P,false
0,FAXN,C-17,false
0,FAXN,C-5A,false
0,FAXN,CH47,false
0,FAXN,KC-10,false
0,FBNV,B-747P,false
0,FBNV,C-17,false
0,FBNV,C-5A,false
0,FBNV,CH47,false
0,FBNV,KC-10,false
0,FGDC,B-747P,true
0,FGDC,C-17,true
0,FGDC,C-5A,true
0,FGDC,CH47,true
0,FGDC,KC-10,true
0,FGWB,B-747P,false
0,FGWB,C-17,false
0,FGWB,C-5A,false
0,FGWB,CH47,false
0,FGWB,KC-10,false
0,FJXT,B-747P,false
0,FJXT,C-17,false
0,FJXT,C-5A,false
0,FJXT,CH47,false
0,FJXT,KC-10,false
0,FNWZ,B-747P,false
0,FNWZ,C-17,false
0,FNWZ,C-5A,false
0,FNWZ,CH47,false
0,FNWZ,KC-10,false
0,FTEP,B-747P,false
0,FTEP,C-17,false
0,FTEP,C-5A,false
0,FTEP,CH47,false
0,FTEP,KC-10,false
0,FTEV,B-747P,false
0,FTEV,C-17,false
0,FTEV,C-5A,false
0,FTEV,CH47,false
0,FTEV,KC-10,false
0,FTFA,B-747P,false
0,FTFA,C-17,false
0,FTFA,C-5A,false
0,FTFA,CH47,false
0,FTFA,KC-10,false
0,FTZH,B-747P,false
0,FTZH,C-17,false
0,FTZH,C-5A,false
0,FTZH,CH47,false
0,FTZH,KC-10,false
0,FUQN,B-747P,false
0,FUQN,C-17,false
0,FUQN,C-5A,false
0,FUQN,CH47,false
0,FUQN,KC-10,false
0,FUZD,B-747P,false
0,FUZD,C-17,false
0,FUZD,C-5A,false
0,FUZD,CH47,false
0,FUZD,KC-10,false
0,FXSB,B-747P,false
0,FXSB,C-17,false
0,FXSB,C-5A,false
0,FXSB,CH47,false
0,FXSB,KC-10,false
0,GAMH,B-747P,false
0,GAMH,C-17,false
0,GAMH,C-5A,false
0,GAMH,CH47,false
0,GAMH,KC-10,false
0,GHLN,B-747P,false
0,GHLN,C-17,false
0,GHLN,C-5A,false
0,GHLN,CH47,false
0,GHLN,KC-10,false
0,GJKZ,B-747P,false
0,GJKZ,C-17,false
0,GJKZ,C-5A,false
0,GJKZ,CH47,false
0,GJKZ,KC-10,false
0,GKVB,B-747P,false
0,GKVB,C-17,false
0,GKVB,C-5A,false
0,GKVB,CH47,false
0,GKVB,KC-10,false
0,GUQE,B-747P,false
0,GUQE,C-17,false
0,GUQE,C-5A,false
0,GUQE,CH47,false
0,GUQE,KC-10,false
0,GYRZ,B-747P,false
0,GYRZ,C-17,false
0,GYRZ,C-5A,false
0,GYRZ,CH47,false
0,GYRZ,KC-10,false
0,HNTK,B-747P,false
0,HNTK,C-17,false
0,HNTK,C-5A,false
0,HNTK,CH47,false
0,HNTK,KC-10,false
0,HPBF,B-747P,false
0,HPBF,C-17,false
0,HPBF,C-5A,false
0,HPBF,CH47,false
0,HPBF,KC-10,false
0,HTUX,B-747P,false
0,HTUX,C-17,false
0,HTUX,C-5A,false
0,HTUX,CH47,false
0,HTUX,KC-10,false
0,HUUA,B-747P,false
0,HUUA,C-17,false
0,HUUA,C-5A,false
0,HUUA,CH47,false
0,HUUA,KC-10,false
0,JEAH,B-747P,false
0,JEAH,C-17,false
0,JEAH,C-5A,false
0,JEAH,CH47,false
0,JEAH,KC-10,false
0,JFSD,B-747P,false
0,JFSD,C-17,false
0,JFSD,C-5A,false
0,JFSD,CH47,false
0,JFSD,KC-10,false
0,JREZ,B-747P,false
0,JREZ,C-17,false
0,JREZ,C-5A,false
0,JREZ,CH47,false
0,JREZ,KC-10,false
0,KJGW,B-747P,false
0,KJGW,C-17,false
0,KJGW,C-5A,false
0,KJGW,CH47,false
0,KJGW,KC-10,false
0,KNMD,B-747P,true
0,KNMD,C-17,true
0,KNMD,C-5A,true
0,KNMD,CH47,true
0,KNMD,KC-10,true
0,KRSM,B-747P,false
0,KRSM,C-17,false
0,KRSM,C-5A,false
0,KRSM,CH47,false
0,KRSM,KC-10,false
0,KWRD,B-747P,false
0,KWRD,C-17,false
0,KWRD,C-5A,false
0,KWRD,CH47,false
0,KWRD,KC-10,false
0,KYJL,B-747P,false
0,KYJL,C-17,false
0,KYJL,C-5A,false
0,KYJL,CH47,false
0,KYJL,KC-10,false
0,KZTV,B-747P,false
0,KZTV,C-17,false
0,KZTV,C-5A,false
0,KZTV,CH47,false
0,KZTV,KC-10,false
0,LEXG,B-747P,false
0,LEXG,C-17,false
0,LEXG,C-5A,false
0,LEXG,CH47,false
0,LEXG,KC-10,false
0,LSGE,B-747P,false
0,LSGE,C-17,false
0,LSGE,C-5A,false
0,LSGE,CH47,false
0,LSGE,KC-10,false
0,LXEZ,B-747P,false
0,LXEZ,C-17,false
0,LXEZ,C-5A,false
0,LXEZ,CH47,false
0,LXEZ,KC-10,false
0,LYAX,B-747P,false
0,LYAX,C-17,false
0,LYAX,C-5A,false
0,LYAX,CH47,false
0,LYAX,KC-10,false
0,MAHG,B-747P,false
0,MAHG,C-17,false
0,MAHG,C-5A,false
0,MAHG,CH47,false
0,MAHG,KC-10,false
0,MBPB,B-747P,false
0,MBPB,C-17,false
0,MBPB,C-5A,false
0,MBPB,CH47,false
0,MBPB,KC-10,false
0,MEPJ,B-747P,false
0,MEPJ,C-17,false
0,MEPJ,C-5A,false
0,MEPJ,CH47,false
0,MEPJ,KC-10,false
0,MHMV,B-747P,false
0,MHMV,C-17,false
0,MHMV,C-5A,false
0,MHMV,CH47,false
0,MHMV,KC-10,false
0,MQNA,B-747P,true
0,MQNA,C-17,true
0,MQNA,C-5A,true
0,MQNA,CH47,true
0,MQNA,KC-10,true
0,MSET,B-747P,false
0,MSET,C-17,false
0,MSET,C-5A,false
0,MSET,CH47,false
0,MSET,KC-10,false
0,MSQB,B-747P,false
0,MSQB,C-17,false
0,MSQB,C-5A,false
0,MSQB,CH47,false
0,MSQB,KC-10,false
0,MUHJ,B-747P,false
0,MUHJ,C-17,false
0,MUHJ,C-5A,false
0,MUHJ,CH47,false
0,MUHJ,KC-10,false
0,MYXZ,B-747P,false
0,MYXZ,C-17,false
0,MYXZ,C-5A,false
0,MYXZ,CH47,false
0,MYXZ,KC-10,false
0,NKAK,B-747P,false
0,NKAK,C-17,false
0,NKAK,C-5A,false
0,NKAK,CH47,false
0,NKAK,KC-10,false
0,NNGX,B-747P,false
0,NNGX,C-17,false
0,NNGX,C-5A,false
0,NNGX,CH47,false
0,NNGX,KC-10,false
0,NRCH,B-747P,false
0,NRCH,C-17,false
0,NRCH,C-5A,false
0,NRCH,CH47,false
0,NRCH,KC-10,false
0,NUEX,B-747P,false
0,NUEX,C-17,false
0,NUEX,C-5A,false
0,NUEX,CH47,false
0,NUEX,KC-10,false
0,NVZR,B-747P,false
0,NVZR,C-17,false
0,NVZR,C-5A,false
0,NVZR,CH47,false
0,NVZR,KC-10,false
0,NWXN,B-747P,false
0,NWXN,C-17,false
0,NWXN,C-5A,false
0,NWXN,CH47,false
0,NWXN,KC-10,false
0,NZAS,B-747P,false
0,NZAS,C-17,false
0,NZAS,C-5A,false
0,NZAS,CH47,false
0,NZAS,KC-10,false
0,OPA1,B-747P,false
0,OPA1,C-17,false
0,OPA1,C-5A,false
0,OPA1,CH47,false
0,OPA1,KC-10,false
0,PCZP,B-747P,false
0,PCZP,C-17,false
0,PCZP,C-5A,false
0,PCZP,CH47,false
0,PCZP,KC-10,false
0,PJVY,B-747P,false
0,PJVY,C-17,false
0,PJVY,C-5A,false
0,PJVY,CH47,false
0,PJVY,KC-10,false
0,PNQS,B-747P,false
0,PNQS,C-17,false
0,PNQS,C-5A,false
0,PNQS,CH47,false
0,PNQS,KC-10,false
0,PQWY,B-747P,false
0,PQWY,C-17,false
0,PQWY,C-5A,false
0,PQWY,CH47,false
0,PQWY,KC-10,false
0,PRQE,B-747P,false
0,PRQE,C-17,false
0,PRQE,C-5A,false
0,PRQE,CH47,false
0,PRQE,KC-10,false
0,PSXE,B-747P,false
0,PSXE,C-17,false
0,PSXE,C-5A,false
0,PSXE,CH47,false
0,PSXE,KC-10,false
0,PTFL,B-747P,true
0,PTFL,C-17,true
0,PTFL,C-5A,true
0,PTFL,CH47,true
0,PTFL,KC-10,true
0,QFQE,B-747P,false
0,QFQE,C-17,false
0,QFQE,C-5A,false
0,QFQE,CH47,false
0,QFQE,KC-10,false
0,QJKL,B-747P,false
0,QJKL,C-17,false
0,QJKL,C-5A,false
0,QJKL,CH47,false
0,QJKL,KC-10,false
0,QJVF,B-747P,false
0,QJVF,C-17,false
0,QJVF,C-5A,false
