Fleet,ACType,Service,UE,RESUPPLY,AMMO,SPECIAL,POL,PAX
STRATEGIC,B-747P,* DYNAMIC CIN *,0,0,0,0,0,1
STRATEGIC,B-747P,AIR-FORCE,0,0,0,0,0,1
STRATEGIC,B-747P,ARMY,0,0,0,0,0,1
STRATEGIC,B-747P,MARINES,0,0,0,0,0,1
STRATEGIC,B-747P,NAVY,0,0,0,0,0,1
STRATEGIC,C-17,* DYNAMIC CIN *,1,1,1,0,1,1
STRATEGIC,C-17,AIR-FORCE,1,1,1,0,1,1
STRATEGIC,C-17,ARMY,1,1,1,0,1,1
STRATEGIC,C-17,MARINES,1,1,1,0,1,1
STRATEGIC,C-17,NAVY,1,1,1,0,1,1
STRATEGIC,C-5A,* DYNAMIC CIN *,1,1,1,0,1,1
STRATEGIC,C-5A,AIR-FORCE,1,1,1,0,1,1
STRATEGIC,C-5A,ARMY,1,1,1,0,1,1
STRATEGIC,C-5A,MARINES,1,1,1,0,1,1
STRATEGIC,C-5A,NAVY,1,1,1,0,1,1
STRATEGIC,CH47,* DYNAMIC CIN *,1,1,1,1,1,1
STRATEGIC,CH47,AIR-FORCE,1,1,1,1,1,1
STRATEGIC,CH47,ARMY,1,1,1,1,1,1
STRATEGIC,CH47,MARINES,1,1,1,1,1,1
STRATEGIC,CH47,NAVY,1,1,1,1,1,1
STRATEGIC,KC-10,* DYNAMIC CIN *,1,1,1,0,1,0
STRATEGIC,KC-10,AIR-FORCE,1,1,1,0,1,0
STRATEGIC,KC-10,ARMY,1,1,1,0,1,0
STRATEGIC,KC-10,MARINES,1,1,1,0,1,0
STRATEGIC,KC-10,NAVY,1,1,1,0,1,0
