Event Day,Service,Fleet,Restriction
0,ARMY,AMMO,true
0,ARMY,EUSC,true
0,ARMY,FF-LINER,true
0,ARMY,FLOW,true
0,ARMY,MSC,true
0,ARMY,ORG SURGE,true
0,ARMY,RRF,true
0,ARMY,VISA,true
0,AIR-FORCE,AMMO,true
0,AIR-FORCE,EUSC,true
0,AIR-FORCE,FF-LINER,true
0,AIR-FORCE,FLOW,true
0,AIR-FORCE,MSC,true
0,AIR-FORCE,ORG SURGE,true
0,AIR-FORCE,RRF,true
0,AIR-FORCE,VISA,true
0,NAVY,AMMO,true
0,NAVY,EUSC,true
0,NAVY,FF-LINER,true
0,NAVY,FLOW,true
0,NAVY,MSC,true
0,NAVY,ORG SURGE,true
0,NAVY,RRF,true
0,NAVY,VISA,true
0,MARINES,AMMO,true
0,MARINES,EUSC,true
0,MARINES,FF-LINER,true
0,MARINES,FLOW,true
0,MARINES,MSC,true
0,MARINES,ORG SURGE,true
0,MARINES,RRF,true
0,MARINES,VISA,true
