Event Day,Seaport,Open
0,00A1,true
0,00IO,true
0,00XT,true
0,AAPV,true
0,ABFL,true
0,ADKH,true
0,ADLS,true
0,AELU,true
0,AEQT,true
0,AJGX,true
0,ALRF,true
0,AMCQ,true
0,APFD,true
0,APGW,true
0,AVBU,true
0,AVYX,true
0,BBNQ,true
0,BBNV,true
0,BQWA,true
0,BSRL,true
0,CHCY,true
0,CWCP,true
0,CWGV,true
0,DKSD,true
0,DRUG,true
0,EDME,true
0,EGNN,true
0,ENCN,true
0,EZMU,true
0,FGDB,true
0,FGDD,true
0,FGTW,true
0,FMAZ,true
0,FNLD,true
0,FNSH,true
0,FQZF,true
0,GPEN,true
0,GWZP,true
0,HAGC,true
0,HMGB,true
0,HNTS,true
0,HUPR,true
0,JJRP,true
0,JSSN,true
0,JTVH,true
0,JWJY,true
0,JWTD,true
0,JXKM,true
0,JYPN,true
0,KZPH,true
0,KZTZ,true
0,LCMT,true
0,LKPE,true
0,LRNC,true
0,LSGM,true
0,LUTP,true
0,LWEV,true
0,LYAP,true
0,LYRV,true
0,LYTM,true
0,MKAG,true
0,MLDL,true
0,MMGH,true
0,MZJK,true
0,NBDY,true
0,NLFL,true
0,NNWH,true
0,NPTU,true
0,NSAN,true
0,PAXM,true
0,PCFC,true
0,PCFG,true
0,PKVP,true
0,PPSH,true
0,QCFF,true
0,QHPB,true
0,QHPD,true
0,QHPF,true
0,QNPW,true
0,QTUP,true
0,RCYQ,true
0,RCYT,true
0,RELG,true
0,REPV,true
0,RGJW,true
0,RQNK,true
0,RRHU,true
0,RRRK,true
0,RUAM,true
0,RUAQ,true
0,RULV,true
0,SBEA,true
0,SBEQ,true
0,SERU,true
0,SMXS,true
0,STRM,true
0,SVCN,true
0,SYZZ,true
0,TGWS,true
0,TKDW,true
0,TNVX,true
0,TNZY,true
0,TPPR,true
0,TPRW,true
0,TQKG,true
0,TRZP,true
0,TVJD,true
0,TVXA,true
0,TZL4,true
0,TZYR,true
0,UMXA,true
0,UNAP,true
0,UTAC,true
0,UTVT,true
0,UULA,true
0,UULB,true
0,UULX,true
0,UYQR,true
0,UZXJ,true
0,VFVN,true
0,VKNP,true
0,VPRF,true
0,VSNF,true
0,WMPT,true
0,WPAU,true
0,WPVT,true
0,WQZM,true
0,WTJG,true
0,WYKZ,true
0,XEXW,true
0,XRVJ,true
0,XUDT,true
0,XVMN,true
0,XVRV,true
0,XYNK,true
0,YRTK,true
0,ZBES,true
0,ZMJJ,true
0,ZNMC,true
0,ZSJC,true
