Seaport,Contains,Commodity Type
00A1,true,AF-AIRCRAFT
00A1,true,AF-SUPPORT
00A1,true,AF-PREPO
00A1,true,MARINE-PREPO
00A1,true,ARMY-PREPO
00A1,true,AIRBORNE
00A1,true,ARMOR
00A1,true,MECH-INFANTR
00A1,true,AIRMOBILE
00A1,true,CBAC
00A1,true,INFANTRY
00A1,true,ARMOR-CAV
00A1,true,AMPH-MARINES
00A1,true,MARINES
00A1,true,CS-ENGINEER
00A1,true,CS-ARTILLERY
00A1,true,CS-OTHER
00A1,true,CSS-ENGINEER
00A1,true,CSS-MEDICAL
00A1,true,CSS-SIGNAL
00A1,true,CSS-SUPPLY
00A1,true,CSS-TRANSPOR
00A1,true,CSS-OTHER
00A1,true,NAVY-UE
00A1,true,RESUPPLY
00A1,true,AMMUNITION
00A1,true,POL
00A1,true,GEN-RESUPPLY
00A1,true,GEN-AMMO
00A1,true,GEN-POL
00IO,true,AF-AIRCRAFT
00IO,true,AF-SUPPORT
00IO,true,AF-PREPO
00IO,true,MARINE-PREPO
00IO,true,ARMY-PREPO
00IO,true,AIRBORNE
00IO,true,ARMOR
00IO,true,MECH-INFANTR
00IO,true,AIRMOBILE
00IO,true,CBAC
00IO,true,INFANTRY
00IO,true,ARMOR-CAV
00IO,true,AMPH-MARINES
00IO,true,MARINES
00IO,true,CS-ENGINEER
00IO,true,CS-ARTILLERY
00IO,true,CS-OTHER
00IO,true,CSS-ENGINEER
00IO,true,CSS-MEDICAL
00IO,true,CSS-SIGNAL
00IO,true,CSS-SUPPLY
00IO,true,CSS-TRANSPOR
00IO,true,CSS-OTHER
00IO,true,NAVY-UE
00IO,true,RESUPPLY
00IO,true,AMMUNITION
00IO,true,POL
00IO,true,GEN-RESUPPLY
00IO,true,GEN-AMMO
00IO,true,GEN-POL
00XT,true,AF-AIRCRAFT
00XT,true,AF-SUPPORT
00XT,true,AF-PREPO
00XT,true,MARINE-PREPO
00XT,true,ARMY-PREPO
00XT,true,AIRBORNE
00XT,true,ARMOR
00XT,true,MECH-INFANTR
00XT,true,AIRMOBILE
00XT,true,CBAC
00XT,true,INFANTRY
00XT,true,ARMOR-CAV
00XT,true,AMPH-MARINES
00XT,true,MARINES
00XT,true,CS-ENGINEER
00XT,true,CS-ARTILLERY
00XT,true,CS-OTHER
00XT,true,CSS-ENGINEER
00XT,true,CSS-MEDICAL
00XT,true,CSS-SIGNAL
00XT,true,CSS-SUPPLY
00XT,true,CSS-TRANSPOR
00XT,true,CSS-OTHER
00XT,true,NAVY-UE
00XT,true,RESUPPLY
00XT,true,AMMUNITION
00XT,true,POL
00XT,true,GEN-RESUPPLY
00XT,true,GEN-AMMO
00XT,true,GEN-POL
AAPV,true,AF-AIRCRAFT
AAPV,true,AF-SUPPORT
AAPV,true,AF-PREPO
AAPV,true,MARINE-PREPO
AAPV,true,ARMY-PREPO
AAPV,true,AIRBORNE
AAPV,true,ARMOR
AAPV,true,MECH-INFANTR
AAPV,true,AIRMOBILE
AAPV,true,CBAC
AAPV,true,INFANTRY
AAPV,true,ARMOR-CAV
AAPV,true,AMPH-MARINES
AAPV,true,MARINES
AAPV,true,CS-ENGINEER
AAPV,true,CS-ARTILLERY
AAPV,true,CS-OTHER
AAPV,true,CSS-ENGINEER
AAPV,true,CSS-MEDICAL
AAPV,true,CSS-SIGNAL
AAPV,true,CSS-SUPPLY
AAPV,true,CSS-TRANSPOR
AAPV,true,CSS-OTHER
AAPV,true,NAVY-UE
AAPV,true,RESUPPLY
AAPV,true,AMMUNITION
AAPV,true,POL
AAPV,true,GEN-RESUPPLY
AAPV,true,GEN-AMMO
AAPV,true,GEN-POL
ABFL,true,AF-AIRCRAFT
ABFL,true,AF-SUPPORT
