Event Day,ShipType,CommodityType,Constraint
0,BARGE(LASH),AF-AIRCRAFT,true
0,BARGE(LASH),AF-SUPPORT,true
0,BARGE(LASH),AF-PREPO,true
0,BARGE(LASH),MARINE-PREPO,true
0,BARGE(LASH),ARMY-PREPO,true
0,BARGE(LASH),AIRBORNE,true
0,BARGE(LASH),ARMOR,true
0,BARGE(LASH),MECH-INFANTR,true
0,BARGE(LASH),AIRMOBILE,true
0,BARGE(LASH),CBAC,true
0,BARGE(LASH),INFANTRY,true
0,BARGE(LASH),ARMOR-CAV,true
0,BARGE(LASH),AMPH-MARINES,true
0,BARGE(LASH),MARINES,true
0,BARGE(LASH),CS-ENGINEER,true
0,BARGE(LASH),CS-ARTILLERY,true
0,BARGE(LASH),CS-OTHER,true
0,BARGE(LASH),CSS-ENGINEER,true
0,BARGE(LASH),CSS-MEDICAL,true
0,BARGE(LASH),CSS-SIGNAL,true
0,BARGE(LASH),CSS-SUPPLY,true
0,BARGE(LASH),CSS-TRANSPOR,true
0,BARGE(LASH),CSS-OTHER,true
0,BARGE(LASH),NAVY-UE,true
0,BARGE(LASH),RESUPPLY,true
0,BARGE(LASH),AMMUNITION,true
0,BARGE(LASH),POL,true
0,BARGE(LASH),GEN-RESUPPLY,true
0,BARGE(LASH),GEN-AMMO,true
0,BARGE(LASH),GEN-POL,true
0,BARGE(T-AKB),AF-AIRCRAFT,true
0,BARGE(T-AKB),AF-SUPPORT,true
0,BARGE(T-AKB),AF-PREPO,true
0,BARGE(T-AKB),MARINE-PREPO,true
0,BARGE(T-AKB),ARMY-PREPO,true
0,BARGE(T-AKB),AIRBORNE,true
0,BARGE(T-AKB),ARMOR,true
0,BARGE(T-AKB),MECH-INFANTR,true
0,BARGE(T-AKB),AIRMOBILE,true
0,BARGE(T-AKB),CBAC,true
0,BARGE(T-AKB),INFANTRY,true
0,BARGE(T-AKB),ARMOR-CAV,true
0,BARGE(T-AKB),AMPH-MARINES,true
0,BARGE(T-AKB),MARINES,true
0,BARGE(T-AKB),CS-ENGINEER,true
0,BARGE(T-AKB),CS-ARTILLERY,true
0,BARGE(T-AKB),CS-OTHER,true
0,BARGE(T-AKB),CSS-ENGINEER,true
0,BARGE(T-AKB),CSS-MEDICAL,true
0,BARGE(T-AKB),CSS-SIGNAL,true
0,BARGE(T-AKB),CSS-SUPPLY,true
0,BARGE(T-AKB),CSS-TRANSPOR,true
0,BARGE(T-AKB),CSS-OTHER,true
0,BARGE(T-AKB),NAVY-UE,true
0,BARGE(T-AKB),RESUPPLY,true
0,BARGE(T-AKB),AMMUNITION,true
0,BARGE(T-AKB),POL,true
0,BARGE(T-AKB),GEN-RESUPPLY,true
0,BARGE(T-AKB),GEN-AMMO,true
0,BARGE(T-AKB),GEN-POL,true
0,BREAKBULK,AF-AIRCRAFT,true
0,BREAKBULK,AF-SUPPORT,true
0,BREAKBULK,AF-PREPO,true
0,BREAKBULK,MARINE-PREPO,true
0,BREAKBULK,ARMY-PREPO,true
0,BREAKBULK,AIRBORNE,true
0,BREAKBULK,ARMOR,true
0,BREAKBULK,MECH-INFANTR,true
0,BREAKBULK,AIRMOBILE,true
0,BREAKBULK,CBAC,true
0,BREAKBULK,INFANTRY,true
0,BREAKBULK,ARMOR-CAV,true
0,BREAKBULK,AMPH-MARINES,true
0,BREAKBULK,MARINES,true
0,BREAKBULK,CS-ENGINEER,true
0,BREAKBULK,CS-ARTILLERY,true
0,BREAKBULK,CS-OTHER,true
0,BREAKBULK,CSS-ENGINEER,true
0,BREAKBULK,CSS-MEDICAL,true
0,BREAKBULK,CSS-SIGNAL,true
0,BREAKBULK,CSS-SUPPLY,true
0,BREAKBULK,CSS-TRANSPOR,true
0,BREAKBULK,CSS-OTHER,true
0,BREAKBULK,NAVY-UE,true
0,BREAKBULK,RESUPPLY,true
0,BREAKBULK,AMMUNITION,true
0,BREAKBULK,POL,true
0,BREAKBULK,GEN-RESUPPLY,true
0,BREAKBULK,GEN-AMMO,true
0,BREAKBULK,GEN-POL,true
0,CAR TRANS,AF-AIRCRAFT,true
0,CAR TRANS,AF-SUPPORT,true
0,CAR TRANS,AF-PREPO,true
0,CAR TRANS,MARINE-PREPO,true
0,CAR TRANS,ARMY-PREPO,true
0,CAR TRANS,AIRBORNE,true
0,CAR TRANS,ARMOR,true
0,CAR TRANS,MECH-INFANTR,true
0,CAR TRANS,AIRMOBILE,true
0,CAR TRANS,CBAC,true
0,CAR TRANS,INFANTRY,true
