Ship Type,Cargo Class,Cargo Cat,Cargo Cat Code,ContStow,AreaStow,VolStow
BARGE(LASH),0,CONTAINER,0,0,0,0
BARGE(T-AKB),0,CONTAINER,0,0,0,0
BREAKBULK,0,CONTAINER,0,0,0,0
CAR TRANS,0,CONTAINER,0,0,0,0
CLF,0,CONTAINER,0,0,0,0
COMBO,0,CONTAINER,0,0,0,0
CONT-NSS,0,CONTAINER,0,0,0,0
CONT-SS,0,CONTAINER,0,0,0,0
FSS,0,CONTAINER,0,0,0,0
PAX,0,CONTAINER,0,0,0,0
POL TANKER,0,CONTAINER,0,0,0,0
RO/RO,0,CONTAINER,0,0,0,0
RO/RO(T-AKR),0,CONTAINER,0,0,0,0
T-ACS,0,CONTAINER,0,0,0,0
T-AH,0,CONTAINER,0,0,0,0
VISA CONT,0,CONTAINER,0,0,0,0
BARGE(LASH),0,WHEELED,1,0,0,0
BARGE(T-AKB),0,WHEELED,1,0,0,0
BREAKBULK,0,WHEELED,1,0,0,0
CAR TRANS,0,WHEELED,1,0,0,0
CLF,0,WHEELED,1,0,0,0
COMBO,0,WHEELED,1,0,0,0
CONT-NSS,0,WHEELED,1,0,0,0
CONT-SS,0,WHEELED,1,0,0,0
FSS,0,WHEELED,1,0,0,0
PAX,0,WHEELED,1,0,0,0
POL TANKER,0,WHEELED,1,0,0,0
RO/RO,0,WHEELED,1,0,0,0
RO/RO(T-AKR),0,WHEELED,1,0,0,0
T-ACS,0,WHEELED,1,0,0,0
T-AH,0,WHEELED,1,0,0,0
VISA CONT,0,WHEELED,1,0,0,0
BARGE(LASH),0,TRACKED,2,0,0,0
BARGE(T-AKB),0,TRACKED,2,0,0,0
BREAKBULK,0,TRACKED,2,0,0,0
CAR TRANS,0,TRACKED,2,0,0,0
CLF,0,TRACKED,2,0,0,0
COMBO,0,TRACKED,2,0,0,0
CONT-NSS,0,TRACKED,2,0,0,0
CONT-SS,0,TRACKED,2,0,0,0
FSS,0,TRACKED,2,0,0,0
PAX,0,TRACKED,2,0,0,0
POL TANKER,0,TRACKED,2,0,0,0
RO/RO,0,TRACKED,2,0,0,0
RO/RO(T-AKR),0,TRACKED,2,0,0,0
T-ACS,0,TRACKED,2,0,0,0
T-AH,0,TRACKED,2,0,0,0
VISA CONT,0,TRACKED,2,0,0,0
BARGE(LASH),0,NSDA,3,0,0,0
BARGE(T-AKB),0,NSDA,3,0,0,0
BREAKBULK,0,NSDA,3,0,0,0
CAR TRANS,0,NSDA,3,0,0,0
CLF,0,NSDA,3,0,0,0
COMBO,0,NSDA,3,0,0,0
CONT-NSS,0,NSDA,3,0,0,0
CONT-SS,0,NSDA,3,0,0,0
FSS,0,NSDA,3,0,0,0
PAX,0,NSDA,3,0,0,0
POL TANKER,0,NSDA,3,0,0,0
RO/RO,0,NSDA,3,0,0,0
RO/RO(T-AKR),0,NSDA,3,0,0,0
T-ACS,0,NSDA,3,0,0,0
T-AH,0,NSDA,3,0,0,0
VISA CONT,0,NSDA,3,0,0,0
BARGE(LASH),0,NONCONTAINER,4,0,0,0
BARGE(T-AKB),0,NONCONTAINER,4,0,0,0
BREAKBULK,0,NONCONTAINER,4,0,0,0
CAR TRANS,0,NONCONTAINER,4,0,0,0
CLF,0,NONCONTAINER,4,0,0,0
COMBO,0,NONCONTAINER,4,0,0,0
CONT-NSS,0,NONCONTAINER,4,0,0,0
CONT-SS,0,NONCONTAINER,4,0,0,0
FSS,0,NONCONTAINER,4,0,0,0
PAX,0,NONCONTAINER,4,0,0,0
POL TANKER,0,NONCONTAINER,4,0,0,0
RO/RO,0,NONCONTAINER,4,0,0,0
RO/RO(T-AKR),0,NONCONTAINER,4,0,0,0
T-ACS,0,NONCONTAINER,4,0,0,0
T-AH,0,NONCONTAINER,4,0,0,0
VISA CONT,0,NONCONTAINER,4,0,0,0
BARGE(LASH),1,CONTAINER,0,1,1.5,0.8
BARGE(T-AKB),1,CONTAINER,0,1,1.5,0.8
BREAKBULK,1,CONTAINER,0,1,1.5,0.8
CAR TRANS,1,CONTAINER,0,1,1.5,0
CLF,1,CONTAINER,0,1,1.5,0.8
COMBO,1,CONTAINER,0,1,1.5,0.8
CONT-NSS,1,CONTAINER,0,1,0,0
CONT-SS,1,CONTAINER,0,1,0,0
FSS,1,CONTAINER,0,1,1.5,0
PAX,1,CONTAINER,0,0,0,0
POL TANKER,1,CONTAINER,0,0,0,0
RO/RO,1,CONTAINER,0,1,1.5,0
RO/RO(T-AKR),1,CONTAINER,0,1,1.5,0
T-ACS,1,CONTAINER,0,1,1.5,0.8
T-AH,1,CONTAINER,0,0,0,0
VISA CONT,1,CONTAINER,0,1,0,0
BARGE(LASH),1,WHEELED,1,1,0.75,0.45
BARGE(T-AKB),1,WHEELED,1,1,0.75,0.45
BREAKBULK,1,WHEELED,1,1,0.75,0.45
CAR TRANS,1,WHEELED,1,1,0.75,0
CLF,1,WHEELED,1,1,0.75,0.45
COMBO,1,WHEELED,1,1,0.75,0.45
CONT-NSS,1,WHEELED,1,1,0,0
CONT-SS,1,WHEELED,1,1,0,0
FSS,1,WHEELED,1,1,0.75,0
PAX,1,WHEELED,1,0,0,0
POL TANKER,1,WHEELED,1,0,0,0
RO/RO,1,WHEELED,1,1,0.75,0
RO/RO(T-AKR),1,WHEELED,1,1,0.75,0
T-ACS,1,WHEELED,1,1,0.75,0.45
T-AH,1,WHEELED,1,0,0,0
VISA CONT,1,WHEELED,1,1,0,0
BARGE(LASH),1,TRACKED,2,1,0.75,0.45
BARGE(T-AKB),1,TRACKED,2,1,0.75,0.45
BREAKBULK,1,TRACKED,2,1,0.75,0.45
CAR TRANS,1,TRACKED,2,1,0,0
CLF,1,TRACKED,2,1,0.75,0.45
COMBO,1,TRACKED,2,1,0.75,0.45
CONT-NSS,1,TRACKED,2,1,0,0
CONT-SS,1,TRACKED,2,1,0,0
FSS,1,TRACKED,2,1,0.75,0
PAX,1,TRACKED,2,0,0,0
POL TANKER,1,TRACKED,2,0,0,0
RO/RO,1,TRACKED,2,1,0.75,0
RO/RO(T-AKR),1,TRACKED,2,1,0.75,0
T-ACS,1,TRACKED,2,1,0.75,0.45
T-AH,1,TRACKED,2,0,0,0
VISA CONT,1,TRACKED,2,1,0,0
BARGE(LASH),1,NSDA,3,1,1.1,0
BARGE(T-AKB),1,NSDA,3,1,1.1,0
BREAKBULK,1,NSDA,3,1,1.1,0
CAR TRANS,1,NSDA,3,1,1.1,0
CLF,1,NSDA,3,1,1.1,0
COMBO,1,NSDA,3,1,1.1,0
CONT-NSS,1,NSDA,3,1,0,0
CONT-SS,1,NSDA,3,1,0,0
FSS,1,NSDA,3,1,1.1,0
PAX,1,NSDA,3,0,0,0
POL TANKER,1,NSDA,3,0,0,0
RO/RO,1,NSDA,3,1,1.1,0
RO/RO(T-AKR),1,NSDA,3,1,1.1,0
T-ACS,1,NSDA,3,1,1.1,0
T-AH,1,NSDA,3,0,0,0
VISA CONT,1,NSDA,3,1,0,0
BARGE(LASH),1,NONCONTAINER,4,1,0.75,0.8
BARGE(T-AKB),1,NONCONTAINER,4,1,0.75,0.8
BREAKBULK,1,NONCONTAINER,4,1,0.75,0.8
CAR TRANS,1,NONCONTAINER,4,1,0.75,0
CLF,1,NONCONTAINER,4,1,0.75,0.8
COMBO,1,NONCONTAINER,4,1,0.75,0.8
CONT-NSS,1,NONCONTAINER,4,1,0,0
CONT-SS,1,NONCONTAINER,4,1,0,0
FSS,1,NONCONTAINER,4,1,0.75,0
PAX,1,NONCONTAINER,4,0,0,0
POL TANKER,1,NONCONTAINER,4,0,0,0
RO/RO,1,NONCONTAINER,4,1,0.75,0
RO/RO(T-AKR),1,NONCONTAINER,4,1,0.75,0
T-ACS,1,NONCONTAINER,4,1,0.75,0.8
T-AH,1,NONCONTAINER,4,0,0,0
VISA CONT,1,NONCONTAINER,4,1,0,0
BARGE(LASH),2,CONTAINER,0,1,0,0.8
BARGE(T-AKB),2,CONTAINER,0,1,0,0.8
BREAKBULK,2,CONTAINER,0,1,0,0.8
CAR TRANS,2,CONTAINER,0,1,0,0
CLF,2,CONTAINER,0,1,0,0.8
COMBO,2,CONTAINER,0,1,0,0.8
CONT-NSS,2,CONTAINER,0,1,0,0
CONT-SS,2,CONTAINER,0,1,0,0
FSS,2,CONTAINER,0,1,0,0
PAX,2,CONTAINER,0,0,0,0
POL TANKER,2,CONTAINER,0,0,0,0
RO/RO,2,CONTAINER,0,1,0,0
RO/RO(T-AKR),2,CONTAINER,0,1,0,0
T-ACS,2,CONTAINER,0,1,0,0.8
T-AH,2,CONTAINER,0,0,0,0
VISA CONT,2,CONTAINER,0,1,0,0
BARGE(LASH),2,WHEELED,1,1,0.75,0.45
BARGE(T-AKB),2,WHEELED,1,1,0.75,0.45
BREAKBULK,2,WHEELED,1,1,0.75,0.45
CAR TRANS,2,WHEELED,1,1,0.75,0
CLF,2,WHEELED,1,1,0.75,0.45
COMBO,2,WHEELED,1,1,0.75,0.45
CONT-NSS,2,WHEELED,1,1,0,0
CONT-SS,2,WHEELED,1,1,0,0
FSS,2,WHEELED,1,1,0.75,0
PAX,2,WHEELED,1,0,0,0
POL TANKER,2,WHEELED,1,0,0,0
RO/RO,2,WHEELED,1,1,0.75,0
RO/RO(T-AKR),2,WHEELED,1,1,0.75,0
T-ACS,2,WHEELED,1,1,0.75,0.45
T-AH,2,WHEELED,1,0,0,0
VISA CONT,2,WHEELED,1,1,0,0
BARGE(LASH),2,TRACKED,2,1,0.75,0.45
BARGE(T-AKB),2,TRACKED,2,1,0.75,0.45
BREAKBULK,2,TRACKED,2,1,0.75,0.45
CAR TRANS,2,TRACKED,2,1,0,0
CLF,2,TRACKED,2,1,0.75,0.45
COMBO,2,TRACKED,2,1,0.75,0.45
CONT-NSS,2,TRACKED,2,1,0,0
CONT-SS,2,TRACKED,2,1,0,0
FSS,2,TRACKED,2,1,0.75,0
PAX,2,TRACKED,2,0,0,0
POL TANKER,2,TRACKED,2,0,0,0
RO/RO,2,TRACKED,2,1,0.75,0
RO/RO(T-AKR),2,TRACKED,2,1,0.75,0
T-ACS,2,TRACKED,2,1,0.75,0.45
T-AH,2,TRACKED,2,0,0,0
VISA CONT,2,TRACKED,2,1,0,0
BARGE(LASH),2,NSDA,3,1,1.1,0
BARGE(T-AKB),2,NSDA,3,1,1.1,0
BREAKBULK,2,NSDA,3,1,1.1,0
CAR TRANS,2,NSDA,3,1,1.1,0
CLF,2,NSDA,3,1,1.1,0
COMBO,2,NSDA,3,1,1.1,0
CONT-NSS,2,NSDA,3,1,0,0
CONT-SS,2,NSDA,3,1,0,0
FSS,2,NSDA,3,1,1.1,0
PAX,2,NSDA,3,0,0,0
POL TANKER,2,NSDA,3,0,0,0
RO/RO,2,NSDA,3,1,1.1,0
RO/RO(T-AKR),2,NSDA,3,1,1.1,0
T-ACS,2,NSDA,3,1,1.1,0
T-AH,2,NSDA,3,0,0,0
VISA CONT,2,NSDA,3,1,0,0
BARGE(LASH),2,NONCONTAINER,4,1,0.75,0.8
BARGE(T-AKB),2,NONCONTAINER,4,1,0.75,0.8
BREAKBULK,2,NONCONTAINER,4,1,0.75,0.8
CAR TRANS,2,NONCONTAINER,4,1,0.75,0
CLF,2,NONCONTAINER,4,1,0.75,0.8
COMBO,2,NONCONTAINER,4,1,0.75,0.8
CONT-NSS,2,NONCONTAINER,4,1,0,0
CONT-SS,2,NONCONTAINER,4,1,0,0
FSS,2,NONCONTAINER,4,1,0.75,0
PAX,2,NONCONTAINER,4,0,0,0
POL TANKER,2,NONCONTAINER,4,0,0,0
RO/RO,2,NONCONTAINER,4,1,0,0
RO/RO(T-AKR),2,NONCONTAINER,4,1,0.75,0
T-ACS,2,NONCONTAINER,4,1,0.75,0.8
T-AH,2,NONCONTAINER,4,0,0,0
VISA CONT,2,NONCONTAINER,4,1,0,0
BARGE(LASH),3,CONTAINER,0,1,0.75,0.6
BARGE(T-AKB),3,CONTAINER,0,1,0.75,0.6
BREAKBULK,3,CONTAINER,0,1,0.75,0.6
CAR TRANS,3,CONTAINER,0,1,0,0
CLF,3,CONTAINER,0,1,0.75,0.6
COMBO,3,CONTAINER,0,1,0.75,0.6
CONT-NSS,3,CONTAINER,0,1,0,0
CONT-SS,3,CONTAINER,0,1,0,0
FSS,3,CONTAINER,0,1,0.75,0
PAX,3,CONTAINER,0,0,0,0
POL TANKER,3,CONTAINER,0,0,0,0
RO/RO,3,CONTAINER,0,1,0,0
RO/RO(T-AKR),3,CONTAINER,0,1,0.75,0
T-ACS,3,CONTAINER,0,1,0.75,0.6
T-AH,3,CONTAINER,0,0,0,0
VISA CONT,3,CONTAINER,0,1,0,0
BARGE(LASH),3,WHEELED,1,1,0,0
BARGE(T-AKB),3,WHEELED,1,1,0,0
BREAKBULK,3,WHEELED,1,1,0,0
CAR TRANS,3,WHEELED,1,1,0,0
CLF,3,WHEELED,1,1,0,0
COMBO,3,WHEELED,1,1,0,0
CONT-NSS,3,WHEELED,1,1,0,0
CONT-SS,3,WHEELED,1,1,0,0
FSS,3,WHEELED,1,1,0,0
PAX,3,WHEELED,1,0,0,0
POL TANKER,3,WHEELED,1,0,0,0
RO/RO,3,WHEELED,1,1,0,0
RO/RO(T-AKR),3,WHEELED,1,1,0,0
T-ACS,3,WHEELED,1,1,0,0
T-AH,3,WHEELED,1,0,0,0
VISA CONT,3,WHEELED,1,1,0,0
BARGE(LASH),3,TRACKED,2,1,0,0
BARGE(T-AKB),3,TRACKED,2,1,0,0
BREAKBULK,3,TRACKED,2,1,0,0
CAR TRANS,3,TRACKED,2,1,0,0
CLF,3,TRACKED,2,1,0,0
COMBO,3,TRACKED,2,1,0,0
CONT-NSS,3,TRACKED,2,1,0,0
CONT-SS,3,TRACKED,2,1,0,0
FSS,3,TRACKED,2,1,0,0
PAX,3,TRACKED,2,0,0,0
POL TANKER,3,TRACKED,2,0,0,0
RO/RO,3,TRACKED,2,1,0,0
RO/RO(T-AKR),3,TRACKED,2,1,0,0
T-ACS,3,TRACKED,2,1,0,0
T-AH,3,TRACKED,2,0,0,0
VISA CONT,3,TRACKED,2,1,0,0
BARGE(LASH),3,NSDA,3,1,0,0
BARGE(T-AKB),3,NSDA,3,1,0,0
BREAKBULK,3,NSDA,3,1,0,0
CAR TRANS,3,NSDA,3,1,0,0
CLF,3,NSDA,3,1,0,0
COMBO,3,NSDA,3,1,0,0
CONT-NSS,3,NSDA,3,1,0,0
CONT-SS,3,NSDA,3,1,0,0
FSS,3,NSDA,3,1,0,0
PAX,3,NSDA,3,0,0,0
POL TANKER,3,NSDA,3,0,0,0
RO/RO,3,NSDA,3,1,0,0
RO/RO(T-AKR),3,NSDA,3,1,0,0
T-ACS,3,NSDA,3,1,0,0
T-AH,3,NSDA,3,0,0,0
VISA CONT,3,NSDA,3,1,0,0
BARGE(LASH),3,NONCONTAINER,4,1,0.75,0.8
BARGE(T-AKB),3,NONCONTAINER,4,1,0.75,0.8
BREAKBULK,3,NONCONTAINER,4,1,0.75,0.8
CAR TRANS,3,NONCONTAINER,4,1,0,0
CLF,3,NONCONTAINER,4,1,0.75,0.8
COMBO,3,NONCONTAINER,4,1,0.75,0.8
CONT-NSS,3,NONCONTAINER,4,1,0,0
CONT-SS,3,NONCONTAINER,4,1,0,0
FSS,3,NONCONTAINER,4,1,0.75,0
PAX,3,NONCONTAINER,4,0,0,0
POL TANKER,3,NONCONTAINER,4,0,0,0
RO/RO,3,NONCONTAINER,4,1,0,0
RO/RO(T-AKR),3,NONCONTAINER,4,1,0.75,0
T-ACS,3,NONCONTAINER,4,1,0.75,0.8
T-AH,3,NONCONTAINER,4,0,0,0
VISA CONT,3,NONCONTAINER,4,1,0,0
