Event Day,Ship Type,MIN DWTUTE,MINCONTUTE,MIN SQUUTE,MIN VOLUTE,MIN POLUTE,FULLDWTUTE,FULCONTUTE,FULLSQUUTE,FULLVOLUTE,FULLPOLUTE
0,BARGE(LASH),0,0,0,40,0,0,0,0,60,0
0,BARGE(T-AKB),0,0,0,40,0,0,0,0,60,0
0,BREAKBULK,0,0,0,30,0,0,0,0,75,0
0,CAR TRANS,0,0,40,0,0,0,0,60,0,0
0,CLF,0,0,0,50,0,0,0,0,60,0
0,COMBO,0,0,40,0,0,0,0,40,0,0
0,CONT-NSS,0,0,0,0,0,0,60,0,0,0
0,CONT-SS,0,30,0,0,0,0,60,0,0,0
0,FSS,0,0,40,0,0,0,0,60,0,0
0,PAX,0,0,0,0,0,0,0,0,0,0
0,POL TANKER,0,0,0,0,0,0,0,0,0,0
0,RO/RO,0,0,40,0,0,0,0,60,0,0
0,RO/RO(T-AKR),0,0,40,0,0,0,0,60,0,0
0,T-ACS,0,0,0,30,0,0,0,0,60,0
0,T-AH,0,0,0,0,0,0,0,0,0,0
0,VISA CONT,0,0,0,0,0,0,0,0,0,0
