Theater,From,To,Distance
CONUS,AGGN,AGGN,1
CONUS,AGGN,AJXF,1107
CONUS,AGGN,AQLM,742
CONUS,AGGN,AVXV,3182
CONUS,AGGN,AWUB,310
CONUS,AGGN,BAEY,1098
CONUS,AGGN,BBJM,939
CONUS,AGGN,BJHZ,280
CONUS,AGGN,BPWZ,396
CONUS,AGGN,BRKR,627
CONUS,AGGN,BWKR,465
CONUS,AGGN,BXUR,1100
CONUS,AGGN,CTGC,720
CONUS,AGGN,CYWF,588
CONUS,AGGN,CZQZ,202
CONUS,AGGN,DDPF,146
CONUS,AGGN,DESR,1048
CONUS,AGGN,DKFX,967
CONUS,AGGN,DNNL,1105
CONUS,AGGN,DPNB,693
CONUS,AGGN,DYCS,918
CONUS,AGGN,ETZB,907
CONUS,AGGN,FBNV,602
CONUS,AGGN,FGWB,735
CONUS,AGGN,FJXT,1174
CONUS,AGGN,FNWZ,138
CONUS,AGGN,FTEP,689
CONUS,AGGN,FTEV,687
CONUS,AGGN,FTFA,693
CONUS,AGGN,FUZD,921
CONUS,AGGN,FXSB,2495
CONUS,AGGN,GAMH,394
CONUS,AGGN,GHLN,470
CONUS,AGGN,GJKZ,1135
CONUS,AGGN,GUQE,310
CONUS,AGGN,HTUX,728
CONUS,AGGN,HUUA,897
CONUS,AGGN,JFSD,803
CONUS,AGGN,JREZ,1225
CONUS,AGGN,KJGW,1123
CONUS,AGGN,KNMD,3175
CONUS,AGGN,KRSM,717
CONUS,AGGN,KWRD,359
CONUS,AGGN,KYJL,1124
CONUS,AGGN,KZTV,3175
CONUS,AGGN,LEXG,924
CONUS,AGGN,LSGE,931
CONUS,AGGN,LYAX,3163
CONUS,AGGN,MAHG,583
CONUS,AGGN,MBPB,319
CONUS,AGGN,MHMV,364
CONUS,AGGN,MSQB,494
CONUS,AGGN,MUHJ,1125
CONUS,AGGN,MYXZ,730
CONUS,AGGN,NKAK,353
CONUS,AGGN,NNGX,1403
CONUS,AGGN,NRCH,1596
CONUS,AGGN,NUEX,657
CONUS,AGGN,NVZR,952
CONUS,AGGN,NZAS,940
CONUS,AGGN,PCZP,896
CONUS,AGGN,PJVY,1060
CONUS,AGGN,PNQS,662
CONUS,AGGN,PQWY,1288
CONUS,AGGN,PRQE,202
CONUS,AGGN,PSXE,754
CONUS,AGGN,PTFL,1221
CONUS,AGGN,QJKL,674
CONUS,AGGN,QJVF,831
CONUS,AGGN,QKJA,900
CONUS,AGGN,QSEU,842
CONUS,AGGN,QYZH,925
CONUS,AGGN,RDRD,1014
CONUS,AGGN,RKMF,779
CONUS,AGGN,RZQH,906
CONUS,AGGN,SBDW,1128
CONUS,AGGN,SCEY,893
CONUS,AGGN,SGBP,419
CONUS,AGGN,SHYQ,1123
CONUS,AGGN,SXHT,1031
CONUS,AGGN,TDHV,361
CONUS,AGGN,THWA,1331
CONUS,AGGN,TKXA,986
CONUS,AGGN,TMKH,999
CONUS,AGGN,UHGN,228
CONUS,AGGN,UHHZ,794
CONUS,AGGN,VDYD,512
CONUS,AGGN,VKAG,1050
CONUS,AGGN,VLSB,935
CONUS,AGGN,WEAS,688
CONUS,AGGN,WWYK,103
CONUS,AGGN,XDAT,1116
CONUS,AGGN,XLWU,748
CONUS,AGGN,XUMU,1054
CONUS,AGGN,YAQF,697
CONUS,AGGN,YTPM,1334
CONUS,AGGN,YWHG,368
CONUS,AGGN,ZAWN,1197
CONUS,AGGN,ZHTV,792
CONUS,AGGN,ZJXD,940
CONUS,AGGN,ZRCE,777
CONUS,AJXF,AGGN,1107
CONUS,AJXF,AJXF,1
CONUS,AJXF,AQLM,481
CONUS,AJXF,AVXV,4226
CONUS,AJXF,AWUB,903
CONUS,AJXF,BAEY,2067
CONUS,AJXF,BBJM,424
CONUS,AJXF,BJHZ,1151
CONUS,AJXF,BPWZ,1502
CONUS,AJXF,BRKR,574
CONUS,AJXF,BWKR,648
CONUS,AJXF,BXUR,7
CONUS,AJXF,CTGC,444
CONUS,AJXF,CYWF,522
CONUS,AJXF,CZQZ,1302
CONUS,AJXF,DDPF,1066
CONUS,AJXF,DESR,2055
CONUS,AJXF,DKFX,387
CONUS,AJXF,DNNL,235
CONUS,AJXF,DPNB,541
CONUS,AJXF,DYCS,278
CONUS,AJXF,ETZB,1984
CONUS,AJXF,FBNV,1705
CONUS,AJXF,FGWB,473
CONUS,AJXF,FJXT,68
CONUS,AJXF,FNWZ,1186
CONUS,AJXF,FTEP,683
CONUS,AJXF,FTEV,699
CONUS,AJXF,FTFA,691
CONUS,AJXF,FUZD,1993
CONUS,AJXF,FXSB,2940
CONUS,AJXF,GAMH,892
CONUS,AJXF,GHLN,1295
CONUS,AJXF,GJKZ,1845
CONUS,AJXF,GUQE,880
CONUS,AJXF,HTUX,560
CONUS,AJXF,HUUA,1957
CONUS,AJXF,JFSD,1050
CONUS,AJXF,JREZ,274
CONUS,AJXF,KJGW,2121
CONUS,AJXF,KNMD,4219
CONUS,AJXF,KRSM,1617
CONUS,AJXF,KWRD,1466
CONUS,AJXF,KYJL,818
CONUS,AJXF,KZTV,4219
CONUS,AJXF,LEXG,459
CONUS,AJXF,LSGE,567
CONUS,AJXF,LYAX,4207
CONUS,AJXF,MAHG,780
CONUS,AJXF,MBPB,1217
CONUS,AJXF,MHMV,1444
CONUS,AJXF,MSQB,634
CONUS,AJXF,MUHJ,106
CONUS,AJXF,MYXZ,556
CONUS,AJXF,NKAK,771
CONUS,AJXF,NNGX,343
CONUS,AJXF,NRCH,629
CONUS,AJXF,NUEX,1745
CONUS,AJXF,NVZR,716
CONUS,AJXF,NZAS,1582
CONUS,AJXF,PCZP,1966
CONUS,AJXF,PJVY,63
CONUS,AJXF,PNQS,604
CONUS,AJXF,PQWY,2043
CONUS,AJXF,PRQE,967
CONUS,AJXF,PSXE,386
CONUS,AJXF,PTFL,128
CONUS,AJXF,QJKL,818
CONUS,AJXF,QJVF,1208
