reqid,catid,intensity1,intensity2,intensity3,intensity4,intensity5
1:00DDA,1,2538,2462,2388,2319,2319
1:00DDA,2,0,0,0,0,0
1:00DDA,3,228,218,206,212,212
1:00DDC,1,0,0,0,0,0
1:00DDC,2,0,0,0,0,0
1:00DDC,3,0,0,0,0,0
1:00DDP,1,240,233,226,220,220
1:00DDP,2,0,0,0,0,0
1:00DDP,3,22,21,20,20,20
1:00DEA,1,4061,3940,3821,3710,3710
1:00DEA,2,0,0,0,0,0
1:00DEA,3,365,348,330,339,339
1:00DEC,1,0,0,0,0,0
1:00DEC,2,0,0,0,0,0
1:00DEC,3,0,0,0,0,0
1:00FB,1,668,648,629,610,610
1:00FB,2,0,0,0,0,0
1:00FB,3,60,57,54,56,56
1:00FC,1,561,544,528,513,513
1:00FC,2,0,0,0,0,0
1:00FC,3,50,48,46,47,47
1:00FD,1,0,0,0,0,0
1:00FD,2,0,0,0,0,0
1:00FD,3,0,0,0,0,0
1:00FDA,1,534,518,503,488,488
1:00FDA,2,0,0,0,0,0
1:00FDA,3,48,46,43,45,45
1:00FE,1,802,778,754,732,732
1:00FE,2,0,0,0,0,0
1:00FE,3,72,69,65,67,67
1:00FF,1,4008,3888,3771,3662,3662
1:00FF,2,0,0,0,0,0
1:00FF,3,360,344,326,335,335
1:00FG,1,13814,13401,12997,12620,12620
1:00FG,2,0,0,0,0,0
1:00FG,3,1241,1184,1122,1153,1153
1:00FH,1,13814,13401,12997,12620,12620
1:00FH,2,0,0,0,0,0
1:00FH,3,1241,1184,1122,1153,1153
1:00FJ,1,13814,13401,12997,12620,12620
1:00FJ,2,0,0,0,0,0
1:00FJ,3,1241,1184,1122,1153,1153
1:00FK,1,1336,1296,1257,1221,1221
1:00FK,2,0,0,0,0,0
1:00FK,3,120,115,109,112,112
1:00FL,1,454,441,427,415,415
1:00FL,2,0,0,0,0,0
1:00FL,3,41,39,37,38,38
1:00FQ,1,561,544,528,513,513
1:00FQ,2,0,0,0,0,0
1:00FQ,3,50,48,46,47,47
1:00FR,1,134,130,126,122,122
1:00FR,2,0,0,0,0,0
1:00FR,3,12,11,11,11,11
1:00FS,1,401,389,377,366,366
1:00FS,2,0,0,0,0,0
1:00FS,3,36,34,33,33,33
1:00FTC,1,0,0,0,0,0
1:00FTC,2,0,0,0,0,0
1:00FTC,3,0,0,0,0,0
1:00FTP,1,267,259,251,244,244
1:00FTP,2,0,0,0,0,0
1:00FTP,3,24,23,22,22,22
1:00FV,1,0,0,0,0,0
1:00FV,2,0,0,0,0,0
1:00FV,3,0,0,0,0,0
1:00FVA,1,2512,2436,2363,2295,2295
1:00FVA,2,0,0,0,0,0
1:00FVA,3,226,215,204,210,210
1:00GB,1,321,311,302,293,293
1:00GB,2,0,0,0,0,0
1:00GB,3,29,27,26,27,27
1:00GC,1,294,285,277,269,269
1:00GC,2,0,0,0,0,0
1:00GC,3,26,25,24,25,25
1:00GDC,1,0,0,0,0,0
1:00GDC,2,0,0,0,0,0
1:00GDC,3,0,0,0,0,0
1:00GDP,1,534,518,503,488,488
1:00GDP,2,0,0,0,0,0
1:00GDP,3,48,46,43,45,45
1:00GE,1,615,596,578,561,561
1:00GE,2,0,0,0,0,0
1:00GE,3,55,53,50,51,51
1:00GF,1,0,0,0,0,0
1:00GF,2,0,0,0,0,0
1:00GF,3,0,0,0,0,0
1:00GFA,1,1229,1192,1156,1123,1123
1:00GFA,2,0,0,0,0,0
1:00GFA,3,110,105,100,103,103
1:00GG,1,1149,1115,1081,1050,1050
1:00GG,2,0,0,0,0,0
1:00GG,3,103,98,93,96,96
1:00GH,1,0,0,0,0,0
1:00GH,2,0,0,0,0,0
1:00GH,3,0,0,0,0,0
1:00GHA,1,1683,1633,1584,1538,1538
1:00GHA,2,0,0,0,0,0
1:00GHA,3,151,144,137,140,140
1:00HB,1,668,648,629,610,610
1:00HB,2,0,0,0,0,0
1:00HB,3,60,57,54,56,56
1:00HC,1,802,778,754,732,732
1:00HC,2,0,0,0,0,0
1:00HC,3,72,69,65,67,67
1:00HDC,1,0,0,0,0,0
1:00HDC,2,0,0,0,0,0
1:00HDC,3,0,0,0,0,0
1:00HDP,1,13814,13401,12997,12620,12620
1:00HDP,2,0,0,0,0,0
1:00HDP,3,1241,1184,1122,1153,1153
1:00HE,1,13814,13401,12997,12620,12620
