link,node1,node2,dist,node1Num,node2Num,Shallow Link
0,NW ATLANTIC,CAN4,160,0,452,false
1,INDIAN OCEAN,20S 70E,415,1,987,false
2,WESTERN MED,MED8,166,2,605,false
3,ABIDJAN,AFR19,75,3,695,false
4,AD DAMMAM,IND11,22,4,753,false
5,AL BAHRAYN MINA S,IND11,19,5,753,false
6,AL MAHDIYAH,MED72,40,6,669,false
7,ALEXANDRIA,MED62,34,7,659,false
8,ALGECIRAS,GIBRALTAR,18,8,676,false
9,ANCONA,MED30,18,9,627,false
10,ANTWERP,EUR26,38,10,802,false
11,APRA HARBOR,GUAM,11,11,238,false
12,AS SUKHAYRAH,MED71,46,12,668,false
13,ASH SHUWAIKH COMM,IND13,25,13,755,false
14,BALTIMORE OUTPORT,US38,18,14,431,false
15,BARCELONA,MED9,15,15,606,false
16,BEAUMONT T2,US17,29,16,410,false
17,BEAUMONT,US17,29,17,410,false
18,MUHAMMAD QASIM,IND16,49,18,758,false
19,BIZERTE,MED73,54,19,670,false
20,BREMERHAVEN,EUR31,24,20,807,false
21,CADIZ,EUR1,20,21,775,false
22,CAGAYAN DE ORO,PH9,62,22,307,false
23,CHARLESTON,US32,6,23,425,false
24,CHINHAE,K7,27,24,326,false
25,COLOMBO,IND24,70,25,766,false
26,CONCORD,US8,15,26,398,false
27,CORPUS CHRISTI NA,US15,25,27,408,false
28,DAKAR,AFR14,38,28,690,false
29,DIEGO GARCIA EAST,DIEGO GARCIA,2,29,774,false
30,DIEGO GARCIA,DIEGO GARCIA,5,30,774,false
31,DJERBA,MED71,13,31,668,false
32,DUBAI,IND7,21,32,749,false
33,DURBAN,AFR34,54,33,711,false
34,DUTCH HARBOR,AL4,76,34,368,false
35,EARLE NWS,US42,36,35,435,false
36,FELIXSTOWE,EUR23,21,36,799,false
37,FOS,MED10,25,37,607,false
38,FREEPORT,US16,34,38,409,false
39,FUJAIRAH,IND5,50,39,747,false
40,GABES,MED71,45,40,668,false
41,GENOVA,MED13,30,41,610,false
42,GRAVESEND,EUR24,17,42,800,false
43,GUAM PORT,GUAM,9,43,238,false
44,GULFPORT,US19,56,44,412,false
45,HAIFA,MED59,17,45,656,false
46,HAKATA,J20,45,46,349,false
47,HALIFAX,CAN5,15,47,453,false
48,HAMBURG,EUR32,19,48,808,false
49,HONG KONG ABERDEE,HONG KONG,32,49,310,false
50,HONOLULU,OAHU,19,50,236,false
51,HOUSTON,US16,46,51,409,false
52,INDIAN ISLAND,US1,15,52,391,false
53,IZMIR,MED46,41,53,643,false
54,JACKSONVILLE,US30,25,54,423,false
