node,lat,lon
NW ATLANTIC,40,-66
INDIAN OCEAN,-15,75
WESTERN MED,40,6
ABIDJAN,5.25,-4.016667
AD DAMMAM,26.433332,50.1
AL BAHRAYN MINA S,26.2,50.6
AL MAHDIYAH,35.5,11.05
ALEXANDRIA,31.183332,29.9
ALGECIRAS,36.133335,-5.45
ANCONA,43.616665,13.5
ANTWERP,51.266666,4.3333335
APRA HARBOR,13.45,144.61667
AS SUKHAYRAH,34.316666,10.15
ASH SHUWAIKH COMM,29.35,47.916668
BALTIMORE OUTPORT,39.266666,-76.583336
BARCELONA,41.35,2.1666667
BEAUMONT T2,30.083334,-94.083336
BEAUMONT,30.083334,-94.083336
MUHAMMAD QASIM,24.766666,67.333336
BIZERTE,37.283333,9.9
BREMERHAVEN,53.55,8.55
CADIZ,36.383335,-6.284167
CAGAYAN DE ORO,8.5,124.65
CHARLESTON,32.783333,-79.916664
CHINHAE,35.133335,128.66667
COLOMBO,6.9333334,79.85
CONCORD,37.933334,-121.933334
CORPUS CHRISTI NA,27.816668,-97.4
DAKAR,14.683333,-17.433332
DIEGO GARCIA EAST,-7.35,72.46667
DIEGO GARCIA,-7.2555556,72.405556
DJERBA,33.833332,10.833333
DUBAI,25.25,55.266666
DURBAN,-29.966667,30.966667
DUTCH HARBOR,53.916668,-166.6
EARLE NWS,40.016666,-74.6
FELIXSTOWE,51.95,1.3166667
FOS,43.4,4.866667
FREEPORT,29,-95.4
FUJAIRAH,25.083334,56.3
GABES,33.85,10.116667
GENOVA,44.416668,8.833333
GRAVESEND,51.45,0.38333333
GUAM PORT,13.580556,144.92778
GULFPORT,30.35,-89.083336
HAIFA,32.8,35.033333
HAKATA,33.6,130.4
HALIFAX,44.65,-63.583332
HAMBURG,53.533333,9.95
HONG KONG ABERDEE,22.233334,114.13333
HONOLULU,21.333334,-157.95
HOUSTON,29.75,-95.416664
INDIAN ISLAND,48.075,-122.75
IZMIR,38.42389,27.129723
JACKSONVILLE,30.333334,-81.666664
JEDDAH,21.5,39.2
JUBAIL PORT,27,49.666668
KANDLA,23.016666,70.21667
KAOHSIUNG TSOYING,22.6,120.36667
KARACHI,24.783333,66.98333
KOBE,34.666668,135.2
KOPER,45.55,13.733334
KWANGYANG,34.894444,127.64667
LE HAVRE,49.466667,0.11666667
LIVORNO,43.566666,10.3
LIVERPOOL,53.416668,-3
LOME,6.1666665,1.25
