Name,Geoloc,TypeCode,InboundCargo,InboundPax,OutboundCargo,OutboundPax
NW ATLANTIC,00A1,OCN,NNGX,NNGX,NNGX,NNGX
INDIAN OCEAN,00IO,OCN,FGDC,FGDC,FGDC,FGDC
WESTERN MED,00XT,SEA,WSVC,WSVC,WSVC,WSVC
ABBEVILLE,AAFR,CTY,MYXZ,MYXZ,MYXZ,MYXZ
ABERDEEN PROV GND,AAMP,AIN,FJXT,FJXT,FJXT,FJXT
ABIDJAN,AAPV,PRT,FTZH,FTZH,FTZH,FTZH
ABILENE,AART,CTY,FNWZ,FNWZ,FNWZ,FNWZ
ABILENE RGNL,AARV,CAP,FNWZ,FNWZ,FNWZ,FNWZ
ABSTON,ABAA,AGS,PNQS,PNQS,PNQS,PNQS
AD DAMMAM,ABFL,PRT,ATXK,ATXK,ATXK,ATXK
ADELPHI,ABTW,COM,BXUR,BXUR,BXUR,BXUR
ADELPHI,ABXK,NYI,BXUR,BXUR,BXUR,BXUR
LOS ANGELES,ACJP,AFS,FUZD,FUZD,FUZD,FUZD
AIEA,ACWE,RPA,KZTV,KZTV,KZTV,KZTV
AKRON,ADHB,CTY,DYCS,DYCS,DYCS,DYCS
AL BAHRAYN MINA S,ADKH,PRT,ATXK,ATXK,ATXK,ATXK
AL MAHDIYAH,ADLS,PRT,FUQN,FUQN,FUQN,FUQN
ALAMEDA,ADNA,CTY,TDHV,TDHV,TDHV,TDHV
ALAMEDA,ADNB,CTY,KJGW,KJGW,KJGW,KJGW
ALAMEDA,ADNC,MFC,KJGW,KJGW,KJGW,KJGW
ALAMEDA NAS,ADND,MAP,KJGW,KJGW,KJGW,KJGW
ALAMEDA,ADNE,NYI,KJGW,KJGW,KJGW,KJGW
ALAMEDA NAS,ADNF,AMO,KJGW,KJGW,KJGW,KJGW
ALAMEDA,ADNG,ADM,KJGW,KJGW,KJGW,KJGW
ALAMEDA PT MARAD,ADNK,PRT,KJGW,KJGW,KJGW,KJGW
ALAMEDA        BA,ADNR,STG,KJGW,KJGW,KJGW,KJGW
ALAMOGORDO WHITE,ADQM,CAP,KWRD,KWRD,KWRD,KWRD
ALBANY,ADUK,CTY,MYXZ,MYXZ,MYXZ,MYXZ
ALBANY        MSC,ADUP,STG,QSEU,QSEU,QSEU,QSEU
ALBANY,ADUQ,MGI,MYXZ,MYXZ,MYXZ,MYXZ
ALBANY,ADVK,CTY,YTPM,YTPM,YTPM,YTPM
ALBANY INTL,ADVM,IAP,YTPM,YTPM,YTPM,YTPM
SOUTHWEST GEORGIA,ADVN,CAP,QSEU,QSEU,QSEU,QSEU
ALBEMARLE,ADXV,CTY,TMKH,TMKH,TMKH,TMKH
ALBERT,ADYK,CTY,WWYK,WWYK,WWYK,WWYK
ALBUQUERQUE,AEBS,CTY,MHMV,MHMV,MHMV,MHMV
ALCOA,AECW,AGS,PSXE,PSXE,PSXE,PSXE
ALCONBURY,AEDY,IAP,AEDY,AEDY,AEDY,AEDY
ALEXANDER CITY,AELJ,CTY,PNQS,PNQS,PNQS,PNQS
