StartName,StartGeo,EndName,EndGeo,Time
NW ATLANTIC,00A1,NW ATLANTIC,00A1,0.0
NW ATLANTIC,00A1,GENERAL EDWARD LA,NNGX,0.7
INDIAN OCEAN,00IO,INDIAN OCEAN,00IO,0.0
INDIAN OCEAN,00IO,DIEGO GARCIA NSF,FGDC,1.2
WESTERN MED,00XT,WESTERN MED,00XT,0.0
WESTERN MED,00XT,CHEIKH LARBI TEBE,WSVC,0.7
ABBEVILLE,AAFR,BALTIMORE OUTPORT,AVBU,1.6
ABBEVILLE,AAFR,BEAUMONT T2,BBNQ,1.2
ABBEVILLE,AAFR,BEAUMONT,BBNV,1.2
ABBEVILLE,AAFR,CHARLESTON,DKSD,0.7
ABBEVILLE,AAFR,CONCORD,EGNN,4.6
ABBEVILLE,AAFR,CORPUS CHRISTI NA,ENCN,1.7
ABBEVILLE,AAFR,EARLE NWS,FQZF,1.8
ABBEVILLE,AAFR,FREEPORT,HAGC,1.4
ABBEVILLE,AAFR,GULFPORT,JTVH,0.5
ABBEVILLE,AAFR,HOUSTON,LCMT,1.3
ABBEVILLE,AAFR,INDIAN ISLAND,LKPE,4.9
ABBEVILLE,AAFR,JACKSONVILLE,LSGM,0.5
ABBEVILLE,AAFR,LAWSON AAF,MYXZ,0.1
ABBEVILLE,AAFR,LONG BEACH,NPTU,4.2
ABBEVILLE,AAFR,LOS ANGELES,NSAN,4.2
ABBEVILLE,AAFR,MAYPORT NAVAL ST,PPSH,0.5
ABBEVILLE,AAFR,MIAMI,QCFF,1.1
ABBEVILLE,AAFR,MOREHEAD CITY,QTUP,1.2
ABBEVILLE,AAFR,NEW ORLEANS,RQNK,0.7
ABBEVILLE,AAFR,NEW YORK,RRHU,1.9
ABBEVILLE,AAFR,NEW YORK PORT EMB,RRRK,1.9
ABBEVILLE,AAFR,NEWPORT,RUAM,2.2
ABBEVILLE,AAFR,NEWPORT T2,RUAQ,2.2
ABBEVILLE,AAFR,NEWPORT NEWS,RULV,1.4
ABBEVILLE,AAFR,NORFOLK,SBEA,1.4
ABBEVILLE,AAFR,NORFOLK T2,SBEQ,1.4
ABBEVILLE,AAFR,OAKLAND SEALAND T,SERU,4.7
ABBEVILLE,AAFR,PORT EVERGLADES,TNVX,1.1
ABBEVILLE,AAFR,PORT HUENEME NCBC,TNZY,4.3
ABBEVILLE,AAFR,PORTLAND,TQKG,4.8
ABBEVILLE,AAFR,SAN DIEGO,UTAC,4.1
ABBEVILLE,AAFR,SAN PEDRO,UULX,4.2
ABBEVILLE,AAFR,SAVANNAH,UZXJ,0.5
ABBEVILLE,AAFR,SEATTLE,VFVN,4.9
ABBEVILLE,AAFR,SOUTHPORT MILITAR,WMPT,1.0
ABBEVILLE,AAFR,TACOMA,WPVT,4.9
ABBEVILLE,AAFR,VANCOUVER,XUDT,4.8
ABBEVILLE,AAFR,WILMINGTON,ZBES,1.0
ABERDEEN PROV GND,AAMP,BALTIMORE OUTPORT,AVBU,0.1
ABERDEEN PROV GND,AAMP,BEAUMONT T2,BBNQ,2.6
ABERDEEN PROV GND,AAMP,BEAUMONT,BBNV,2.6
ABERDEEN PROV GND,AAMP,CHARLESTON,DKSD,1.1
ABERDEEN PROV GND,AAMP,CONCORD,EGNN,5.3
ABERDEEN PROV GND,AAMP,CORPUS CHRISTI NA,ENCN,3.2
ABERDEEN PROV GND,AAMP,DOVER AFB,FJXT,0.1
ABERDEEN PROV GND,AAMP,EARLE NWS,FQZF,0.2
ABERDEEN PROV GND,AAMP,FREEPORT,HAGC,2.9
ABERDEEN PROV GND,AAMP,GULFPORT,JTVH,2.1
ABERDEEN PROV GND,AAMP,HOUSTON,LCMT,2.8
ABERDEEN PROV GND,AAMP,INDIAN ISLAND,LKPE,5.2
ABERDEEN PROV GND,AAMP,JACKSONVILLE,LSGM,1.5
ABERDEEN PROV GND,AAMP,LONG BEACH,NPTU,5.1
ABERDEEN PROV GND,AAMP,LOS ANGELES,NSAN,5.1
ABERDEEN PROV GND,AAMP,MAYPORT NAVAL ST,PPSH,1.5
ABERDEEN PROV GND,AAMP,MIAMI,QCFF,2.1
ABERDEEN PROV GND,AAMP,MOREHEAD CITY,QTUP,0.7
ABERDEEN PROV GND,AAMP,NEW ORLEANS,RQNK,2.2
ABERDEEN PROV GND,AAMP,NEW YORK,RRHU,0.3
ABERDEEN PROV GND,AAMP,NEW YORK PORT EMB,RRRK,0.3
ABERDEEN PROV GND,AAMP,NEWPORT,RUAM,0.6
ABERDEEN PROV GND,AAMP,NEWPORT T2,RUAQ,0.6
ABERDEEN PROV GND,AAMP,NEWPORT NEWS,RULV,0.4
ABERDEEN PROV GND,AAMP,NORFOLK,SBEA,0.4
ABERDEEN PROV GND,AAMP,NORFOLK T2,SBEQ,0.4
ABERDEEN PROV GND,AAMP,OAKLAND SEALAND T,SERU,5.4
ABERDEEN PROV GND,AAMP,PORT EVERGLADES,TNVX,2.1
ABERDEEN PROV GND,AAMP,PORT HUENEME NCBC,TNZY,5.2
ABERDEEN PROV GND,AAMP,PORTLAND,TQKG,5.2
ABERDEEN PROV GND,AAMP,SAN DIEGO,UTAC,5.0
ABERDEEN PROV GND,AAMP,SAN PEDRO,UULX,5.1
ABERDEEN PROV GND,AAMP,SAVANNAH,UZXJ,1.3
ABERDEEN PROV GND,AAMP,SEATTLE,VFVN,5.1
ABERDEEN PROV GND,AAMP,SOUTHPORT MILITAR,WMPT,0.9
ABERDEEN PROV GND,AAMP,TACOMA,WPVT,5.1
ABERDEEN PROV GND,AAMP,VANCOUVER,XUDT,5.2
ABERDEEN PROV GND,AAMP,WILMINGTON,ZBES,0.8
ABIDJAN,AAPV,ABIDJAN,AAPV,0.0
ABIDJAN,AAPV,EL BORMA,FTZH,4.4
ABIDJAN,AAPV,SAN PEDRO,UULB,0.4
ABILENE,AART,BALTIMORE OUTPORT,AVBU,3.0
ABILENE,AART,BEAUMONT T2,BBNQ,0.8
ABILENE,AART,BEAUMONT,BBNV,0.8
ABILENE,AART,CHARLESTON,DKSD,2.5
ABILENE,AART,CONCORD,EGNN,2.8
ABILENE,AART,CORPUS CHRISTI NA,ENCN,0.8
ABILENE,AART,DYESS AFB,FNWZ,0.0
ABILENE,AART,EARLE NWS,FQZF,3.2
ABILENE,AART,FREEPORT,HAGC,0.8
ABILENE,AART,GULFPORT,JTVH,1.4
ABILENE,AART,HOUSTON,LCMT,0.7
ABILENE,AART,INDIAN ISLAND,LKPE,3.5
ABILENE,AART,JACKSONVILLE,LSGM,2.3
ABILENE,AART,LONG BEACH,NPTU,2.3
ABILENE,AART,LOS ANGELES,NSAN,2.3
ABILENE,AART,MAYPORT NAVAL ST,PPSH,2.4
ABILENE,AART,MIAMI,QCFF,2.8
ABILENE,AART,MOREHEAD CITY,QTUP,2.9
ABILENE,AART,NEW ORLEANS,RQNK,1.3
ABILENE,AART,NEW YORK,RRHU,3.3
ABILENE,AART,NEW YORK PORT EMB,RRRK,3.3
ABILENE,AART,NEWPORT,RUAM,3.7
ABILENE,AART,NEWPORT T2,RUAQ,3.7
ABILENE,AART,NEWPORT NEWS,RULV,3.0
ABILENE,AART,NORFOLK,SBEA,3.0
ABILENE,AART,NORFOLK T2,SBEQ,3.0
ABILENE,AART,OAKLAND SEALAND T,SERU,2.9
ABILENE,AART,PORT EVERGLADES,TNVX,2.7
ABILENE,AART,PORT HUENEME NCBC,TNZY,2.5
ABILENE,AART,PORTLAND,TQKG,3.3
ABILENE,AART,SAN DIEGO,UTAC,2.2
ABILENE,AART,SAN PEDRO,UULX,2.3
ABILENE,AART,SAVANNAH,UZXJ,2.4
ABILENE,AART,SEATTLE,VFVN,3.4
ABILENE,AART,SOUTHPORT MILITAR,WMPT,2.8
ABILENE,AART,TACOMA,WPVT,3.4
ABILENE,AART,VANCOUVER,XUDT,3.3
ABILENE,AART,WILMINGTON,ZBES,2.7
ABILENE RGNL,AARV,BALTIMORE OUTPORT,AVBU,3.0
ABILENE RGNL,AARV,BEAUMONT T2,BBNQ,0.8
ABILENE RGNL,AARV,BEAUMONT,BBNV,0.8
ABILENE RGNL,AARV,CHARLESTON,DKSD,2.5
ABILENE RGNL,AARV,CONCORD,EGNN,2.9
ABILENE RGNL,AARV,CORPUS CHRISTI NA,ENCN,0.7
ABILENE RGNL,AARV,DYESS AFB,FNWZ,0.0
ABILENE RGNL,AARV,EARLE NWS,FQZF,3.2
ABILENE RGNL,AARV,FREEPORT,HAGC,0.8
ABILENE RGNL,AARV,GULFPORT,JTVH,1.4
ABILENE RGNL,AARV,HOUSTON,LCMT,0.7
ABILENE RGNL,AARV,INDIAN ISLAND,LKPE,3.5
ABILENE RGNL,AARV,JACKSONVILLE,LSGM,2.3
ABILENE RGNL,AARV,LONG BEACH,NPTU,2.3
ABILENE RGNL,AARV,LOS ANGELES,NSAN,2.4
ABILENE RGNL,AARV,MAYPORT NAVAL ST,PPSH,2.4
ABILENE RGNL,AARV,MIAMI,QCFF,2.7
ABILENE RGNL,AARV,MOREHEAD CITY,QTUP,2.9
ABILENE RGNL,AARV,NEW ORLEANS,RQNK,1.3
ABILENE RGNL,AARV,NEW YORK,RRHU,3.3
ABILENE RGNL,AARV,NEW YORK PORT EMB,RRRK,3.3
ABILENE RGNL,AARV,NEWPORT,RUAM,3.7
ABILENE RGNL,AARV,NEWPORT T2,RUAQ,3.7
ABILENE RGNL,AARV,NEWPORT NEWS,RULV,3.0
ABILENE RGNL,AARV,NORFOLK,SBEA,3.0
ABILENE RGNL,AARV,NORFOLK T2,SBEQ,3.0
ABILENE RGNL,AARV,OAKLAND SEALAND T,SERU,2.9
ABILENE RGNL,AARV,PORT EVERGLADES,TNVX,2.7
ABILENE RGNL,AARV,PORT HUENEME NCBC,TNZY,2.5
ABILENE RGNL,AARV,PORTLAND,TQKG,3.3
ABILENE RGNL,AARV,SAN DIEGO,UTAC,2.2
ABILENE RGNL,AARV,SAN PEDRO,UULX,2.3
ABILENE RGNL,AARV,SAVANNAH,UZXJ,2.4
ABILENE RGNL,AARV,SEATTLE,VFVN,3.4
ABILENE RGNL,AARV,SOUTHPORT MILITAR,WMPT,2.7
ABILENE RGNL,AARV,TACOMA,WPVT,3.4
ABILENE RGNL,AARV,VANCOUVER,XUDT,3.3
ABILENE RGNL,AARV,WILMINGTON,ZBES,2.7
ABSTON,ABAA,BALTIMORE OUTPORT,AVBU,1.6
ABSTON,ABAA,BEAUMONT T2,BBNQ,1.1
ABSTON,ABAA,BEAUMONT,BBNV,1.1
ABSTON,ABAA,CHARLESTON,DKSD,0.8
ABSTON,ABAA,CONCORD,EGNN,4.4
ABSTON,ABAA,CORPUS CHRISTI NA,ENCN,1.6
ABSTON,ABAA,EARLE NWS,FQZF,1.8
ABSTON,ABAA,FREEPORT,HAGC,1.3
ABSTON,ABAA,GULFPORT,JTVH,0.5
ABSTON,ABAA,HOUSTON,LCMT,1.2
ABSTON,ABAA,INDIAN ISLAND,LKPE,4.7
ABSTON,ABAA,JACKSONVILLE,LSGM,0.7
ABSTON,ABAA,LONG BEACH,NPTU,4.0
ABSTON,ABAA,LOS ANGELES,NSAN,4.0
ABSTON,ABAA,MAXWELL AFB,PNQS,0.0
ABSTON,ABAA,MAYPORT NAVAL ST,PPSH,0.7
ABSTON,ABAA,MIAMI,QCFF,1.3
ABSTON,ABAA,MOREHEAD CITY,QTUP,1.3
ABSTON,ABAA,NEW ORLEANS,RQNK,0.6
ABSTON,ABAA,NEW YORK,RRHU,1.9
ABSTON,ABAA,NEW YORK PORT EMB,RRRK,1.9
ABSTON,ABAA,NEWPORT,RUAM,2.3
ABSTON,ABAA,NEWPORT T2,RUAQ,2.3
ABSTON,ABAA,NEWPORT NEWS,RULV,1.4
ABSTON,ABAA,NORFOLK,SBEA,1.4
ABSTON,ABAA,NORFOLK T2,SBEQ,1.4
ABSTON,ABAA,OAKLAND SEALAND T,SERU,4.5
ABSTON,ABAA,PORT EVERGLADES,TNVX,1.2
ABSTON,ABAA,PORT HUENEME NCBC,TNZY,4.1
ABSTON,ABAA,PORTLAND,TQKG,4.6
ABSTON,ABAA,SAN DIEGO,UTAC,3.9
ABSTON,ABAA,SAN PEDRO,UULX,4.0
ABSTON,ABAA,SAVANNAH,UZXJ,0.7
ABSTON,ABAA,SEATTLE,VFVN,4.7
ABSTON,ABAA,SOUTHPORT MILITAR,WMPT,1.1
ABSTON,ABAA,TACOMA,WPVT,4.7
ABSTON,ABAA,VANCOUVER,XUDT,4.6
ABSTON,ABAA,WILMINGTON,ZBES,1.1
AD DAMMAM,ABFL,AD DAMMAM,ABFL,0.0
AD DAMMAM,ABFL,BAHRAIN INTL,ATXK,0.1
AD DAMMAM,ABFL,BANBAN,BACA,0.5
AD DAMMAM,ABFL,JEDDAH,LUTP,1.7
AD DAMMAM,ABFL,JUBAIL PORT,LWEV,0.1
AD DAMMAM,ABFL,RAS AL MISHAB,TZL4,0.3
AD DAMMAM,ABFL,RIYADH AB,UGZX,0.5
AD DAMMAM,ABFL,YANBU AL SINAIYAH,ZLVW,1.7
ADELPHI,ABTW,BALTIMORE OUTPORT,AVBU,0.1
ADELPHI,ABTW,BEAUMONT T2,BBNQ,2.5
ADELPHI,ABTW,BEAUMONT,BBNV,2.5
ADELPHI,ABTW,BOLLING AFB HELI,BXUR,0.0
ADELPHI,ABTW,CHARLESTON,DKSD,1.0
ADELPHI,ABTW,CONCORD,EGNN,5.3
ADELPHI,ABTW,CORPUS CHRISTI NA,ENCN,3.1
ADELPHI,ABTW,EARLE NWS,FQZF,0.3
ADELPHI,ABTW,FREEPORT,HAGC,2.7
ADELPHI,ABTW,GULFPORT,JTVH,2.0
ADELPHI,ABTW,HOUSTON,LCMT,2.7
ADELPHI,ABTW,INDIAN ISLAND,LKPE,5.1
ADELPHI,ABTW,JACKSONVILLE,LSGM,1.4
ADELPHI,ABTW,LONG BEACH,NPTU,5.0
ADELPHI,ABTW,LOS ANGELES,NSAN,5.0
ADELPHI,ABTW,MAYPORT NAVAL ST,PPSH,1.4
ADELPHI,ABTW,MIAMI,QCFF,2.0
ADELPHI,ABTW,MOREHEAD CITY,QTUP,0.7
ADELPHI,ABTW,NEW ORLEANS,RQNK,2.1
ADELPHI,ABTW,NEW YORK,RRHU,0.4
ADELPHI,ABTW,NEW YORK PORT EMB,RRRK,0.4
ADELPHI,ABTW,NEWPORT,RUAM,0.7
ADELPHI,ABTW,NEWPORT T2,RUAQ,0.7
ADELPHI,ABTW,NEWPORT NEWS,RULV,0.3
ADELPHI,ABTW,NORFOLK,SBEA,0.3
ADELPHI,ABTW,NORFOLK T2,SBEQ,0.3
ADELPHI,ABTW,OAKLAND SEALAND T,SERU,5.3
ADELPHI,ABTW,PORT EVERGLADES,TNVX,2.0
ADELPHI,ABTW,PORT HUENEME NCBC,TNZY,5.1
ADELPHI,ABTW,PORTLAND,TQKG,5.1
ADELPHI,ABTW,SAN DIEGO,UTAC,5.0
ADELPHI,ABTW,SAN PEDRO,UULX,5.0
ADELPHI,ABTW,SAVANNAH,UZXJ,1.2
ADELPHI,ABTW,SEATTLE,VFVN,5.1
ADELPHI,ABTW,SOUTHPORT MILITAR,WMPT,0.8
ADELPHI,ABTW,TACOMA,WPVT,5.1
ADELPHI,ABTW,VANCOUVER,XUDT,5.1
ADELPHI,ABTW,WILMINGTON,ZBES,0.7
ADELPHI,ABXK,BALTIMORE OUTPORT,AVBU,0.1
ADELPHI,ABXK,BEAUMONT T2,BBNQ,2.5
ADELPHI,ABXK,BEAUMONT,BBNV,2.5
ADELPHI,ABXK,BOLLING AFB HELI,BXUR,0.0
ADELPHI,ABXK,CHARLESTON,DKSD,1.0
ADELPHI,ABXK,CONCORD,EGNN,5.3
ADELPHI,ABXK,CORPUS CHRISTI NA,ENCN,3.0
ADELPHI,ABXK,EARLE NWS,FQZF,0.3
ADELPHI,ABXK,FREEPORT,HAGC,2.7
ADELPHI,ABXK,GULFPORT,JTVH,2.0
ADELPHI,ABXK,HOUSTON,LCMT,2.7
ADELPHI,ABXK,INDIAN ISLAND,LKPE,5.1
ADELPHI,ABXK,JACKSONVILLE,LSGM,1.4
ADELPHI,ABXK,LONG BEACH,NPTU,5.0
ADELPHI,ABXK,LOS ANGELES,NSAN,5.0
ADELPHI,ABXK,MAYPORT NAVAL ST,PPSH,1.4
ADELPHI,ABXK,MIAMI,QCFF,2.0
ADELPHI,ABXK,MOREHEAD CITY,QTUP,0.6
ADELPHI,ABXK,NEW ORLEANS,RQNK,2.1
ADELPHI,ABXK,NEW YORK,RRHU,0.4
ADELPHI,ABXK,NEW YORK PORT EMB,RRRK,0.4
ADELPHI,ABXK,NEWPORT,RUAM,0.8
ADELPHI,ABXK,NEWPORT T2,RUAQ,0.8
ADELPHI,ABXK,NEWPORT NEWS,RULV,0.3
ADELPHI,ABXK,NORFOLK,SBEA,0.3
ADELPHI,ABXK,NORFOLK T2,SBEQ,0.3
ADELPHI,ABXK,OAKLAND SEALAND T,SERU,5.3
ADELPHI,ABXK,PORT EVERGLADES,TNVX,2.0
ADELPHI,ABXK,PORT HUENEME NCBC,TNZY,5.1
ADELPHI,ABXK,PORTLAND,TQKG,5.1
ADELPHI,ABXK,SAN DIEGO,UTAC,4.9
ADELPHI,ABXK,SAN PEDRO,UULX,5.0
ADELPHI,ABXK,SAVANNAH,UZXJ,1.1
ADELPHI,ABXK,SEATTLE,VFVN,5.1
ADELPHI,ABXK,SOUTHPORT MILITAR,WMPT,0.7
ADELPHI,ABXK,TACOMA,WPVT,5.1
ADELPHI,ABXK,VANCOUVER,XUDT,5.1
ADELPHI,ABXK,WILMINGTON,ZBES,0.7
LOS ANGELES,ACJP,BALTIMORE OUTPORT,AVBU,5.1
LOS ANGELES,ACJP,BEAUMONT T2,BBNQ,3.1
LOS ANGELES,ACJP,BEAUMONT,BBNV,3.1
LOS ANGELES,ACJP,CHARLESTON,DKSD,4.8
