Name,GeolocCode,LocationType,CountryState,Latitude,Longitude
NW ATLANTIC,00A1,UNUSED,UNUSED,40,-66
INDIAN OCEAN,00IO,UNUSED,UNUSED,-15,75
WESTERN MED,00XT,UNUSED,UNUSED,40,6
ABBEVILLE,AAFR,UNUSED,UNUSED,31.533333,-85.26667
ABERDEEN PROV GND,AAMP,UNUSED,UNUSED,39.491665,-76.13611
ABIDJAN,AAPV,UNUSED,UNUSED,5.25,-4.016667
ABILENE,AART,UNUSED,UNUSED,32.45,-99.73333
ABILENE RGNL,AARV,UNUSED,UNUSED,32.41139,-99.681946
ABSTON,ABAA,UNUSED,UNUSED,32.35,-86.3625
AD DAMMAM,ABFL,UNUSED,UNUSED,26.433332,50.1
ADELPHI,ABTW,UNUSED,UNUSED,39,-76.95
ADELPHI,ABXK,UNUSED,UNUSED,38.8975,-77.00916
LOS ANGELES,ACJP,UNUSED,UNUSED,34,-118.25
AIEA,ACWE,UNUSED,UNUSED,21.383333,-157.93333
AKRON,ADHB,UNUSED,UNUSED,41.083332,-81.5
AL BAHRAYN MINA S,ADKH,UNUSED,UNUSED,26.2,50.6
AL MAHDIYAH,ADLS,UNUSED,UNUSED,35.5,11.05
ALAMEDA,ADNA,UNUSED,UNUSED,39.70861,-105.013336
ALAMEDA,ADNB,UNUSED,UNUSED,37.733334,-122.23333
ALAMEDA,ADNC,UNUSED,UNUSED,37.783333,-121.48333
ALAMEDA NAS,ADND,UNUSED,UNUSED,37.790554,-122.325554
ALAMEDA,ADNE,UNUSED,UNUSED,37.783333,-121.48333
ALAMEDA NAS,ADNF,UNUSED,UNUSED,37.790554,-122.32445
ALAMEDA,ADNG,UNUSED,UNUSED,37.776943,-122.27
ALAMEDA PT MARAD,ADNK,UNUSED,UNUSED,37.783333,-122.26667
ALAMEDA        BA,ADNR,UNUSED,UNUSED,37.783333,-122.316666
ALAMOGORDO WHITE,ADQM,UNUSED,UNUSED,32.84139,-105.98889
ALBANY,ADUK,UNUSED,UNUSED,31.616667,-84.166664
ALBANY        MSC,ADUP,UNUSED,UNUSED,31.6,-84.083336
ALBANY,ADUQ,UNUSED,UNUSED,31.616667,-84.166664
ALBANY,ADVK,UNUSED,UNUSED,42.666668,-73.8
ALBANY INTL,ADVM,UNUSED,UNUSED,42.74917,-73.80194
SOUTHWEST GEORGIA,ADVN,UNUSED,UNUSED,31.535555,-84.19444
ALBEMARLE,ADXV,UNUSED,UNUSED,35.35,-80.35
ALBERT,ADYK,UNUSED,UNUSED,35.232777,-98.41111
ALBUQUERQUE,AEBS,UNUSED,UNUSED,35.083332,-106.65
ALCOA,AECW,UNUSED,UNUSED,35.783333,-84
ALCONBURY,AEDY,UNUSED,UNUSED,52.3725,-0.21138889
ALEXANDER CITY,AELJ,UNUSED,UNUSED,32.95,-86
ALEXANDRIA,AELU,UNUSED,UNUSED,31.183332,29.9
ALEXANDRIA,AEPL,UNUSED,UNUSED,38.816666,-77.066666
ALEXANDRIA,AEPQ,UNUSED,UNUSED,38.816666,-77.15
ALGECIRAS,AEQT,UNUSED,UNUSED,36.133335,-5.45
ALLENDALE,AFKB,UNUSED,UNUSED,33.016666,-81.3
LEHIGH VALLEY INT,AFMS,UNUSED,UNUSED,40.6525,-75.44055
ALLENTOWN,AFMY,UNUSED,UNUSED,40.6,-75.5
ALTUS AFB,AGGN,UNUSED,UNUSED,34.66639,-99.26806
RICK HUSBAND AMAR,AGWF,UNUSED,UNUSED,35.219444,-101.70583
AMES,AHQM,UNUSED,UNUSED,42.03472,-93.61972
AMITYVILLE,AHTM,UNUSED,UNUSED,40.666668,-73.36667
ANACORTES,AHWQ,UNUSED,UNUSED,48.516666,-122.61667
ANACOSTIA,AHXM,UNUSED,UNUSED,38.866665,-76.98333
ANCHORAGE,AJAM,UNUSED,UNUSED,61.166668,-149.98334
