Name,DepOrd Day,Locked,Rln Scope,Goal,GoalDate,Split,Retrograde,Total STons,PAX,POL,Num Pallets,Num Containers,Commodity,Commodity Index,Service,Split RLN Code,Cargo Category Code,Parent Unit Code,Unit Name,Description,TPSN,Vehicle Name,Vehicle Count,Brigade Key,UTC,UIC,First FM,RLD,Origin,Planning Origin,Planning Origin Penalty,Air ALD,Sea ALD,ALD,APOE,SPOE,TPFDD POE,SIL,SIL Mode,SIL Delay,EAD,LAD,PAX Strat Mode,Cargo Strat Mode,Dep Means,APOD,SPOD,TPFDD POD,RDD,Destination,Theater,Operation,FM List,Organization,Next Rln,MaxSched Day,Bulk STons,Oversize STons,Outsize STons,Rln Priority,Tpfdd Priority
1:00DDA,0,NO,STRAT,DST,28,NO,NO,19.1,95,0,0,0,CSS-OTHER,22,ARMY,,"",,"","HQS   HQS CO, SPT BN, ABN",64ZZZ,,0,ABN,6ZZZZ,"",ABN,8,VQHP,VQHP,0,25,0,25,AWUB,"",AWUB,"",NONE,0,24,26,Air,Air,0,FUQN,"",FUQN,28,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,19.1,19.1,19.1,2147483647,9999
1:00DDC,0,NO,STRAT,DST,28,NO,NO,203.0,0,0,0,3,CSS-OTHER,22,ARMY,,"",,"","HQS   HQS CO, SPT BN, ABN",64ZZZ,,0,ABN,6ZZZZ,"",ABN,8,VQHP,VQHP,0,0,14,14,AWUB,ZBES,ZBES,"",NONE,0,24,26,NONE,Water,0,"",HNTS,HNTS,28,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,203.00002,203.00002,203.00002,2147483647,9999
1:00DDP,0,NO,STRAT,DST,20,NO,NO,.0,9,0,0,0,CSS-OTHER,22,ARMY,,"",,"","HQS   HQS CO, SPT BN, ABN",64ZZZ,,0,ABN,6ZZZZ,"",ABN,17,VQHP,VQHP,0,19,0,19,AWUB,"",AWUB,"",NONE,0,19,20,Air,NONE,0,FUQN,"",FUQN,20,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,0,0,0,2147483647,9999
1:00DEA,0,NO,STRAT,DST,26,NO,NO,.0,152,0,0,0,CSS-OTHER,22,ARMY,,"",,"",HHC SIG BDE  ABN,,,0,ABN,6RB22,"",ABN,8,VQHP,VQHP,0,24,0,24,AWUB,"",AWUB,"",NONE,0,24,26,Air,NONE,0,FUQN,"",FUQN,26,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,0,0,0,2147483647,9999
1:00DEC,0,NO,STRAT,DST,26,NO,NO,257.8,0,0,0,4,CSS-OTHER,22,ARMY,,"",,"",HHC SIG BDE  ABN,,,0,ABN,6RB22,"",ABN,8,VQHP,VQHP,0,0,14,14,AWUB,ZBES,ZBES,"",NONE,0,24,26,NONE,Water,0,"",HNTS,HNTS,26,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,257.80002,257.80002,257.80002,2147483647,9999
1:00FB,0,NO,STRAT,DST,25,NO,NO,66.2,25,0,1,0,AIRBORNE,5,ARMY,,"",,"",HHC AIRBORNE DIVISION,01082,,0,ABN,0MBNN,"",ABN,0,HCTL,HCTL,0,15,0,15,TMKH,"",TMKH,"",NONE,0,12,25,Air,Air,0,FUQN,"",FUQN,25,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,66.2,66.2,66.2,2147483647,9999
1:00FC,0,NO,STRAT,DST,27,NO,NO,34.9,21,0,1,0,AIRBORNE,5,ARMY,,"",,"","HHC/MMC, SPT CMD, ABN DIV",01082,,0,ABN,NTCNN,"",ABN,0,HCTL,HCTL,0,24,0,24,TMKH,"",TMKH,"",NONE,0,24,27,Air,Air,0,FUQN,"",FUQN,27,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,34.9,34.9,34.9,2147483647,9999
1:00FD,0,NO,STRAT,DST,33,NO,NO,241.9,0,0,0,1,AIRBORNE,5,ARMY,,"",,"","HHC/MMC, SPT CMD, ABN DIV",01082,,0,ABN,NTCNN,"",ABN,0,HCTL,HCTL,0,0,18,18,TMKH,DKSD,DKSD,"",NONE,0,28,32,NONE,Water,0,"",HNTS,HNTS,33,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,241.9,241.9,241.9,2147483647,9999
1:00FDA,0,NO,STRAT,DST,33,NO,NO,.0,20,0,0,0,AIRBORNE,5,ARMY,,"",,"","HHC/MMC, SPT CMD, ABN DIV",01082,,0,ABN,NTCNN,"",ABN,0,HCTL,HCTL,0,28,0,28,TMKH,"",TMKH,"",NONE,0,28,32,Air,NONE,0,FUQN,"",FUQN,33,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,0,0,0,2147483647,9999
1:00FE,0,NO,STRAT,DST,16,NO,NO,46.2,30,0,1,0,AIRBORNE,5,ARMY,,"",,"",HHC AIRBORNE BRIGADE,01082,,0,ABN,3MBNN,"",ABN,0,HCTL,HCTL,0,12,0,12,TMKH,"",TMKH,"",NONE,0,12,16,Air,Air,0,FUQN,"",FUQN,16,WSVC,Tunisia,THEATER1,"",TEBESSA,"",9999,46.2,46.2,46.2,2147483647,9999
