ACType,CType,Pax,Bulk,Oversize,Outsize,Fuel,OverComp,OutComp,OverOutComp,Restrict
B-747P,AF-AIRCRAFT,355,0,0,0,,0,0,0,0
B-747P,AF-SUPPORT,355,0,0,0,,0,0,0,0
B-747P,AF-PREPO,355,0,0,0,,0,0,0,0
B-747P,MARINE-PREPO,355,0,0,0,,0,0,0,0
B-747P,ARMY-PREPO,355,0,0,0,,0,0,0,0
B-747P,AIRBORNE,355,0,0,0,,0,0,0,0
B-747P,ARMOR,355,0,0,0,,0,0,0,0
B-747P,MECH-INFANTR,355,0,0,0,,0,0,0,0
B-747P,AIRMOBILE,355,0,0,0,,0,0,0,0
B-747P,CBAC,355,0,0,0,,0,0,0,0
B-747P,INFANTRY,355,0,0,0,,0,0,0,0
B-747P,ARMOR-CAV,355,0,0,0,,0,0,0,0
B-747P,AMPH-MARINES,355,0,0,0,,0,0,0,0
B-747P,MARINES,355,0,0,0,,0,0,0,0
B-747P,CS-ENGINEER,355,0,0,0,,0,0,0,0
B-747P,CS-ARTILLERY,355,0,0,0,,0,0,0,0
B-747P,CS-OTHER,355,0,0,0,,0,0,0,0
B-747P,CSS-ENGINEER,355,0,0,0,,0,0,0,0
B-747P,CSS-MEDICAL,355,0,0,0,,0,0,0,0
B-747P,CSS-SIGNAL,355,0,0,0,,0,0,0,0
B-747P,CSS-SUPPLY,355,0,0,0,,0,0,0,0
B-747P,CSS-TRANSPOR,355,0,0,0,,0,0,0,0
B-747P,CSS-OTHER,355,0,0,0,,0,0,0,0
B-747P,NAVY-UE,355,0,0,0,,0,0,0,0
B-747P,RESUPPLY,355,0,0,0,,0,0,0,0
B-747P,AMMUNITION,0,0,0,0,,0,0,0,0
B-747P,POL,0,0,0,0,,0,0,0,0
B-747P,GEN-RESUPPLY,0,0,0,0,,0,0,0,0
B-747P,GEN-AMMO,0,0,0,0,,0,0,0,0
B-747P,GEN-POL,0,0,0,0,,0,0,0,0
C-17,AF-AIRCRAFT,20,34.2,29.1,56.4,,0.9863,0.2606,0.7394,0
C-17,AF-SUPPORT,17,34.2,41.5,48.6,,1,0.3971,0.6029,0
C-17,AF-PREPO,28,41.4,53.4,46.8,,1,0.4402,0.55979997,0
C-17,MARINE-PREPO,17,34.2,41.5,48.6,,1,0.3971,0.6029,0
C-17,ARMY-PREPO,17,34.2,41.5,48.6,,1,0.3971,0.6029,0
C-17,AIRBORNE,14,41.4,36.2,52.1,,0.8867,0.6353,0.35509998,0
C-17,ARMOR,14,41.4,36.2,52.1,,0.8867,0.6353,0.35509998,0
C-17,MECH-INFANTR,5,41.4,53.2,50.6,,0.8139,0.3202,0.67980003,0
C-17,AIRMOBILE,9,41.4,40.2,41.7,,0.8532,0.5971,0.4029,0
C-17,CBAC,8,41.4,37,38,,0.84319997,0.56049997,0.29209998,0
C-17,INFANTRY,13,41.4,40.4,53.6,,0.8762,0.48509997,0.5131,0
C-17,ARMOR-CAV,1,41.4,55.3,55.5,,0.8354,0.1099,0.8883,0
