Name,Active,BeachType,BerthType,SeaportName,GeolocCode,BerthGroupName,FromDay,ToDay,PreviousBerthName,NextBerthName,NumContainerCranes,NumGantryCranes,NumMobileCranes,NumWharfCranes,ShipSpacing,Length,Depth,ApronWidth,NumPolPumps,TankerLoadRatePerShip,HotCargoAllowed
00A1BBULK/RORO01,true,null,BBULK/RORO,NW ATLANTIC,00A1,00A1BBULK/RORO01,1,99999,null,null,0,0,1,0,50,4129,33,60,0,2000,Both
00IOGENERAL PU01,true,null,GENERAL PURP,INDIAN OCEAN,00IO,00IOGENERAL PU01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
00XTALL-PURPOS01,true,null,ALL-PURPOSE,WESTERN MED,00XT,00XTALL-PURPOS01,0,99999,null,null,0,0,1,0,50,999,99,120,0,2000,Both
AAPVVISA      01,true,null,VISA,ABIDJAN,AAPV,AAPVVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
ABFLBBULK/RORO01,true,null,BBULK/RORO,AD DAMMAM,ABFL,ABFLBBULK/RORO01,0,99999,null,null,0,0,1,0,50,1772,36,60,0,2000,Both
ABFLBBULK/RORO02,true,null,BBULK/RORO,AD DAMMAM,ABFL,ABFLBBULK/RORO02,0,99999,null,null,0,0,1,0,50,1181,43,60,0,2000,Both
ABFLBBULK/RORO03,true,null,BBULK/RORO,AD DAMMAM,ABFL,ABFLBBULK/RORO03,0,99999,null,null,0,0,1,0,50,2214,43,60,0,2000,Both
ABFLBBULK/RORO04,false,null,BBULK/RORO,AD DAMMAM,ABFL,ABFLBBULK/RORO04,0,99999,null,null,0,0,1,0,50,1180,36,60,0,2000,Both
ABFLBBULK/RORO05,false,null,BBULK/RORO,AD DAMMAM,ABFL,ABFLBBULK/RORO05,0,99999,null,null,0,0,1,0,50,1180,36,60,0,2000,Both
ABFLBBULK/RORO06,false,null,BBULK/RORO,AD DAMMAM,ABFL,ABFLBBULK/RORO06,0,99999,null,null,0,0,1,0,50,1770,36,60,0,2000,Both
ABFLBBULK/RORO07,true,null,BBULK/RORO,AD DAMMAM,ABFL,ABFLBBULK/RORO07,0,99999,null,null,0,0,1,0,50,1180,39,60,0,2000,Both
ABFLBBULK/RORO08,false,null,BBULK/RORO,AD DAMMAM,ABFL,ABFLBBULK/RORO08,0,99999,null,null,0,0,1,0,50,1295,36,60,0,2000,Both
ABFLBREAKBULK 01,true,null,BREAKBULK,AD DAMMAM,ABFL,ABFLBREAKBULK 01,0,99999,null,null,0,0,1,0,50,623,46,60,0,2000,Both
ABFLBREAKBULK 02,false,null,BREAKBULK,AD DAMMAM,ABFL,ABFLBREAKBULK 02,0,99999,null,null,0,0,1,0,50,2063,30,60,0,2000,Both
ABFLGENERAL PU01,true,null,GENERAL PURP,AD DAMMAM,ABFL,ABFLGENERAL PU01,0,99999,null,null,0,0,1,0,50,3148,43,60,0,2000,Both
ABFLGENERAL PU02,false,null,GENERAL PURP,AD DAMMAM,ABFL,ABFLGENERAL PU02,0,99999,null,null,0,0,1,0,50,1180,39,60,0,2000,Both
ABFLGENERAL PU03,false,null,GENERAL PURP,AD DAMMAM,ABFL,ABFLGENERAL PU03,0,99999,null,null,0,0,1,0,50,1574,46,60,0,2000,Both
ABFLVISA      01,true,null,VISA,AD DAMMAM,ABFL,ABFLVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
ADKHBBULK/RORO01,false,null,BBULK/RORO,AL BAHRAYN MINA S,ADKH,ADKHBBULK/RORO01,0,99999,null,null,0,0,1,0,50,2460,29,60,0,2000,Both
ADKHBBULK/RORO02,false,null,BBULK/RORO,AL BAHRAYN MINA S,ADKH,ADKHBBULK/RORO02,0,99999,null,null,0,0,1,0,50,2460,29,60,0,2000,Both
ADKHBBULK/RORO03,true,null,BBULK/RORO,AL BAHRAYN MINA S,ADKH,ADKHBBULK/RORO03,0,99999,null,null,0,0,1,0,50,1968,35,60,0,2000,Both
ADKHGENERAL PU01,true,null,GENERAL PURP,AL BAHRAYN MINA S,ADKH,ADKHGENERAL PU01,0,99999,null,null,0,0,1,0,50,1968,35,60,0,2000,Both
ADLS berth container,true,null,CONTAINER,AL MAHDIYAH,ADLS,BG ADLS berth container,-999,99999,null,null,1,1,2,0,50,4000,90,180,0,2000,Both
ADLS berth general purpose,true,null,GENERAL PURP,AL MAHDIYAH,ADLS,BG ADLS berth general purpose,-999,99999,null,null,1,1,2,0,50,4000,90,180,0,2000,Both
AELUVISA      01,true,null,VISA,ALEXANDRIA,AELU,AELUVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
AEQTVISA      01,true,null,VISA,ALGECIRAS,AEQT,AEQTVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
AJGXVISA      01,true,null,VISA,ANCONA,AJGX,AJGXVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
ALRFVISA      01,true,null,VISA,ANTWERP,ALRF,ALRFVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
AMCQGENERAL PU01,true,null,GENERAL PURP,APRA HARBOR,AMCQ,AMCQGENERAL PU01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
all-purpose berth-APFD Terminal-19858,false,Fixed Berth all-purpose berth-APFD Terminal-19858,ALL-PURPOSE,AS SUKHAYRAH,APFD,berth group-APFD Terminal-19857,-999,99999,null,null,0,0,2,0,50,5000,70,120,0,2000,Both
InStreamAnchor1,true,null,JLOTS,AS SUKHAYRAH,APFD,InStreamAnchor1,0,2147483647,null,null,0,0,2,0,0,3.4028235E38,50,3.4028235E38,0,0,Both
InStreamAnchor2,true,null,JLOTS,AS SUKHAYRAH,APFD,InStreamAnchor2,0,2147483647,null,null,0,0,2,0,0,3.4028235E38,50,3.4028235E38,0,0,Both
APGWVISA      01,true,null,VISA,ASH SHUWAIKH COMM,APGW,APGWVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
all-purpose berth-AVBU Terminal-19773,true,null,ALL-PURPOSE,BALTIMORE OUTPORT,AVBU,berth group-AVBU Terminal-19772,-999,99999,null,null,0,10,0,0,50,5000,55,120,0,2000,Both
AVYXVISA      01,true,null,VISA,BARCELONA,AVYX,AVYXVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
BBNQ BG,true,null,GENERAL PURP,BEAUMONT T2,BBNQ,BBNQ BG,0,99999,null,null,0,0,3,0,50,1000,50,120,0,2000,Both
BBNVBBULK/CONT01,true,null,BBULK/CONTNR,BEAUMONT,BBNV,BBNVBBULK/CONT01,0,99999,null,null,0,0,1,0,50,1435,40,60,0,2000,Both
BBNVGENERAL PU01,true,null,GENERAL PURP,BEAUMONT,BBNV,BBNVGENERAL PU01,0,99999,null,null,0,0,1,0,50,1342,38,60,0,2000,Both
BBNVGENERAL PU02,true,null,GENERAL PURP,BEAUMONT,BBNV,BBNVGENERAL PU02,0,99999,null,null,0,0,1,0,50,1200,40,60,0,2000,Both
BBNVGENERAL PU03,false,null,GENERAL PURP,BEAUMONT,BBNV,BBNVGENERAL PU03,0,99999,null,null,0,0,1,0,50,1450,36,60,0,2000,Both
BBNVGENERAL PU04,false,null,GENERAL PURP,BEAUMONT,BBNV,BBNVGENERAL PU04,0,99999,null,null,0,0,1,0,50,580,30,60,0,2000,Both
BBNVGENERAL PU05,true,null,GENERAL PURP,BEAUMONT,BBNV,BBNVGENERAL PU05,0,99999,null,null,0,0,1,0,50,1000,42,60,0,2000,Both
BBNVGENERAL PU06,true,null,GENERAL PURP,BEAUMONT,BBNV,BBNVGENERAL PU06,0,99999,null,null,0,0,1,0,50,1000,42,60,0,2000,Both
BBNVGENERAL PU07,true,null,GENERAL PURP,BEAUMONT,BBNV,BBNVGENERAL PU07,0,99999,null,null,0,0,1,0,50,1000,42,60,0,2000,Both
BBNVGENERAL PU08,true,null,GENERAL PURP,BEAUMONT,BBNV,BBNVGENERAL PU08,0,99999,null,null,0,0,1,0,50,1000,42,60,0,2000,Both
BBNVGENERAL PU09,true,null,GENERAL PURP,BEAUMONT,BBNV,BBNVGENERAL PU09,0,99999,null,null,0,0,1,0,50,1000,42,60,0,2000,Both
BQWAVISA      01,true,null,VISA,MUHAMMAD QASIM,BQWA,BQWAVISA      01,0,99999,null,null,0,0,1,0,50,9999,99,60,0,2000,Both
BSRL berth container,true,null,CONTAINER,BIZERTE,BSRL,BG BSRL berth container,-999,99999,null,null,1,1,2,0,50,4000,90,180,0,2000,Both
BSRL berth general purpose,true,null,GENERAL PURP,BIZERTE,BSRL,BG BSRL berth general purpose,-999,99999,null,null,1,1,2,0,50,4000,90,180,0,2000,Both
CHCYBBULK/RORO01,false,null,BBULK/RORO,BREMERHAVEN,CHCY,CHCYBBULK/RORO01,0,99999,null,null,0,0,1,0,50,5000,35,60,0,2000,Both
CHCYBBULK/RORO02,false,null,BBULK/RORO,BREMERHAVEN,CHCY,CHCYBBULK/RORO02,0,99999,null,null,0,0,1,0,50,6300,28,60,0,2000,Both
CHCYBBULK/RORO03,false,null,BBULK/RORO,BREMERHAVEN,CHCY,CHCYBBULK/RORO03,0,99999,null,null,0,0,1,0,50,738,39,60,0,2000,Both
