Ship Type,Berth Type,Commodity Class,Transfer Rate
BARGE(LASH),ALL-PURPOSE,AF-AIRCRAFT,0
BARGE(LASH),ALL-PURPOSE,AF-SUPPORT,1200
BARGE(LASH),ALL-PURPOSE,AF-PREPO,1200
BARGE(LASH),ALL-PURPOSE,MARINE-PREPO,1800
BARGE(LASH),ALL-PURPOSE,ARMY-PREPO,5000
BARGE(LASH),ALL-PURPOSE,AIRBORNE,0
BARGE(LASH),BARGE,AF-AIRCRAFT,0
BARGE(LASH),BARGE,AF-SUPPORT,0
BARGE(LASH),BARGE,AF-PREPO,0
BARGE(LASH),BARGE,MARINE-PREPO,0
BARGE(LASH),BARGE,ARMY-PREPO,0
BARGE(LASH),BARGE,AIRBORNE,0
BARGE(LASH),BBULK/AMMO,AF-AIRCRAFT,0
BARGE(LASH),BBULK/AMMO,AF-SUPPORT,0
BARGE(LASH),BBULK/AMMO,AF-PREPO,0
BARGE(LASH),BBULK/AMMO,MARINE-PREPO,1500
BARGE(LASH),BBULK/AMMO,ARMY-PREPO,0
BARGE(LASH),BBULK/AMMO,AIRBORNE,0
BARGE(LASH),BBULK/CONTNR,AF-AIRCRAFT,0
BARGE(LASH),BBULK/CONTNR,AF-SUPPORT,1200
BARGE(LASH),BBULK/CONTNR,AF-PREPO,1200
BARGE(LASH),BBULK/CONTNR,MARINE-PREPO,0
BARGE(LASH),BBULK/CONTNR,ARMY-PREPO,0
BARGE(LASH),BBULK/CONTNR,AIRBORNE,0
BARGE(LASH),BBULK/RORO,AF-AIRCRAFT,0
BARGE(LASH),BBULK/RORO,AF-SUPPORT,1000
BARGE(LASH),BBULK/RORO,AF-PREPO,1000
BARGE(LASH),BBULK/RORO,MARINE-PREPO,1800
BARGE(LASH),BBULK/RORO,ARMY-PREPO,0
BARGE(LASH),BBULK/RORO,AIRBORNE,0
BARGE(LASH),BREAKBULK,AF-AIRCRAFT,0
BARGE(LASH),BREAKBULK,AF-SUPPORT,1000
BARGE(LASH),BREAKBULK,AF-PREPO,1000
BARGE(LASH),BREAKBULK,MARINE-PREPO,0
BARGE(LASH),BREAKBULK,ARMY-PREPO,0
BARGE(LASH),BREAKBULK,AIRBORNE,0
BARGE(LASH),CONT/AMMO,AF-AIRCRAFT,0
BARGE(LASH),CONT/AMMO,AF-SUPPORT,0
