Ship Type,Commodity,Transition Time
BARGE(LASH),AF-AIRCRAFT,0
BARGE(LASH),AF-SUPPORT,0
BARGE(LASH),AF-PREPO,0
BARGE(LASH),MARINE-PREPO,0
BARGE(LASH),ARMY-PREPO,0
BARGE(LASH),AIRBORNE,0
BARGE(LASH),ARMOR,0
BARGE(LASH),MECH-INFANTR,0
BARGE(LASH),AIRMOBILE,0
BARGE(LASH),CBAC,0
BARGE(LASH),INFANTRY,0
BARGE(LASH),ARMOR-CAV,0
BARGE(LASH),AMPH-MARINES,0
BARGE(LASH),MARINES,0
BARGE(LASH),CS-ENGINEER,0
BARGE(LASH),CS-ARTILLERY,0
BARGE(LASH),CS-OTHER,0
BARGE(LASH),CSS-ENGINEER,0
BARGE(LASH),CSS-MEDICAL,0
BARGE(LASH),CSS-SIGNAL,0
BARGE(LASH),CSS-SUPPLY,0
BARGE(LASH),CSS-TRANSPOR,0
BARGE(LASH),CSS-OTHER,0
BARGE(LASH),NAVY-UE,0
BARGE(LASH),RESUPPLY,0
BARGE(LASH),AMMUNITION,0
BARGE(LASH),POL,0
BARGE(LASH),GEN-RESUPPLY,0
BARGE(LASH),GEN-AMMO,0
BARGE(LASH),GEN-POL,0
BARGE(T-AKB),AF-AIRCRAFT,0
BARGE(T-AKB),AF-SUPPORT,0
BARGE(T-AKB),AF-PREPO,0
BARGE(T-AKB),MARINE-PREPO,0
BARGE(T-AKB),ARMY-PREPO,0
BARGE(T-AKB),AIRBORNE,0
BARGE(T-AKB),ARMOR,0
BARGE(T-AKB),MECH-INFANTR,0
BARGE(T-AKB),AIRMOBILE,0
BARGE(T-AKB),CBAC,0
BARGE(T-AKB),INFANTRY,0
BARGE(T-AKB),ARMOR-CAV,0
BARGE(T-AKB),AMPH-MARINES,0
BARGE(T-AKB),MARINES,0
BARGE(T-AKB),CS-ENGINEER,0
BARGE(T-AKB),CS-ARTILLERY,0
BARGE(T-AKB),CS-OTHER,0
BARGE(T-AKB),CSS-ENGINEER,0
BARGE(T-AKB),CSS-MEDICAL,0
BARGE(T-AKB),CSS-SIGNAL,0
BARGE(T-AKB),CSS-SUPPLY,0
BARGE(T-AKB),CSS-TRANSPOR,0
BARGE(T-AKB),CSS-OTHER,0
BARGE(T-AKB),NAVY-UE,0
BARGE(T-AKB),RESUPPLY,0
BARGE(T-AKB),AMMUNITION,0
BARGE(T-AKB),POL,0
BARGE(T-AKB),GEN-RESUPPLY,0
BARGE(T-AKB),GEN-AMMO,0
BARGE(T-AKB),GEN-POL,0
BREAKBULK,AF-AIRCRAFT,0
BREAKBULK,AF-SUPPORT,0
BREAKBULK,AF-PREPO,0
BREAKBULK,MARINE-PREPO,0
BREAKBULK,ARMY-PREPO,0
BREAKBULK,AIRBORNE,0
BREAKBULK,ARMOR,0
BREAKBULK,MECH-INFANTR,0
BREAKBULK,AIRMOBILE,0
BREAKBULK,CBAC,0
BREAKBULK,INFANTRY,0
BREAKBULK,ARMOR-CAV,0
BREAKBULK,AMPH-MARINES,0
BREAKBULK,MARINES,0
BREAKBULK,CS-ENGINEER,0
BREAKBULK,CS-ARTILLERY,0
BREAKBULK,CS-OTHER,0
BREAKBULK,CSS-ENGINEER,0
BREAKBULK,CSS-MEDICAL,0
BREAKBULK,CSS-SIGNAL,0
BREAKBULK,CSS-SUPPLY,0
BREAKBULK,CSS-TRANSPOR,0
BREAKBULK,CSS-OTHER,0
BREAKBULK,NAVY-UE,0
BREAKBULK,RESUPPLY,0
BREAKBULK,AMMUNITION,0
BREAKBULK,POL,0
BREAKBULK,GEN-RESUPPLY,0
BREAKBULK,GEN-AMMO,0
BREAKBULK,GEN-POL,0
CAR TRANS,AF-AIRCRAFT,0
CAR TRANS,AF-SUPPORT,0
CAR TRANS,AF-PREPO,0
CAR TRANS,MARINE-PREPO,0
CAR TRANS,ARMY-PREPO,0
CAR TRANS,AIRBORNE,0
CAR TRANS,ARMOR,0
CAR TRANS,MECH-INFANTR,0
CAR TRANS,AIRMOBILE,0
CAR TRANS,CBAC,0
CAR TRANS,INFANTRY,0
CAR TRANS,ARMOR-CAV,0
CAR TRANS,AMPH-MARINES,0
CAR TRANS,MARINES,0
CAR TRANS,CS-ENGINEER,0
CAR TRANS,CS-ARTILLERY,0
CAR TRANS,CS-OTHER,0
CAR TRANS,CSS-ENGINEER,0
CAR TRANS,CSS-MEDICAL,0
CAR TRANS,CSS-SIGNAL,0
CAR TRANS,CSS-SUPPLY,0
CAR TRANS,CSS-TRANSPOR,0
CAR TRANS,CSS-OTHER,0
CAR TRANS,NAVY-UE,0
CAR TRANS,RESUPPLY,0
CAR TRANS,AMMUNITION,0
CAR TRANS,POL,0
CAR TRANS,GEN-RESUPPLY,0
CAR TRANS,GEN-AMMO,0
CAR TRANS,GEN-POL,0
CLF,AF-AIRCRAFT,0
CLF,AF-SUPPORT,0
CLF,AF-PREPO,0
CLF,MARINE-PREPO,0
CLF,ARMY-PREPO,0
CLF,AIRBORNE,0
CLF,ARMOR,0
CLF,MECH-INFANTR,0
CLF,AIRMOBILE,0
CLF,CBAC,0
CLF,INFANTRY,0
CLF,ARMOR-CAV,0
CLF,AMPH-MARINES,0
CLF,MARINES,0
CLF,CS-ENGINEER,0
CLF,CS-ARTILLERY,0
CLF,CS-OTHER,0
CLF,CSS-ENGINEER,0
CLF,CSS-MEDICAL,0
CLF,CSS-SIGNAL,0
CLF,CSS-SUPPLY,0
CLF,CSS-TRANSPOR,0
CLF,CSS-OTHER,0
CLF,NAVY-UE,0
CLF,RESUPPLY,0
CLF,AMMUNITION,0
CLF,POL,0
CLF,GEN-RESUPPLY,0
CLF,GEN-AMMO,0
CLF,GEN-POL,0
COMBO,AF-AIRCRAFT,0
COMBO,AF-SUPPORT,0
COMBO,AF-PREPO,0
COMBO,MARINE-PREPO,0
COMBO,ARMY-PREPO,0
COMBO,AIRBORNE,0
COMBO,ARMOR,0
