Name,Active,Quantity,CraneType,SeaportName,GeolocCode,BerthName,BerthType,FromDay,ToDay,NumBerthsServed,BreakbulkOnloadRate,BreakbulkOffloadRate,ContainerOnloadRate,ContainerOffloadRate,AvailableForMilitary
00A1BBULK/RORO01_Crane,true,1,MOBILE,NW ATLANTIC,00A1,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
00A1BBULK/RORO01_Crane,true,1,MOBILE,NW ATLANTIC,00A1,00A1BBULK/RORO01,BBULK/RORO,-999,8192,1,9000,9000,2250,2250,true
00IOGENERAL PU01_Crane,true,1,MOBILE,INDIAN OCEAN,00IO,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
00IOGENERAL PU01_Crane,true,1,MOBILE,INDIAN OCEAN,00IO,00IOGENERAL PU01,GENERAL PURP,-999,8192,1,9000,9000,2250,2250,true
00XTALL-PURPOS01_Crane,true,1,MOBILE,WESTERN MED,00XT,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
00XTALL-PURPOS01_Crane,true,1,MOBILE,WESTERN MED,00XT,00XTALL-PURPOS01,ALL-PURPOSE,-999,8192,1,9000,9000,2250,2250,true
AAPVVISA      01_Crane,true,1,MOBILE,ABIDJAN,AAPV,N/A,N/A,-999,8192,1,5600,5600,1400,1400,true
AAPVVISA      01_Crane,true,1,MOBILE,ABIDJAN,AAPV,AAPVVISA      01,VISA,-999,8192,1,5600,5600,1400,1400,true
ABFLBBULK/RORO01_Crane,true,1,MOBILE,AD DAMMAM,ABFL,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
ABFLBBULK/RORO02_Crane,true,1,MOBILE,AD DAMMAM,ABFL,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
ABFLBBULK/RORO03_Crane,true,1,MOBILE,AD DAMMAM,ABFL,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
ABFLBBULK/RORO04_Crane,true,1,MOBILE,AD DAMMAM,ABFL,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
ABFLBBULK/RORO05_Crane,true,1,MOBILE,AD DAMMAM,ABFL,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
ABFLBBULK/RORO06_Crane,true,1,MOBILE,AD DAMMAM,ABFL,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
ABFLBBULK/RORO07_Crane,true,1,MOBILE,AD DAMMAM,ABFL,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
ABFLBBULK/RORO08_Crane,true,1,MOBILE,AD DAMMAM,ABFL,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
ABFLBREAKBULK 01_Crane,true,1,MOBILE,AD DAMMAM,ABFL,N/A,N/A,-999,8192,1,1800,1800,450,450,true
ABFLBREAKBULK 02_Crane,true,1,MOBILE,AD DAMMAM,ABFL,N/A,N/A,-999,8192,1,1800,1800,450,450,true
ABFLGENERAL PU01_Crane,true,1,MOBILE,AD DAMMAM,ABFL,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
ABFLGENERAL PU02_Crane,true,1,MOBILE,AD DAMMAM,ABFL,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
ABFLGENERAL PU03_Crane,true,1,MOBILE,AD DAMMAM,ABFL,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
ABFLVISA      01_Crane,true,1,MOBILE,AD DAMMAM,ABFL,N/A,N/A,-999,8192,1,5600,5600,1400,1400,true
ABFLBBULK/RORO01_Crane,true,1,MOBILE,AD DAMMAM,ABFL,ABFLBBULK/RORO01,BBULK/RORO,-999,8192,1,9000,9000,2250,2250,true
ABFLBBULK/RORO02_Crane,true,1,MOBILE,AD DAMMAM,ABFL,ABFLBBULK/RORO02,BBULK/RORO,-999,8192,1,9000,9000,2250,2250,true
ABFLBBULK/RORO03_Crane,true,1,MOBILE,AD DAMMAM,ABFL,ABFLBBULK/RORO03,BBULK/RORO,-999,8192,1,9000,9000,2250,2250,true
ABFLBBULK/RORO04_Crane,true,1,MOBILE,AD DAMMAM,ABFL,ABFLBBULK/RORO04,BBULK/RORO,-999,8192,1,9000,9000,2250,2250,true
ABFLBBULK/RORO05_Crane,true,1,MOBILE,AD DAMMAM,ABFL,ABFLBBULK/RORO05,BBULK/RORO,-999,8192,1,9000,9000,2250,2250,true
ABFLBBULK/RORO06_Crane,true,1,MOBILE,AD DAMMAM,ABFL,ABFLBBULK/RORO06,BBULK/RORO,-999,8192,1,9000,9000,2250,2250,true
ABFLBBULK/RORO07_Crane,true,1,MOBILE,AD DAMMAM,ABFL,ABFLBBULK/RORO07,BBULK/RORO,-999,8192,1,9000,9000,2250,2250,true
ABFLBBULK/RORO08_Crane,true,1,MOBILE,AD DAMMAM,ABFL,ABFLBBULK/RORO08,BBULK/RORO,-999,8192,1,9000,9000,2250,2250,true
ABFLBREAKBULK 01_Crane,true,1,MOBILE,AD DAMMAM,ABFL,ABFLBREAKBULK 01,BREAKBULK,-999,8192,1,1800,1800,450,450,true
ABFLBREAKBULK 02_Crane,true,1,MOBILE,AD DAMMAM,ABFL,ABFLBREAKBULK 02,BREAKBULK,-999,8192,1,1800,1800,450,450,true
ABFLGENERAL PU01_Crane,true,1,MOBILE,AD DAMMAM,ABFL,ABFLGENERAL PU01,GENERAL PURP,-999,8192,1,9000,9000,2250,2250,true
ABFLGENERAL PU02_Crane,true,1,MOBILE,AD DAMMAM,ABFL,ABFLGENERAL PU02,GENERAL PURP,-999,8192,1,9000,9000,2250,2250,true
ABFLGENERAL PU03_Crane,true,1,MOBILE,AD DAMMAM,ABFL,ABFLGENERAL PU03,GENERAL PURP,-999,8192,1,9000,9000,2250,2250,true
ABFLVISA      01_Crane,true,1,MOBILE,AD DAMMAM,ABFL,ABFLVISA      01,VISA,-999,8192,1,5600,5600,1400,1400,true
ADKHBBULK/RORO01_Crane,true,1,MOBILE,AL BAHRAYN MINA S,ADKH,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
ADKHBBULK/RORO02_Crane,true,1,MOBILE,AL BAHRAYN MINA S,ADKH,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
ADKHBBULK/RORO03_Crane,true,1,MOBILE,AL BAHRAYN MINA S,ADKH,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
ADKHGENERAL PU01_Crane,true,1,MOBILE,AL BAHRAYN MINA S,ADKH,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
ADKHBBULK/RORO01_Crane,true,1,MOBILE,AL BAHRAYN MINA S,ADKH,ADKHBBULK/RORO01,BBULK/RORO,-999,8192,1,9000,9000,2250,2250,true
ADKHBBULK/RORO02_Crane,true,1,MOBILE,AL BAHRAYN MINA S,ADKH,ADKHBBULK/RORO02,BBULK/RORO,-999,8192,1,9000,9000,2250,2250,true
ADKHBBULK/RORO03_Crane,true,1,MOBILE,AL BAHRAYN MINA S,ADKH,ADKHBBULK/RORO03,BBULK/RORO,-999,8192,1,9000,9000,2250,2250,true
ADKHGENERAL PU01_Crane,true,1,MOBILE,AL BAHRAYN MINA S,ADKH,ADKHGENERAL PU01,GENERAL PURP,-999,8192,1,9000,9000,2250,2250,true
Container: ADLS berth container 1,true,1,CONTAINER,AL MAHDIYAH,ADLS,N/A,N/A,-999,8192,1,4000,4000,144,144,true
Container: ADLS berth general purpose 1,true,1,CONTAINER,AL MAHDIYAH,ADLS,N/A,N/A,-999,8192,1,4000,4000,144,144,true
Gantry: ADLS berth container 1,true,1,GANTRY,AL MAHDIYAH,ADLS,N/A,N/A,-999,8192,1,8000,8000,288,288,true
Gantry: ADLS berth general purpose 1,true,1,GANTRY,AL MAHDIYAH,ADLS,N/A,N/A,-999,8192,1,8000,8000,288,288,true
MobCranes: AL MAHDIYAH -ADLS-PRT,true,2,MOBILE,AL MAHDIYAH,ADLS,N/A,N/A,-999,8192,2,3000,3000,100,100,true
Container: ADLS berth container 1,true,1,CONTAINER,AL MAHDIYAH,ADLS,ADLS berth container,CONTAINER,-999,8192,1,4000,4000,144,144,true
Gantry: ADLS berth container 1,true,1,GANTRY,AL MAHDIYAH,ADLS,ADLS berth container,CONTAINER,-999,8192,1,8000,8000,288,288,true
MobCranes: AL MAHDIYAH -ADLS-PRT,true,2,MOBILE,AL MAHDIYAH,ADLS,ADLS berth container,CONTAINER,-999,8192,2,3000,3000,100,100,true
Container: ADLS berth general purpose 1,true,1,CONTAINER,AL MAHDIYAH,ADLS,ADLS berth general purpose,GENERAL PURP,-999,8192,1,4000,4000,144,144,true
Gantry: ADLS berth general purpose 1,true,1,GANTRY,AL MAHDIYAH,ADLS,ADLS berth general purpose,GENERAL PURP,-999,8192,1,8000,8000,288,288,true
MobCranes: AL MAHDIYAH -ADLS-PRT,true,2,MOBILE,AL MAHDIYAH,ADLS,ADLS berth general purpose,GENERAL PURP,-999,8192,2,3000,3000,100,100,true
AELUVISA      01_Crane,true,1,MOBILE,ALEXANDRIA,AELU,N/A,N/A,-999,8192,1,5600,5600,1400,1400,true
AELUVISA      01_Crane,true,1,MOBILE,ALEXANDRIA,AELU,AELUVISA      01,VISA,-999,8192,1,5600,5600,1400,1400,true
AEQTVISA      01_Crane,true,1,MOBILE,ALGECIRAS,AEQT,N/A,N/A,-999,8192,1,5600,5600,1400,1400,true
AEQTVISA      01_Crane,true,1,MOBILE,ALGECIRAS,AEQT,AEQTVISA      01,VISA,-999,8192,1,5600,5600,1400,1400,true
