Key,CommodityType,StockageStart,StockagePeriod,Inventory,SatisfyMissedDemand
ABN,AF-AIRCRAFT,,,,
ABN,AF-SUPPORT,,,,
ABN,AF-PREPO,,,,
ABN,MARINE-PREPO,,,,
ABN,ARMY-PREPO,,,,
ABN,AIRBORNE,,,,
ABN,ARMOR,,,,
ABN,MECH-INFANTR,,,,
ABN,AIRMOBILE,,,,
ABN,CBAC,,,,
ABN,INFANTRY,,,,
ABN,ARMOR-CAV,,,,
ABN,AMPH-MARINES,,,,
ABN,MARINES,,,,
ABN,CS-ENGINEER,,,,
ABN,CS-ARTILLERY,,,,
ABN,CS-OTHER,,,,
ABN,CSS-ENGINEER,,,,
ABN,CSS-MEDICAL,,,,
ABN,CSS-SIGNAL,,,,
ABN,CSS-SUPPLY,,,,
ABN,CSS-TRANSPOR,,,,
ABN,CSS-OTHER,,,,
ABN,NAVY-UE,,,,
ABN,RESUPPLY,,,,
ABN,AMMUNITION,,,,
ABN,POL,,,,
ABN,GEN-RESUPPLY,0,25,,
ABN,GEN-AMMO,0,25,,
ABN,GEN-POL,0,25,,
BIR EL ATER,AF-AIRCRAFT,,,,
BIR EL ATER,AF-SUPPORT,,,,
BIR EL ATER,AF-PREPO,,,,
BIR EL ATER,MARINE-PREPO,,,,
BIR EL ATER,ARMY-PREPO,,,,
BIR EL ATER,AIRBORNE,,,,
BIR EL ATER,ARMOR,,,,
BIR EL ATER,MECH-INFANTR,,,,
BIR EL ATER,AIRMOBILE,,,,
BIR EL ATER,CBAC,,,,
BIR EL ATER,INFANTRY,,,,
BIR EL ATER,ARMOR-CAV,,,,
BIR EL ATER,AMPH-MARINES,,,,
BIR EL ATER,MARINES,,,,
BIR EL ATER,CS-ENGINEER,,,,
BIR EL ATER,CS-ARTILLERY,,,,
BIR EL ATER,CS-OTHER,,,,
BIR EL ATER,CSS-ENGINEER,,,,
BIR EL ATER,CSS-MEDICAL,,,,
BIR EL ATER,CSS-SIGNAL,,,,
BIR EL ATER,CSS-SUPPLY,,,,
BIR EL ATER,CSS-TRANSPOR,,,,
BIR EL ATER,CSS-OTHER,,,,
BIR EL ATER,NAVY-UE,,,,
BIR EL ATER,RESUPPLY,,,,
BIR EL ATER,AMMUNITION,,,,
BIR EL ATER,POL,,,,
BIR EL ATER,GEN-RESUPPLY,0,25,,
BIR EL ATER,GEN-AMMO,0,25,,
BIR EL ATER,GEN-POL,0,25,,
GABES,AF-AIRCRAFT,,,,
GABES,AF-SUPPORT,,,,
GABES,AF-PREPO,,,,
GABES,MARINE-PREPO,,,,
GABES,ARMY-PREPO,,,,
GABES,AIRBORNE,,,,
GABES,ARMOR,,,,
GABES,MECH-INFANTR,,,,
GABES,AIRMOBILE,,,,
GABES,CBAC,,,,
GABES,INFANTRY,,,,
GABES,ARMOR-CAV,,,,
GABES,AMPH-MARINES,,,,
GABES,MARINES,,,,
GABES,CS-ENGINEER,,,,
GABES,CS-ARTILLERY,,,,
GABES,CS-OTHER,,,,
GABES,CSS-ENGINEER,,,,
GABES,CSS-MEDICAL,,,,
GABES,CSS-SIGNAL,,,,
GABES,CSS-SUPPLY,,,,
GABES,CSS-TRANSPOR,,,,
GABES,CSS-OTHER,,,,
GABES,NAVY-UE,,,,
GABES,RESUPPLY,,,,
GABES,AMMUNITION,,,,
GABES,POL,,,,
GABES,GEN-RESUPPLY,0,25,,
GABES,GEN-AMMO,0,25,,
GABES,GEN-POL,0,25,,
GABES (HNTM),AF-AIRCRAFT,,,,
GABES (HNTM),AF-SUPPORT,,,,
GABES (HNTM),AF-PREPO,,,,
GABES (HNTM),MARINE-PREPO,,,,
GABES (HNTM),ARMY-PREPO,,,,
GABES (HNTM),AIRBORNE,,,,
GABES (HNTM),ARMOR,,,,
GABES (HNTM),MECH-INFANTR,,,,
GABES (HNTM),AIRMOBILE,,,,
GABES (HNTM),CBAC,,,,
GABES (HNTM),INFANTRY,,,,
GABES (HNTM),ARMOR-CAV,,,,
GABES (HNTM),AMPH-MARINES,,,,
GABES (HNTM),MARINES,,,,
GABES (HNTM),CS-ENGINEER,,,,
GABES (HNTM),CS-ARTILLERY,,,,
GABES (HNTM),CS-OTHER,,,,
GABES (HNTM),CSS-ENGINEER,,,,
GABES (HNTM),CSS-MEDICAL,,,,
GABES (HNTM),CSS-SIGNAL,,,,
GABES (HNTM),CSS-SUPPLY,,,,
GABES (HNTM),CSS-TRANSPOR,,,,
GABES (HNTM),CSS-OTHER,,,,
GABES (HNTM),NAVY-UE,,,,
GABES (HNTM),RESUPPLY,,,,
GABES (HNTM),AMMUNITION,,,,
GABES (HNTM),POL,,,,
GABES (HNTM),GEN-RESUPPLY,0,25,,
GABES (HNTM),GEN-AMMO,0,25,,
GABES (HNTM),GEN-POL,0,25,,
GABES (HNTS),AF-AIRCRAFT,,,,
GABES (HNTS),AF-SUPPORT,,,,
GABES (HNTS),AF-PREPO,,,,
GABES (HNTS),MARINE-PREPO,,,,
GABES (HNTS),ARMY-PREPO,,,,
GABES (HNTS),AIRBORNE,,,,
GABES (HNTS),ARMOR,,,,
GABES (HNTS),MECH-INFANTR,,,,
GABES (HNTS),AIRMOBILE,,,,
GABES (HNTS),CBAC,,,,
GABES (HNTS),INFANTRY,,,,
GABES (HNTS),ARMOR-CAV,,,,
GABES (HNTS),AMPH-MARINES,,,,
GABES (HNTS),MARINES,,,,
GABES (HNTS),CS-ENGINEER,,,,
GABES (HNTS),CS-ARTILLERY,,,,
GABES (HNTS),CS-OTHER,,,,
GABES (HNTS),CSS-ENGINEER,,,,
GABES (HNTS),CSS-MEDICAL,,,,
GABES (HNTS),CSS-SIGNAL,,,,
GABES (HNTS),CSS-SUPPLY,,,,
GABES (HNTS),CSS-TRANSPOR,,,,
GABES (HNTS),CSS-OTHER,,,,
GABES (HNTS),NAVY-UE,,,,
GABES (HNTS),RESUPPLY,,,,
GABES (HNTS),AMMUNITION,,,,
GABES (HNTS),POL,,,,
GABES (HNTS),GEN-RESUPPLY,0,25,,
GABES (HNTS),GEN-AMMO,0,25,,
GABES (HNTS),GEN-POL,0,25,,
GAFSA,AF-AIRCRAFT,,,,
GAFSA,AF-SUPPORT,,,,
GAFSA,AF-PREPO,,,,
GAFSA,MARINE-PREPO,,,,
GAFSA,ARMY-PREPO,,,,
GAFSA,AIRBORNE,,,,
GAFSA,ARMOR,,,,
GAFSA,MECH-INFANTR,,,,
GAFSA,AIRMOBILE,,,,
GAFSA,CBAC,,,,
GAFSA,INFANTRY,,,,
GAFSA,ARMOR-CAV,,,,
GAFSA,AMPH-MARINES,,,,
GAFSA,MARINES,,,,
GAFSA,CS-ENGINEER,,,,
GAFSA,CS-ARTILLERY,,,,
GAFSA,CS-OTHER,,,,
GAFSA,CSS-ENGINEER,,,,
GAFSA,CSS-MEDICAL,,,,
GAFSA,CSS-SIGNAL,,,,
GAFSA,CSS-SUPPLY,,,,
GAFSA,CSS-TRANSPOR,,,,
GAFSA,CSS-OTHER,,,,
GAFSA,NAVY-UE,,,,
GAFSA,RESUPPLY,,,,
GAFSA,AMMUNITION,,,,
GAFSA,POL,,,,
GAFSA,GEN-RESUPPLY,0,25,,
GAFSA,GEN-AMMO,0,25,,
GAFSA,GEN-POL,0,25,,
JERBA-ZARZIS,AF-AIRCRAFT,,,,
JERBA-ZARZIS,AF-SUPPORT,,,,
JERBA-ZARZIS,AF-PREPO,,,,
JERBA-ZARZIS,MARINE-PREPO,,,,
JERBA-ZARZIS,ARMY-PREPO,,,,
JERBA-ZARZIS,AIRBORNE,,,,
JERBA-ZARZIS,ARMOR,,,,
JERBA-ZARZIS,MECH-INFANTR,,,,
JERBA-ZARZIS,AIRMOBILE,,,,
JERBA-ZARZIS,CBAC,,,,
JERBA-ZARZIS,INFANTRY,,,,
JERBA-ZARZIS,ARMOR-CAV,,,,
JERBA-ZARZIS,AMPH-MARINES,,,,
JERBA-ZARZIS,MARINES,,,,
JERBA-ZARZIS,CS-ENGINEER,,,,
JERBA-ZARZIS,CS-ARTILLERY,,,,
JERBA-ZARZIS,CS-OTHER,,,,
JERBA-ZARZIS,CSS-ENGINEER,,,,
JERBA-ZARZIS,CSS-MEDICAL,,,,
JERBA-ZARZIS,CSS-SIGNAL,,,,
JERBA-ZARZIS,CSS-SUPPLY,,,,
JERBA-ZARZIS,CSS-TRANSPOR,,,,
JERBA-ZARZIS,CSS-OTHER,,,,
JERBA-ZARZIS,NAVY-UE,,,,
JERBA-ZARZIS,RESUPPLY,,,,
JERBA-ZARZIS,AMMUNITION,,,,
JERBA-ZARZIS,POL,,,,
JERBA-ZARZIS,GEN-RESUPPLY,0,25,,
JERBA-ZARZIS,GEN-AMMO,0,25,,
JERBA-ZARZIS,GEN-POL,0,25,,
MADANIYIN,AF-AIRCRAFT,,,,
MADANIYIN,AF-SUPPORT,,,,
MADANIYIN,AF-PREPO,,,,
MADANIYIN,MARINE-PREPO,,,,
MADANIYIN,ARMY-PREPO,,,,
MADANIYIN,AIRBORNE,,,,
MADANIYIN,ARMOR,,,,
MADANIYIN,MECH-INFANTR,,,,
MADANIYIN,AIRMOBILE,,,,
MADANIYIN,CBAC,,,,
MADANIYIN,INFANTRY,,,,
MADANIYIN,ARMOR-CAV,,,,
MADANIYIN,AMPH-MARINES,,,,
MADANIYIN,MARINES,,,,
MADANIYIN,CS-ENGINEER,,,,
MADANIYIN,CS-ARTILLERY,,,,
MADANIYIN,CS-OTHER,,,,
MADANIYIN,CSS-ENGINEER,,,,
MADANIYIN,CSS-MEDICAL,,,,
MADANIYIN,CSS-SIGNAL,,,,
MADANIYIN,CSS-SUPPLY,,,,
MADANIYIN,CSS-TRANSPOR,,,,
MADANIYIN,CSS-OTHER,,,,
MADANIYIN,NAVY-UE,,,,
MADANIYIN,RESUPPLY,,,,
MADANIYIN,AMMUNITION,,,,
MADANIYIN,POL,,,,
MADANIYIN,GEN-RESUPPLY,0,25,,
MADANIYIN,GEN-AMMO,0,25,,
MADANIYIN,GEN-POL,0,25,,
MECHANICSBURG,AF-AIRCRAFT,,,,
MECHANICSBURG,AF-SUPPORT,,,,
MECHANICSBURG,AF-PREPO,,,,
MECHANICSBURG,MARINE-PREPO,,,,
MECHANICSBURG,ARMY-PREPO,,,,
MECHANICSBURG,AIRBORNE,,,,
MECHANICSBURG,ARMOR,,,,
MECHANICSBURG,MECH-INFANTR,,,,
MECHANICSBURG,AIRMOBILE,,,,
MECHANICSBURG,CBAC,,,,
MECHANICSBURG,INFANTRY,,,,
MECHANICSBURG,ARMOR-CAV,,,,
MECHANICSBURG,AMPH-MARINES,,,,
MECHANICSBURG,MARINES,,,,
MECHANICSBURG,CS-ENGINEER,,,,
MECHANICSBURG,CS-ARTILLERY,,,,
MECHANICSBURG,CS-OTHER,,,,
