GeolocCode,Name,Latitude,Longitude,Draft,OceanPort,ConusPort,BunkeringPort,ConstrainedPort,MaximumPortQueue,HlaShared
00A1,,,,997,true,false,false,false,30,
00IO,,,,997,true,false,false,false,30,
00XT,,,,997,true,false,false,false,30,
AAPV,,,,997,false,false,false,true,30,
ABFL,,,,997,false,false,false,true,30,
ADKH,,,,997,false,false,false,true,30,
ADLS,,,,997,false,false,false,true,30,
AELU,,,,997,false,false,false,true,30,
AEQT,,,,997,false,false,false,true,30,
AJGX,,,,997,false,false,false,true,30,
ALRF,,,,997,false,false,false,true,30,
AMCQ,,,,997,false,false,false,true,30,
APFD,,,,997,false,false,false,true,30,
APGW,,,,997,false,false,false,true,30,
AVBU,,,,997,false,true,true,false,30,
AVYX,,,,997,false,false,false,true,30,
BBNQ,,,,997,false,true,true,true,30,
BBNV,,,,997,false,true,true,true,30,
BQWA,,,,997,false,false,false,true,30,
BSRL,,,,997,false,false,false,true,30,
CHCY,,,,997,false,false,false,true,30,
CWCP,,,,997,false,false,false,true,30,
CWGV,,,,997,false,false,false,true,30,
DKSD,,,,997,false,true,true,true,30,
DRUG,,,,997,false,false,false,true,30,
EDME,,,,997,false,false,false,true,30,
EGNN,,,,997,false,true,true,true,30,
ENCN,,,,997,false,true,true,true,30,
EZMU,,,,997,false,false,false,true,30,
FGDB,,,,997,false,false,false,false,30,
FGDD,,,,997,false,false,false,true,30,
FGTW,,,,997,false,false,false,true,30,
FMAZ,,,,997,false,false,false,true,30,
FNLD,,,,997,false,false,false,true,30,
FNSH,,,,997,false,false,false,true,30,
FQZF,,,,997,false,true,true,false,30,
GPEN,,,,997,false,false,false,true,30,
GWZP,,,,997,false,false,false,true,30,
HAGC,,,,997,false,true,true,true,30,
HMGB,,,,997,false,false,false,true,30,
HNTS,,,,997,false,false,false,true,30,
HUPR,,,,997,false,false,false,true,30,
JJRP,,,,997,false,false,false,true,30,
JSSN,,,,997,false,false,false,true,30,
JTVH,,,,997,false,true,true,true,30,
JWJY,,,,997,false,false,false,true,30,
JWTD,,,,997,false,false,false,true,30,
JXKM,,,,997,false,false,false,true,30,
JYPN,,,,997,false,false,false,true,30,
KZPH,,,,997,false,false,false,true,30,
KZTZ,,,,997,false,false,false,true,30,
LCMT,,,,997,false,true,true,true,30,
LKPE,,,,997,false,true,true,true,30,
LRNC,,,,997,false,false,false,true,30,
LSGM,,,,997,false,true,true,true,30,
LUTP,,,,997,false,false,false,true,30,
LWEV,,,,997,false,false,false,true,30,
LYAP,,,,997,false,false,false,true,30,
LYRV,,,,997,false,false,false,true,30,
LYTM,,,,997,false,false,false,true,30,
MKAG,,,,997,false,false,false,true,30,
MLDL,,,,997,false,false,false,true,30,
MMGH,,,,997,false,false,false,true,30,
MZJK,,,,997,false,false,false,true,30,
NBDY,,,,997,false,false,false,true,30,
NLFL,,,,997,false,false,false,true,30,
NNWH,,,,997,false,false,false,true,30,
NPTU,,,,997,false,true,true,true,30,
NSAN,,,,997,false,true,true,true,30,
PAXM,,,,997,false,false,false,true,30,
PCFC,,,,997,false,false,false,true,30,
PCFG,,,,997,false,false,false,true,30,
PKVP,,,,997,false,false,false,true,30,
PPSH,,,,997,false,true,true,false,30,
QCFF,,,,997,false,true,true,true,30,
QHPB,,,,997,false,false,false,true,30,
QHPD,,,,997,false,false,false,true,30,
QHPF,,,,997,false,false,false,true,30,
QNPW,,,,997,false,false,false,false,30,
QTUP,,,,997,false,true,true,true,30,
RCYQ,,,,997,false,false,false,true,30,
RCYT,,,,997,false,false,false,true,30,
RELG,,,,997,false,false,false,true,30,
REPV,,,,997,false,false,false,true,30,
RGJW,,,,997,false,false,false,true,30,
RQNK,,,,997,false,true,true,true,30,
RRHU,,,,997,false,true,true,true,30,
RRRK,,,,997,false,true,true,true,30,
RUAM,,,,997,false,true,true,false,30,
RUAQ,,,,997,false,true,true,true,30,
RULV,,,,997,false,true,true,true,30,
SBEA,,,,997,false,true,true,true,30,
SBEQ,,,,997,false,true,true,true,30,
SERU,,,,997,false,true,true,true,30,
SMXS,,,,997,false,false,false,true,30,
STRM,,,,997,false,false,false,true,30,
SVCN,,,,997,false,false,false,true,30,
SYZZ,,,,997,false,false,false,true,30,
TGWS,,,,997,false,false,false,true,30,
TKDW,,,,997,false,false,false,true,30,
TNVX,,,,997,false,true,true,true,30,
TNZY,,,,997,false,true,true,true,30,
TPPR,,,,997,false,false,false,true,30,
TPRW,,,,997,false,false,false,true,30,
TQKG,,,,997,false,true,true,true,30,
TRZP,,,,997,false,false,false,true,30,
TVJD,,,,997,false,false,false,true,30,
TVXA,,,,997,false,false,false,true,30,
TZL4,,,,997,false,false,false,true,30,
TZYR,,,,997,false,false,false,true,30,
UMXA,,,,997,false,false,false,true,30,
UNAP,,,,997,false,false,false,true,30,
UTAC,,,,997,false,true,true,true,30,
UTVT,,,,997,false,false,false,true,30,
UULA,,,,997,false,false,false,true,30,
UULB,,,,997,false,false,false,true,30,
UULX,,,,997,false,true,true,true,30,
UYQR,,,,997,false,false,false,true,30,
UZXJ,,,,997,false,true,true,true,30,
VFVN,,,,997,false,true,true,true,30,
VKNP,,,,997,false,false,false,true,30,
VPRF,,,,997,false,false,false,true,30,
VSNF,,,,997,false,false,false,true,30,
WMPT,,,,997,false,true,true,true,30,
WPAU,,,,997,false,false,false,true,30,
WPVT,,,,997,false,true,true,true,30,
WQZM,,,,997,false,false,false,true,30,
WTJG,,,,997,false,false,false,true,30,
WYKZ,,,,997,false,false,false,true,30,
XEXW,,,,997,false,false,false,true,30,
XRVJ,,,,997,false,false,false,true,30,
XUDT,,,,997,false,true,true,true,30,
XVMN,,,,997,false,false,false,true,30,
XVRV,,,,997,false,false,false,true,30,
XYNK,,,,997,false,false,false,true,30,
YRTK,,,,997,false,false,false,true,30,
ZBES,,,,997,false,true,true,true,30,
ZMJJ,,,,997,false,false,false,true,30,
ZNMC,,,,997,false,false,false,true,30,
ZSJC,,,,997,false,false,false,true,30,
