GeolocCode,Name,Day,Threshold
00A1,NW ATLANTIC,0,0.3
00IO,INDIAN OCEAN,0,0.3
00XT,WESTERN MED,0,0.3
AAPV,ABIDJAN,0,0.3
ABFL,AD DAMMAM,0,0.3
ADKH,AL BAHRAYN MINA S,0,0.3
ADLS,AL MAHDIYAH,0,0.3
AELU,ALEXANDRIA,0,0.3
AEQT,ALGECIRAS,0,0.3
AJGX,ANCONA,0,0.3
ALRF,ANTWERP,0,0.3
AMCQ,APRA HARBOR,0,0.3
APFD,AS SUKHAYRAH,0,0.3
APGW,ASH SHUWAIKH COMM,0,0.3
AVBU,BALTIMORE OUTPORT,0,0.3
AVYX,BARCELONA,0,0.3
BBNQ,BEAUMONT T2,0,0.3
BBNV,BEAUMONT,0,0.3
BQWA,MUHAMMAD QASIM,0,0.3
BSRL,BIZERTE,0,0.3
CHCY,BREMERHAVEN,0,0.3
CWCP,CADIZ,0,0.3
CWGV,CAGAYAN DE ORO,0,0.3
DKSD,CHARLESTON,0,0.3
DRUG,CHINHAE,0,0.3
EDME,COLOMBO,0,0.3
EGNN,CONCORD,0,0.3
ENCN,CORPUS CHRISTI NA,0,0.3
EZMU,DAKAR,0,0.3
FGDB,DIEGO GARCIA EAST,0,0.3
FGDD,DIEGO GARCIA,0,0.3
FGTW,DJERBA,0,0.3
FMAZ,DUBAI,0,0.3
FNLD,DURBAN,0,0.3
FNSH,DUTCH HARBOR,0,0.3
FQZF,EARLE NWS,0,0.3
GPEN,FELIXSTOWE,0,0.3
GWZP,FOS,0,0.3
HAGC,FREEPORT,0,0.3
HMGB,FUJAIRAH,0,0.3
HNTS,GABES,0,0.3
HUPR,GENOVA,0,0.3
JJRP,GRAVESEND,0,0.3
JSSN,GUAM PORT,0,0.3
JTVH,GULFPORT,0,0.3
JWJY,HAIFA,0,0.3
JWTD,HAKATA,0,0.3
JXKM,HALIFAX,0,0.3
JYPN,HAMBURG,0,0.3
KZPH,HONG KONG ABERDEE,0,0.3
KZTZ,HONOLULU,0,0.3
LCMT,HOUSTON,0,0.3
LKPE,INDIAN ISLAND,0,0.3
LRNC,IZMIR,0,0.3
LSGM,JACKSONVILLE,0,0.3
LUTP,JEDDAH,0,0.3
LWEV,JUBAIL PORT,0,0.3
LYAP,KANDLA,0,0.3
LYRV,KAOHSIUNG TSOYING,0,0.3
LYTM,KARACHI,0,0.3
MKAG,KOBE,0,0.3
MLDL,KOPER,0,0.3
MMGH,KWANGYANG,0,0.3
MZJK,LE HAVRE,0,0.3
NBDY,LIVORNO,0,0.3
NLFL,LIVERPOOL,0,0.3
NNWH,LOME,0,0.3
NPTU,LONG BEACH,0,0.3
NSAN,LOS ANGELES,0,0.3
PAXM,MANILA,0,0.3
PCFC,MANZANILLO,0,0.3
PCFG,MANZANILLO,0,0.3
PKVP,MASAN,0,0.3
PPSH,MAYPORT NAVAL ST,0,0.3
QCFF,MIAMI,0,0.3
QHPB,JEBEL ALI,0,0.3
QHPD,MINA SAQR,0,0.3
QHPF,MINA ZAYED,0,0.3
QNPW,MOKPO,0,0.3
QTUP,MOREHEAD CITY,0,0.3
RCYQ,MUSCAT,0,0.3
RCYT,MUSCAT,0,0.3
RELG,NAGOYA,0,0.3
REPV,NAHA,0,0.3
RGJW,NAPLES,0,0.3
RQNK,NEW ORLEANS,0,0.3
RRHU,NEW YORK,0,0.3
RRRK,NEW YORK PORT EMB,0,0.3
RUAM,NEWPORT,0,0.3
RUAQ,NEWPORT T2,0,0.3
RULV,NEWPORT NEWS,0,0.3
SBEA,NORFOLK,0,0.3
SBEQ,NORFOLK T2,0,0.3
SERU,OAKLAND SEALAND T,0,0.3
SMXS,OSAKA,0,0.3
STRM,PALERMO,0,0.3
SVCN,PANAMA CITY,0,0.3
SYZZ,PEARL HARBOR NAD,0,0.3
TGWS,PARAIEVS,0,0.3
TKDW,POHANG,0,0.3
TNVX,PORT EVERGLADES,0,0.3
TNZY,PORT HUENEME NCBC,0,0.3
TPPR,PORT SAID,0,0.3
TPRW,PORT KELANG,0,0.3
TQKG,PORTLAND,0,0.3
TRZP,PRAIA DE VITORIA,0,0.3
TVJD,PUSAN MILITARY TE,0,0.3
TVXA,MINA QABOOS,0,0.3
TZL4,RAS AL MISHAB,0,0.3
TZYR,SALALAH MINA RAYS,0,0.3
UMXA,ROTA,0,0.3
UNAP,ROTTERDAM,0,0.3
UTAC,SAN DIEGO,0,0.3
UTVT,SAN JUAN,0,0.3
UULA,SAN PEDRO,0,0.3
UULB,SAN PEDRO,0,0.3
UULX,SAN PEDRO,0,0.3
UYQR,SASEBO,0,0.3
UZXJ,SAVANNAH,0,0.3
VFVN,SEATTLE,0,0.3
VKNP,SFAX,0,0.3
VPRF,SHIMIZU,0,0.3
VSNF,SINGAPORE,0,0.3
WMPT,SOUTHPORT MILITAR,0,0.3
WPAU,SYDNEY,0,0.3
WPVT,TACOMA,0,0.3
WQZM,TAKORADI,0,0.3
WTJG,TEMA,0,0.3
WYKZ,TOKYO,0,0.3
XEXW,TRIESTE,0,0.3
XRVJ,VALENCIA,0,0.3
XUDT,VANCOUVER,0,0.3
XVMN,VENICE,0,0.3
XVRV,VERACRUZ,0,0.3
XYNK,VILLA SAN GIOVANN,0,0.3
YRTK,WELLINGTON,0,0.3
ZBES,WILMINGTON,0,0.3
ZMJJ,YANTIAN PORT FAC,0,0.3
ZNMC,YOKOHAMA COMMERCI,0,0.3
ZSJC,ZHAPU,0,0.3
