ACType,CType,Pax,Bulk,Oversize,Outsize,Fuel,OverComp,OutComp,OverOutComp,Restrict
B-747P,AF-AIRCRAFT,355,0,0,0,0,0,0,0,0
B-747P,AF-SUPPORT,355,0,0,0,0,0,0,0,0
B-747P,AF-PREPO,355,0,0,0,0,0,0,0,0
B-747P,MARINE-PREPO,355,0,0,0,0,0,0,0,0
B-747P,ARMY-PREPO,355,0,0,0,0,0,0,0,0
B-747P,AIRBORNE,355,0,0,0,0,0,0,0,0
B-747P,ARMOR,355,0,0,0,0,0,0,0,0
B-747P,MECH-INFANTR,355,0,0,0,0,0,0,0,0
B-747P,AIRMOBILE,355,0,0,0,0,0,0,0,0
B-747P,CBAC,355,0,0,0,0,0,0,0,0
B-747P,INFANTRY,355,0,0,0,0,0,0,0,0
B-747P,ARMOR-CAV,355,0,0,0,0,0,0,0,0
B-747P,AMPH-MARINES,355,0,0,0,0,0,0,0,0
B-747P,MARINES,355,0,0,0,0,0,0,0,0
B-747P,CS-ENGINEER,355,0,0,0,0,0,0,0,0
B-747P,CS-ARTILLERY,355,0,0,0,0,0,0,0,0
B-747P,CS-OTHER,355,0,0,0,0,0,0,0,0
B-747P,CSS-ENGINEER,355,0,0,0,0,0,0,0,0
B-747P,CSS-MEDICAL,355,0,0,0,0,0,0,0,0
B-747P,CSS-SIGNAL,355,0,0,0,0,0,0,0,0
B-747P,CSS-SUPPLY,355,0,0,0,0,0,0,0,0
B-747P,CSS-TRANSPOR,355,0,0,0,0,0,0,0,0
B-747P,CSS-OTHER,355,0,0,0,0,0,0,0,0
B-747P,NAVY-UE,355,0,0,0,0,0,0,0,0
B-747P,RESUPPLY,355,0,0,0,0,0,0,0,0
B-747P,AMMUNITION,0,0,0,0,0,0,0,0,0
B-747P,POL,0,0,0,0,0,0,0,0,0
B-747P,GEN-RESUPPLY,0,0,0,0,0,0,0,0,0
B-747P,GEN-AMMO,0,0,0,0,0,0,0,0,0
B-747P,GEN-POL,0,0,0,0,0,0,0,0,0
C-17,AF-AIRCRAFT,20,34.2,29.1,56.4,0,98.63,26.06,73.94,0
C-17,AF-SUPPORT,17,34.2,41.5,48.6,0,100,39.71,60.29,0
C-17,AF-PREPO,28,41.4,53.4,46.8,0,100,44.02,55.98,0
C-17,MARINE-PREPO,17,34.2,41.5,48.6,0,100,39.71,60.29,0
C-17,ARMY-PREPO,17,34.2,41.5,48.6,0,100,39.71,60.29,0
C-17,AIRBORNE,14,41.4,36.2,52.1,0,88.67,63.53,35.51,0
C-17,ARMOR,14,41.4,36.2,52.1,0,88.67,63.53,35.51,0
C-17,MECH-INFANTR,5,41.4,53.2,50.6,0,81.39,32.02,67.98,0
C-17,AIRMOBILE,9,41.4,40.2,41.7,0,85.32,59.71,40.29,0
C-17,CBAC,8,41.4,37,38,0,84.32,56.05,29.21,0
C-17,INFANTRY,13,41.4,40.4,53.6,0,87.62,48.51,51.31,0
C-17,ARMOR-CAV,1,41.4,55.3,55.5,0,83.54,10.99,88.83,0
C-17,AMPH-MARINES,14,41.4,36.3,49.5,0,99.45,39.8,60.2,0
C-17,MARINES,14,41.4,36.3,49.5,0,99.45,39.8,60.2,0
C-17,CS-ENGINEER,2,41.4,55,54,0,84.36,31.67,67.96,0
C-17,CS-ARTILLERY,2,41.4,54.4,55.9,0,83.64,16.82,83.18,0
C-17,CS-OTHER,5,41.4,53.2,50.6,0,81.39,32.02,67.98,0
C-17,CSS-ENGINEER,5,41.4,50.1,46.5,0,84.43,29.46,69.68,0
C-17,CSS-MEDICAL,13,41.4,41.9,43.1,0,85.2,55.92,44.08,0
C-17,CSS-SIGNAL,13,41.4,40.5,50.2,0,86.91,33.27,65.54,0
C-17,CSS-SUPPLY,5,41.4,53.2,50.6,0,81.39,32.02,67.98,0
C-17,CSS-TRANSPOR,5,41.4,53.2,50.6,0,81.39,32.02,67.98,0
C-17,CSS-OTHER,6,45,45,45,0,89.67,25,75,0
C-17,NAVY-UE,5,41.4,52.5,50.3,0,100,28.63,71.17,0
C-17,RESUPPLY,0,45,45,0,0,100,0,0,0
C-17,AMMUNITION,0,49.5,53.2,50.6,0,81.39,32.02,67.98,0
C-17,POL,5,41.4,53.2,50.6,0,81.39,32.02,67.98,0
C-17,GEN-RESUPPLY,0,45,45,0,0,100,0,0,0
C-17,GEN-AMMO,5,41.4,53.2,50.6,0,81.39,32.02,67.98,0
C-17,GEN-POL,5,41.4,53.2,50.6,0,81.39,32.02,67.98,0
C-5A,AF-AIRCRAFT,97,68.4,52.4,90.6,0,97.71,53.97,46.03,0
C-5A,AF-SUPPORT,94,68.4,66.5,75.2,0,99.7,42.55,57.45,0
C-5A,AF-PREPO,0,82.8,72.6,73.4,0,100,53,47,0
C-5A,MARINE-PREPO,94,68.4,66.5,75.2,0,99.7,42.55,57.45,0
C-5A,ARMY-PREPO,94,68.4,66.5,75.2,0,99.7,42.55,57.45,0
C-5A,AIRBORNE,47,82.8,61.3,68.4,0,89.07,51.61,47.81,0
C-5A,ARMOR,36,82.8,65.8,59.8,0,85.11,58.03,41.64,0
C-5A,MECH-INFANTR,21,82.8,80.4,85,0,88.18,26.94,70.47,0
C-5A,AIRMOBILE,36,82.8,65.8,59.8,0,85.11,58.03,41.64,0
C-5A,CBAC,21,82.8,65.1,46.5,0,82.18,54.62,39.57,0
C-5A,INFANTRY,37,82.8,66,67.5,0,88.18,46.96,52.89,0
C-5A,ARMOR-CAV,7,82.8,87.1,89.5,0,80.25,29.5,70.5,0
C-5A,AMPH-MARINES,55,82.8,61.9,53.5,0,99.84,43.18,56.82,0
C-5A,MARINES,55,82.8,61.9,53.5,0,99.84,43.18,56.82,0
C-5A,CS-ENGINEER,12,82.8,84.5,90.1,0,84.5,25.86,73.81,0
C-5A,CS-ARTILLERY,12,82.8,82.3,90.4,0,83.11,20.24,79.76,0
C-5A,CS-OTHER,21,82.8,80.4,85,0,88.18,26.94,70.47,0
C-5A,CSS-ENGINEER,14,82.8,84.9,79,0,85.39,27.34,71.77,0
C-5A,CSS-MEDICAL,45,82.8,67.7,90.6,0,85.52,58.06,41.94,0
C-5A,CSS-SIGNAL,21,82.8,64.7,82.4,0,88.25,37.14,62.14,0
C-5A,CSS-SUPPLY,21,82.8,80.4,85,0,88.18,26.94,70.47,0
C-5A,CSS-TRANSPOR,21,82.8,80.4,85,0,88.18,26.94,70.47,0
C-5A,CSS-OTHER,28,61.3,61.3,61.3,0,100,25,75,0
C-5A,NAVY-UE,28,82.8,77,85.9,0,85.58,30.73,68.57,0
C-5A,RESUPPLY,0,82.8,80.4,85,0,88.18,26.94,70.47,0
C-5A,AMMUNITION,0,89.1,80.4,85,0,88.18,26.94,70.47,0
C-5A,POL,21,82.8,80.4,85,0,88.18,26.94,70.47,0
C-5A,GEN-RESUPPLY,0,82.8,80.4,85,0,88.18,26.94,70.47,0
C-5A,GEN-AMMO,21,82.8,80.4,85,0,88.18,26.94,70.47,0
C-5A,GEN-POL,21,82.8,80.4,85,0,88.18,26.94,70.47,0
CH47,AF-AIRCRAFT,20,34.2,29.1,56.4,0,98.63,26.06,73.94,0
CH47,AF-SUPPORT,17,34.2,41.5,48.6,0,100,39.71,60.29,0
CH47,AF-PREPO,28,41.4,53.4,46.8,0,100,44.02,55.98,0
CH47,MARINE-PREPO,17,34.2,41.5,48.6,0,100,39.71,60.29,0
CH47,ARMY-PREPO,17,34.2,41.5,48.6,0,100,39.71,60.29,0
CH47,AIRBORNE,14,41.4,36.2,52.1,0,88.67,63.53,35.51,0
CH47,ARMOR,14,41.4,36.2,52.1,0,88.67,63.53,35.51,0
CH47,MECH-INFANTR,5,41.4,53.2,50.6,0,81.39,32.02,67.98,0
CH47,AIRMOBILE,9,41.4,40.2,41.7,0,85.32,59.71,40.29,0
CH47,CBAC,8,41.4,37,38,0,84.32,56.05,29.21,0
CH47,INFANTRY,13,41.4,40.4,53.6,0,87.62,48.51,51.31,0
CH47,ARMOR-CAV,1,41.4,55.3,55.5,0,83.54,10.99,88.83,0
CH47,AMPH-MARINES,14,41.4,36.3,49.5,0,99.45,39.8,60.2,0
CH47,MARINES,14,41.4,36.3,49.5,0,99.45,39.8,60.2,0
CH47,CS-ENGINEER,2,41.4,55,54,0,84.36,31.67,67.96,0
CH47,CS-ARTILLERY,2,41.4,54.4,55.9,0,83.64,16.82,83.18,0
CH47,CS-OTHER,5,41.4,53.2,50.6,0,81.39,32.02,67.98,0
CH47,CSS-ENGINEER,5,41.4,50.1,46.5,0,84.43,29.46,69.68,0
CH47,CSS-MEDICAL,13,41.4,41.9,43.1,0,85.2,55.92,44.08,0
CH47,CSS-SIGNAL,13,41.4,40.5,50.2,0,86.91,33.27,65.54,0
CH47,CSS-SUPPLY,5,41.4,53.2,50.6,0,81.39,32.02,67.98,0
CH47,CSS-TRANSPOR,5,41.4,53.2,50.6,0,81.39,32.02,67.98,0
CH47,CSS-OTHER,6,45,45,45,0,89.67,25,75,0
CH47,NAVY-UE,5,41.4,52.5,50.3,0,100,28.63,71.17,0
CH47,RESUPPLY,0,45,45,0,0,100,0,0,0
CH47,AMMUNITION,0,49.5,53.2,50.6,0,81.39,32.02,67.98,0
CH47,POL,5,41.4,53.2,50.6,0,81.39,32.02,67.98,0
CH47,GEN-RESUPPLY,0,45,45,0,0,100,0,0,0
CH47,GEN-AMMO,5,41.4,53.2,50.6,0,81.39,32.02,67.98,0
CH47,GEN-POL,5,41.4,53.2,50.6,0,81.39,32.02,67.98,0
KC-10,AF-AIRCRAFT,0,43.7,32.5,0,0,99.38,0,0,0
KC-10,AF-SUPPORT,0,43.7,34.9,0,0,99.43,0,0,0
KC-10,AF-PREPO,0,50.6,38.7,0,0,100,0,0,0
KC-10,MARINE-PREPO,0,43.7,34.9,0,0,99.43,0,0,0
KC-10,ARMY-PREPO,0,43.7,34.9,0,0,99.43,0,0,0
KC-10,AIRBORNE,0,52.9,29.1,0,0,99.31,0,0,0
KC-10,ARMOR,0,52.9,29.1,0,0,99.31,0,0,0
KC-10,MECH-INFANTR,0,52.9,29,0,0,97.93,0,0,0
KC-10,AIRMOBILE,0,52.9,30.2,0,0,99.34,0,0,0
KC-10,CBAC,0,52.9,25.3,0,0,92.89,0,0,0
KC-10,INFANTRY,0,52.9,33.1,0,0,99.7,0,0,0
KC-10,ARMOR-CAV,0,52.9,39.5,0,0,96.96,0,0,0
KC-10,AMPH-MARINES,0,52.9,33.8,0,0,98.82,0,0,0
KC-10,MARINES,0,0,0,0,0,0,0,0,0
KC-10,CS-ENGINEER,0,52.9,33.2,0,0,99.7,0,0,0
KC-10,CS-ARTILLERY,0,52.9,30.8,0,0,97.4,0,0,0
KC-10,CS-OTHER,0,52.9,29,0,0,97.93,0,0,0
KC-10,CSS-ENGINEER,0,52.9,30.4,0,0,99.67,0,0,0
