GeolocCode,Name,Latitude,Longitude,Fuel Dest,CONUS Airport,MilitaryGateway,CRAFGateway,DirectDelivery,MOGConstrained,Fuel Org,CrewRestAllowed
AEDY,ALCONBURY,52.3725,-0.21138889,,false,false,false,false,true,"",true
AGGN,ALTUS AFB,34.66639,-99.26806,,true,false,false,false,false,"",true
AJJY,ANDERSEN AFB,13.583889,144.93,,false,false,false,false,true,"",true
AJXF,JOINT BASE ANDREW,38.810833,-76.86667,,true,false,false,false,false,"",true
AQLM,HARTSFIELD JACKSO,33.636665,-84.42778,,true,false,false,false,false,"",true
ASHE,AVIANO AB,46.031113,12.596389,,false,false,false,false,true,"",true
ATXK,BAHRAIN INTL,26.268055,50.636944,,false,false,false,false,false,"",true
AVXV,KALAELOA,21.307222,-158.07028,,false,false,false,false,false,"",true
AWUB,BARKSDALE AFB,32.501945,-93.6625,,true,false,false,false,false,"",true
BAEY,BEALE AFB,39.136112,-121.43667,,true,false,false,false,false,"",true
BBJM,BEAUFORT MCAS,32.4775,-80.72305,,true,false,false,false,false,"",true
BJHZ,AUSTIN BERGSTROM,30.194445,-97.67,,true,false,false,false,false,"",true
BPWZ,BIGGS AAF,31.849445,-106.38,,true,false,false,false,true,"",true
BQWK,BIR EL ATER,34.7525,8.075277,,false,false,false,false,false,"",true
BRKR,BIRMINGHAM SHUTTL,33.56389,-86.75222,,true,false,false,false,false,"",true
BWKR,ARKANSAS INTL,35.964443,-89.943886,,true,false,false,false,false,"",true
BXUR,BOLLING AFB HELI,38.842777,-77.01611,,true,false,false,false,false,"",true
CTGC,GRISSOM ARB,40.648056,-86.15222,,true,false,false,false,false,"",true
CWKW,CAIRO WEST,30.116388,30.915556,,false,false,false,false,true,"",true
CYWF,CAMPBELL AAF,36.66861,-87.49611,,true,false,false,false,true,"",true
CZQZ,CANNON AFB,34.3825,-103.3225,,true,false,false,false,false,"",true
DDPF,FORT WORTH NAS JR,32.769165,-97.441666,,true,false,false,false,false,"",true
DESR,CASTLE,37.380554,-120.56834,,true,false,false,false,false,"",true
DKFX,JB CHARLESTON,32.898613,-80.04056,,true,true,true,false,true,"",true
DNNL,CHERRY POINT MCAS,34.900833,-76.88084,,true,false,false,false,false,"",true
