Ship Type,Berth Type,Commodity Class,Transfer Rate
BARGE(LASH),ALL-PURPOSE,1,0
BARGE(LASH),ALL-PURPOSE,2,1200
BARGE(LASH),ALL-PURPOSE,3,1200
BARGE(LASH),ALL-PURPOSE,4,1800
BARGE(LASH),ALL-PURPOSE,5,5000
BARGE(LASH),ALL-PURPOSE,6,0
BARGE(LASH),BARGE,1,0
BARGE(LASH),BARGE,2,0
BARGE(LASH),BARGE,3,0
BARGE(LASH),BARGE,4,0
BARGE(LASH),BARGE,5,0
BARGE(LASH),BARGE,6,0
BARGE(LASH),BBULK/AMMO,1,0
BARGE(LASH),BBULK/AMMO,2,0
BARGE(LASH),BBULK/AMMO,3,0
BARGE(LASH),BBULK/AMMO,4,1500
BARGE(LASH),BBULK/AMMO,5,0
BARGE(LASH),BBULK/AMMO,6,0
BARGE(LASH),BBULK/CONTNR,1,0
BARGE(LASH),BBULK/CONTNR,2,1200
BARGE(LASH),BBULK/CONTNR,3,1200
BARGE(LASH),BBULK/CONTNR,4,0
BARGE(LASH),BBULK/CONTNR,5,0
BARGE(LASH),BBULK/CONTNR,6,0
BARGE(LASH),BBULK/RORO,1,0
BARGE(LASH),BBULK/RORO,2,1000
BARGE(LASH),BBULK/RORO,3,1000
BARGE(LASH),BBULK/RORO,4,1800
BARGE(LASH),BBULK/RORO,5,0
BARGE(LASH),BBULK/RORO,6,0
BARGE(LASH),BREAKBULK,1,0
BARGE(LASH),BREAKBULK,2,1000
BARGE(LASH),BREAKBULK,3,1000
BARGE(LASH),BREAKBULK,4,0
BARGE(LASH),BREAKBULK,5,0
BARGE(LASH),BREAKBULK,6,0
BARGE(LASH),CONT/AMMO,1,0
BARGE(LASH),CONT/AMMO,2,0
BARGE(LASH),CONT/AMMO,3,0
BARGE(LASH),CONT/AMMO,4,1800
BARGE(LASH),CONT/AMMO,5,0
BARGE(LASH),CONT/AMMO,6,0
BARGE(LASH),CONTAINER,1,0
BARGE(LASH),CONTAINER,2,1200
BARGE(LASH),CONTAINER,3,1200
BARGE(LASH),CONTAINER,4,1800
BARGE(LASH),CONTAINER,5,0
BARGE(LASH),CONTAINER,6,0
BARGE(LASH),DOCK,1,0
BARGE(LASH),DOCK,2,0
BARGE(LASH),DOCK,3,0
BARGE(LASH),DOCK,4,0
BARGE(LASH),DOCK,5,0
