Key,CommodityType,StockageStart,StockagePeriod,Inventory,SatisfyMissedDemand
ABN,GEN-RESUPPLY,0,25,0,true
ABN,GEN-AMMO,0,25,0,true
ABN,GEN-POL,0,25,0,true
BIR EL ATER,GEN-RESUPPLY,0,25,0,true
BIR EL ATER,GEN-AMMO,0,25,0,true
BIR EL ATER,GEN-POL,0,25,0,true
GABES,GEN-RESUPPLY,0,25,0,true
GABES,GEN-AMMO,0,25,0,true
GABES,GEN-POL,0,25,0,true
GABES (HNTM),GEN-RESUPPLY,0,25,0,true
GABES (HNTM),GEN-AMMO,0,25,0,true
GABES (HNTM),GEN-POL,0,25,0,true
GABES (HNTS),GEN-RESUPPLY,0,25,0,true
GABES (HNTS),GEN-AMMO,0,25,0,true
GABES (HNTS),GEN-POL,0,25,0,true
GAFSA,GEN-RESUPPLY,0,25,0,true
GAFSA,GEN-AMMO,0,25,0,true
GAFSA,GEN-POL,0,25,0,true
JERBA-ZARZIS,GEN-RESUPPLY,0,25,0,true
JERBA-ZARZIS,GEN-AMMO,0,25,0,true
JERBA-ZARZIS,GEN-POL,0,25,0,true
MADANIYIN,GEN-RESUPPLY,0,25,0,true
MADANIYIN,GEN-AMMO,0,25,0,true
MADANIYIN,GEN-POL,0,25,0,true
MECHANICSBURG,GEN-RESUPPLY,0,10,999999,true
MECHANICSBURG,GEN-AMMO,0,10,0,true
MECHANICSBURG,GEN-POL,0,10,0,true
PHILADELPHIA,GEN-RESUPPLY,0,10,999999,true
PHILADELPHIA,GEN-AMMO,0,10,0,true
PHILADELPHIA,GEN-POL,0,10,0,true
SEABASE,GEN-RESUPPLY,0,25,0,true
SEABASE,GEN-AMMO,0,25,0,true
SEABASE,GEN-POL,0,25,0,true
SFAX,GEN-RESUPPLY,0,25,0,true
SFAX,GEN-AMMO,0,25,0,true
SFAX,GEN-POL,0,25,0,true
SIGONELLA,GEN-RESUPPLY,0,25,0,true
SIGONELLA,GEN-AMMO,0,25,0,true
SIGONELLA,GEN-POL,0,25,0,true
TEBESSA,GEN-RESUPPLY,0,25,0,true
TEBESSA,GEN-AMMO,0,25,0,true
TEBESSA,GEN-POL,0,25,0,true
THYNA-EL MAOU,GEN-RESUPPLY,0,25,0,true
THYNA-EL MAOU,GEN-AMMO,0,25,0,true
THYNA-EL MAOU,GEN-POL,0,25,0,true
