GeolocCode,Name,Latitude,Longitude,Draft,OceanPort,ConusPort,BunkeringPort,ConstrainedPort,MaximumPortQueue,HlaShared
00A1,NW ATLANTIC,40,-66,999,true,false,false,false,30,0
00IO,INDIAN OCEAN,-15,75,999,true,false,false,false,30,0
00XT,WESTERN MED,40,6,999,true,false,false,false,30,0
AAPV,ABIDJAN,5.25,-4.016667,999,false,false,false,true,30,0
ABFL,AD DAMMAM,26.433332,50.1,999,false,false,false,true,30,0
ADKH,AL BAHRAYN MINA S,26.2,50.6,999,false,false,false,true,30,0
ADLS,AL MAHDIYAH,35.5,11.05,999,false,false,false,true,30,0
AELU,ALEXANDRIA,31.183332,29.9,999,false,false,false,true,30,0
AEQT,ALGECIRAS,36.133335,-5.45,999,false,false,false,true,30,0
AJGX,ANCONA,43.616665,13.5,999,false,false,false,true,30,0
ALRF,ANTWERP,51.266666,4.3333335,999,false,false,false,true,30,0
AMCQ,APRA HARBOR,13.45,144.61667,999,false,false,false,true,30,0
APFD,AS SUKHAYRAH,34.316666,10.15,999,false,false,false,true,30,0
APGW,ASH SHUWAIKH COMM,29.35,47.916668,999,false,false,false,true,30,0
AVBU,BALTIMORE OUTPORT,39.266666,-76.583336,999,false,true,true,false,30,0
AVYX,BARCELONA,41.35,2.1666667,999,false,false,false,true,30,0
BBNQ,BEAUMONT T2,30.083334,-94.083336,999,false,true,true,true,30,0
BBNV,BEAUMONT,30.083334,-94.083336,999,false,true,true,true,30,0
BQWA,MUHAMMAD QASIM,24.766666,67.333336,999,false,false,false,true,30,0
BSRL,BIZERTE,37.283333,9.9,999,false,false,false,true,30,0
CHCY,BREMERHAVEN,53.55,8.55,999,false,false,false,true,30,0
CWCP,CADIZ,36.383335,-6.284167,999,false,false,false,true,30,0
CWGV,CAGAYAN DE ORO,8.5,124.65,999,false,false,false,true,30,0
DKSD,CHARLESTON,32.783333,-79.916664,999,false,true,true,true,30,0
DRUG,CHINHAE,35.133335,128.66667,999,false,false,false,true,30,0
EDME,COLOMBO,6.9333334,79.85,999,false,false,false,true,30,0
EGNN,CONCORD,37.933334,-121.933334,999,false,true,true,true,30,0
ENCN,CORPUS CHRISTI NA,27.816668,-97.4,999,false,true,true,true,30,0
EZMU,DAKAR,14.683333,-17.433332,999,false,false,false,true,30,0
FGDB,DIEGO GARCIA EAST,-7.35,72.46667,999,false,false,false,false,30,0
FGDD,DIEGO GARCIA,-7.2555556,72.405556,999,false,false,false,true,30,0
FGTW,DJERBA,33.833332,10.833333,999,false,false,false,true,30,0
FMAZ,DUBAI,25.25,55.266666,999,false,false,false,true,30,0
FNLD,DURBAN,-29.966667,30.966667,999,false,false,false,true,30,0
FNSH,DUTCH HARBOR,53.916668,-166.6,999,false,false,false,true,30,0
FQZF,EARLE NWS,40.016666,-74.6,999,false,true,true,false,30,0
GPEN,FELIXSTOWE,51.95,1.3166667,999,false,false,false,true,30,0
GWZP,FOS,43.4,4.866667,999,false,false,false,true,30,0
HAGC,FREEPORT,29,-95.4,999,false,true,true,true,30,0
HMGB,FUJAIRAH,25.083334,56.3,999,false,false,false,true,30,0
HNTS,GABES,33.85,10.116667,999,false,false,false,true,30,0
HUPR,GENOVA,44.416668,8.833333,999,false,false,false,true,30,0
JJRP,GRAVESEND,51.45,0.38333333,999,false,false,false,true,30,0
JSSN,GUAM PORT,13.580556,144.92778,999,false,false,false,true,30,0
JTVH,GULFPORT,30.35,-89.083336,999,false,true,true,true,30,0
JWJY,HAIFA,32.8,35.033333,999,false,false,false,true,30,0
JWTD,HAKATA,33.6,130.4,999,false,false,false,true,30,0
JXKM,HALIFAX,44.65,-63.583332,999,false,false,false,true,30,0
JYPN,HAMBURG,53.533333,9.95,999,false,false,false,true,30,0
KZPH,HONG KONG ABERDEE,22.233334,114.13333,999,false,false,false,true,30,0
KZTZ,HONOLULU,21.333334,-157.95,999,false,false,false,true,30,0
LCMT,HOUSTON,29.75,-95.416664,999,false,true,true,true,30,0
LKPE,INDIAN ISLAND,48.075,-122.75,999,false,true,true,true,30,0
LRNC,IZMIR,38.42389,27.129723,999,false,false,false,true,30,0
LSGM,JACKSONVILLE,30.333334,-81.666664,999,false,true,true,true,30,0
LUTP,JEDDAH,21.5,39.2,999,false,false,false,true,30,0
LWEV,JUBAIL PORT,27,49.666668,999,false,false,false,true,30,0
LYAP,KANDLA,23.016666,70.21667,999,false,false,false,true,30,0
LYRV,KAOHSIUNG TSOYING,22.6,120.36667,999,false,false,false,true,30,0
LYTM,KARACHI,24.783333,66.98333,999,false,false,false,true,30,0
MKAG,KOBE,34.666668,135.2,999,false,false,false,true,30,0
MLDL,KOPER,45.55,13.733334,999,false,false,false,true,30,0
MMGH,KWANGYANG,34.894444,127.64667,999,false,false,false,true,30,0
MZJK,LE HAVRE,49.466667,0.11666667,999,false,false,false,true,30,0
NBDY,LIVORNO,43.566666,10.3,999,false,false,false,true,30,0
NLFL,LIVERPOOL,53.416668,-3,999,false,false,false,true,30,0
NNWH,LOME,6.1666665,1.25,999,false,false,false,true,30,0
NPTU,LONG BEACH,33.766666,-118.183334,999,false,true,true,true,30,0
NSAN,LOS ANGELES,33.716667,-118.26667,999,false,true,true,true,30,0
PAXM,MANILA,14.583333,120.96667,999,false,false,false,true,30,0
PCFC,MANZANILLO,19.033333,-104.316666,999,false,false,false,true,30,0
PCFG,MANZANILLO,9.363334,-79.88361,999,false,false,false,true,30,0
PKVP,MASAN,35.183334,128.56667,999,false,false,false,true,30,0
PPSH,MAYPORT NAVAL ST,30.4,-81.433334,999,false,true,true,false,30,0
QCFF,MIAMI,25.783333,-80.183334,999,false,true,true,true,30,0
QHPB,JEBEL ALI,24.983334,55.05,999,false,false,false,true,30,0
QHPD,MINA SAQR,25.966667,56.05,999,false,false,false,true,30,0
QHPF,MINA ZAYED,24.516666,54.366665,999,false,false,false,true,30,0
