GeolocCode,Name,Day,Threshold
00A1,NW ATLANTIC,0,30
00IO,INDIAN OCEAN,0,30
00XT,WESTERN MED,0,30
AAPV,ABIDJAN,0,30
ABFL,AD DAMMAM,0,30
ADKH,AL BAHRAYN MINA S,0,30
ADLS,AL MAHDIYAH,0,30
AELU,ALEXANDRIA,0,30
AEQT,ALGECIRAS,0,30
AJGX,ANCONA,0,30
ALRF,ANTWERP,0,30
AMCQ,APRA HARBOR,0,30
APFD,AS SUKHAYRAH,0,30
APGW,ASH SHUWAIKH COMM,0,30
AVBU,BALTIMORE OUTPORT,0,30
AVYX,BARCELONA,0,30
BBNQ,BEAUMONT T2,0,30
BBNV,BEAUMONT,0,30
BQWA,MUHAMMAD QASIM,0,30
BSRL,BIZERTE,0,30
CHCY,BREMERHAVEN,0,30
CWCP,CADIZ,0,30
CWGV,CAGAYAN DE ORO,0,30
DKSD,CHARLESTON,0,30
DRUG,CHINHAE,0,30
EDME,COLOMBO,0,30
EGNN,CONCORD,0,30
ENCN,CORPUS CHRISTI NA,0,30
EZMU,DAKAR,0,30
FGDB,DIEGO GARCIA EAST,0,30
FGDD,DIEGO GARCIA,0,30
FGTW,DJERBA,0,30
FMAZ,DUBAI,0,30
FNLD,DURBAN,0,30
FNSH,DUTCH HARBOR,0,30
FQZF,EARLE NWS,0,30
GPEN,FELIXSTOWE,0,30
GWZP,FOS,0,30
HAGC,FREEPORT,0,30
HMGB,FUJAIRAH,0,30
HNTS,GABES,0,30
HUPR,GENOVA,0,30
JJRP,GRAVESEND,0,30
JSSN,GUAM PORT,0,30
JTVH,GULFPORT,0,30
JWJY,HAIFA,0,30
JWTD,HAKATA,0,30
JXKM,HALIFAX,0,30
JYPN,HAMBURG,0,30
KZPH,HONG KONG ABERDEE,0,30
KZTZ,HONOLULU,0,30
LCMT,HOUSTON,0,30
LKPE,INDIAN ISLAND,0,30
LRNC,IZMIR,0,30
LSGM,JACKSONVILLE,0,30
LUTP,JEDDAH,0,30
LWEV,JUBAIL PORT,0,30
LYAP,KANDLA,0,30
LYRV,KAOHSIUNG TSOYING,0,30
LYTM,KARACHI,0,30
MKAG,KOBE,0,30
MLDL,KOPER,0,30
MMGH,KWANGYANG,0,30
MZJK,LE HAVRE,0,30
NBDY,LIVORNO,0,30
NLFL,LIVERPOOL,0,30
NNWH,LOME,0,30
NPTU,LONG BEACH,0,30
NSAN,LOS ANGELES,0,30
PAXM,MANILA,0,30
PCFC,MANZANILLO,0,30
PCFG,MANZANILLO,0,30
PKVP,MASAN,0,30
PPSH,MAYPORT NAVAL ST,0,30
QCFF,MIAMI,0,30
QHPB,JEBEL ALI,0,30
QHPD,MINA SAQR,0,30
QHPF,MINA ZAYED,0,30
QNPW,MOKPO,0,30
QTUP,MOREHEAD CITY,0,30
RCYQ,MUSCAT,0,30
RCYT,MUSCAT,0,30
RELG,NAGOYA,0,30
REPV,NAHA,0,30
RGJW,NAPLES,0,30
RQNK,NEW ORLEANS,0,30
RRHU,NEW YORK,0,30
RRRK,NEW YORK PORT EMB,0,30
RUAM,NEWPORT,0,30
RUAQ,NEWPORT T2,0,30
RULV,NEWPORT NEWS,0,30
SBEA,NORFOLK,0,30
SBEQ,NORFOLK T2,0,30
SERU,OAKLAND SEALAND T,0,30
SMXS,OSAKA,0,30
STRM,PALERMO,0,30
SVCN,PANAMA CITY,0,30
SYZZ,PEARL HARBOR NAD,0,30
TGWS,PARAIEVS,0,30
TKDW,POHANG,0,30
TNVX,PORT EVERGLADES,0,30
TNZY,PORT HUENEME NCBC,0,30
TPPR,PORT SAID,0,30
TPRW,PORT KELANG,0,30
TQKG,PORTLAND,0,30
TRZP,PRAIA DE VITORIA,0,30
TVJD,PUSAN MILITARY TE,0,30
TVXA,MINA QABOOS,0,30
TZL4,RAS AL MISHAB,0,30
TZYR,SALALAH MINA RAYS,0,30
UMXA,ROTA,0,30
UNAP,ROTTERDAM,0,30
UTAC,SAN DIEGO,0,30
UTVT,SAN JUAN,0,30
UULA,SAN PEDRO,0,30
UULB,SAN PEDRO,0,30
UULX,SAN PEDRO,0,30
UYQR,SASEBO,0,30
UZXJ,SAVANNAH,0,30
VFVN,SEATTLE,0,30
VKNP,SFAX,0,30
VPRF,SHIMIZU,0,30
VSNF,SINGAPORE,0,30
WMPT,SOUTHPORT MILITAR,0,30
WPAU,SYDNEY,0,30
WPVT,TACOMA,0,30
WQZM,TAKORADI,0,30
WTJG,TEMA,0,30
WYKZ,TOKYO,0,30
XEXW,TRIESTE,0,30
XRVJ,VALENCIA,0,30
XUDT,VANCOUVER,0,30
XVMN,VENICE,0,30
XVRV,VERACRUZ,0,30
XYNK,VILLA SAN GIOVANN,0,30
YRTK,WELLINGTON,0,30
ZBES,WILMINGTON,0,30
ZMJJ,YANTIAN PORT FAC,0,30
ZNMC,YOKOHAMA COMMERCI,0,30
ZSJC,ZHAPU,0,30
