SeaportGeoloc,TerminalGeoloc,Name
00A1,00A1,NW ATLANTIC
00IO,00IO,INDIAN OCEAN
00XT,00XT,WESTERN MED
AAPV,AAPV,ABIDJAN
ABFL,ABFL,AD DAMMAM
ADKH,ADKH,AL BAHRAYN MINA S
ADLS,ADLS,AL MAHDIYAH
AELU,AELU,ALEXANDRIA
AEQT,AEQT,ALGECIRAS
AJGX,AJGX,ANCONA
ALRF,ALRF,ANTWERP
AMCQ,AMCQ,APRA HARBOR
APFD,APFD,AS SUKHAYRAH
APGW,APGW,ASH SHUWAIKH COMM
AVBU,AVBU,BALTIMORE OUTPORT
AVYX,AVYX,BARCELONA
BBNV,BBNQ,BEAUMONT T2
BBNV,BBNV,BEAUMONT
BQWA,BQWA,MUHAMMAD QASIM
BSRL,BSRL,BIZERTE
CHCY,CHCY,BREMERHAVEN
CWCP,CWCP,CADIZ
CWGV,CWGV,CAGAYAN DE ORO
DKSD,DKSD,CHARLESTON
DRUG,DRUG,CHINHAE
EDME,EDME,COLOMBO
EGNN,EGNN,CONCORD
ENCN,ENCN,CORPUS CHRISTI NA
EZMU,EZMU,DAKAR
FGDB,FGDB,DIEGO GARCIA EAST
FGDD,FGDD,DIEGO GARCIA
FGTW,FGTW,DJERBA
FMAZ,FMAZ,DUBAI
FNLD,FNLD,DURBAN
FNSH,FNSH,DUTCH HARBOR
FQZF,FQZF,EARLE NWS
GPEN,GPEN,FELIXSTOWE
GWZP,GWZP,FOS
HAGC,HAGC,FREEPORT
HMGB,HMGB,FUJAIRAH
HNTS,HNTS,GABES
HUPR,HUPR,GENOVA
JJRP,JJRP,GRAVESEND
JSSN,JSSN,GUAM PORT
JTVH,JTVH,GULFPORT
JWJY,JWJY,HAIFA
JWTD,JWTD,HAKATA
JXKM,JXKM,HALIFAX
JYPN,JYPN,HAMBURG
KZPH,KZPH,HONG KONG ABERDEE
KZTZ,KZTZ,HONOLULU
LCMT,LCMT,HOUSTON
LKPE,LKPE,INDIAN ISLAND
LRNC,LRNC,IZMIR
LSGM,LSGM,JACKSONVILLE
LUTP,LUTP,JEDDAH
LWEV,LWEV,JUBAIL PORT
LYAP,LYAP,KANDLA
LYRV,LYRV,KAOHSIUNG TSOYING
LYTM,LYTM,KARACHI
MKAG,MKAG,KOBE
MLDL,MLDL,KOPER
MMGH,MMGH,KWANGYANG
MZJK,MZJK,LE HAVRE
NBDY,NBDY,LIVORNO
NLFL,NLFL,LIVERPOOL
NNWH,NNWH,LOME
NPTU,NPTU,LONG BEACH
NSAN,NSAN,LOS ANGELES
PAXM,PAXM,MANILA
PCFC,PCFC,MANZANILLO
PCFG,PCFG,MANZANILLO
PKVP,PKVP,MASAN
PPSH,PPSH,MAYPORT NAVAL ST
QCFF,QCFF,MIAMI
QHPB,QHPB,JEBEL ALI
QHPD,QHPD,MINA SAQR
QHPF,QHPF,MINA ZAYED
QNPW,QNPW,MOKPO
QTUP,QTUP,MOREHEAD CITY
RCYQ,RCYQ,MUSCAT
RCYT,RCYT,MUSCAT
RELG,RELG,NAGOYA
REPV,REPV,NAHA
RGJW,RGJW,NAPLES
RQNK,RQNK,NEW ORLEANS
RRHU,RRHU,NEW YORK
RRRK,RRRK,NEW YORK PORT EMB
RUAM,RUAM,NEWPORT
RUAM,RUAQ,NEWPORT T2
RULV,RULV,NEWPORT NEWS
SBEA,SBEA,NORFOLK
SBEA,SBEQ,NORFOLK T2
SEA1,SEA1,TUNISIASEABASE
SERU,SERU,OAKLAND SEALAND T
SMXS,SMXS,OSAKA
STRM,STRM,PALERMO
SVCN,SVCN,PANAMA CITY
SYZZ,SYZZ,PEARL HARBOR NAD
TGWS,TGWS,PARAIEVS
TKDW,TKDW,POHANG
TNVX,TNVX,PORT EVERGLADES
TNZY,TNZY,PORT HUENEME NCBC
TPPR,TPPR,PORT SAID
TPRW,TPRW,PORT KELANG
TQKG,TQKG,PORTLAND
TRZP,TRZP,PRAIA DE VITORIA
TVJD,TVJD,PUSAN MILITARY TE
TVXA,TVXA,MINA QABOOS
TZL4,TZL4,RAS AL MISHAB
TZYR,TZYR,SALALAH MINA RAYS
UMXA,UMXA,ROTA
UNAP,UNAP,ROTTERDAM
UTAC,UTAC,SAN DIEGO
UTVT,UTVT,SAN JUAN
UULA,UULA,SAN PEDRO
UULB,UULB,SAN PEDRO
UULX,UULX,SAN PEDRO
UYQR,UYQR,SASEBO
UZXJ,UZXJ,SAVANNAH
VFVN,VFVN,SEATTLE
VKNP,VKNP,SFAX
VPRF,VPRF,SHIMIZU
VSNF,VSNF,SINGAPORE
WMPT,WMPT,SOUTHPORT MILITAR
WPAU,WPAU,SYDNEY
WPVT,WPVT,TACOMA
WQZM,WQZM,TAKORADI
WTJG,WTJG,TEMA
WYKZ,WYKZ,TOKYO
XEXW,XEXW,TRIESTE
XRVJ,XRVJ,VALENCIA
XUDT,XUDT,VANCOUVER
XVMN,XVMN,VENICE
XVRV,XVRV,VERACRUZ
XYNK,XYNK,VILLA SAN GIOVANN
YRTK,YRTK,WELLINGTON
ZBES,ZBES,WILMINGTON
ZMJJ,ZMJJ,YANTIAN PORT FAC
ZNMC,ZNMC,YOKOHAMA COMMERCI
ZSJC,ZSJC,ZHAPU
