Key,CommodityType,Day,Intensity
ABN,GEN-RESUPPLY,0,4
ABN,GEN-RESUPPLY,20,3
ABN,GEN-RESUPPLY,30,1
ABN,GEN-RESUPPLY,45,3
ABN,GEN-AMMO,0,4
ABN,GEN-AMMO,20,3
ABN,GEN-AMMO,45,2
ABN,GEN-AMMO,55,3
ABN,GEN-AMMO,75,4
ABN,GEN-POL,0,4
ABN,GEN-POL,20,3
ABN,GEN-POL,30,1
BIR EL ATER,GEN-RESUPPLY,0,4
BIR EL ATER,GEN-RESUPPLY,20,3
BIR EL ATER,GEN-RESUPPLY,30,1
BIR EL ATER,GEN-RESUPPLY,45,3
BIR EL ATER,GEN-AMMO,0,4
BIR EL ATER,GEN-AMMO,20,3
BIR EL ATER,GEN-AMMO,45,2
BIR EL ATER,GEN-AMMO,55,3
BIR EL ATER,GEN-AMMO,75,4
BIR EL ATER,GEN-POL,0,4
BIR EL ATER,GEN-POL,20,3
BIR EL ATER,GEN-POL,30,1
GABES,GEN-RESUPPLY,0,4
GABES,GEN-RESUPPLY,20,3
GABES,GEN-RESUPPLY,30,1
GABES,GEN-RESUPPLY,45,3
GABES,GEN-AMMO,0,4
GABES,GEN-AMMO,20,3
GABES,GEN-AMMO,45,2
GABES,GEN-AMMO,55,3
GABES,GEN-AMMO,75,4
GABES,GEN-POL,0,4
GABES,GEN-POL,20,3
GABES,GEN-POL,30,1
GABES (HNTM),GEN-RESUPPLY,0,4
GABES (HNTM),GEN-RESUPPLY,20,3
GABES (HNTM),GEN-RESUPPLY,30,1
GABES (HNTM),GEN-RESUPPLY,45,3
GABES (HNTM),GEN-AMMO,0,4
GABES (HNTM),GEN-AMMO,20,3
GABES (HNTM),GEN-AMMO,45,2
GABES (HNTM),GEN-AMMO,55,3
GABES (HNTM),GEN-AMMO,75,4
GABES (HNTM),GEN-POL,0,4
GABES (HNTM),GEN-POL,20,3
GABES (HNTM),GEN-POL,30,1
GABES (HNTS),GEN-RESUPPLY,0,4
GABES (HNTS),GEN-RESUPPLY,20,3
GABES (HNTS),GEN-RESUPPLY,30,1
GABES (HNTS),GEN-RESUPPLY,45,3
GABES (HNTS),GEN-AMMO,0,4
GABES (HNTS),GEN-AMMO,20,3
GABES (HNTS),GEN-AMMO,45,2
GABES (HNTS),GEN-AMMO,55,3
GABES (HNTS),GEN-AMMO,75,4
GABES (HNTS),GEN-POL,0,4
