Key,CommodityType,PercentSat,MinOrderQty,LocalSafetyLevel,StockageBuildupIntensity,PlanningLogActive
ABN,GEN-RESUPPLY,0,10,3,3,false
ABN,GEN-AMMO,0,5000,0,3,false
ABN,GEN-POL,0,5000,0,3,false
BIR EL ATER,GEN-RESUPPLY,0,500,3,3,false
BIR EL ATER,GEN-AMMO,0,5000,0,3,false
BIR EL ATER,GEN-POL,0,5000,0,3,false
GABES,GEN-RESUPPLY,0,50,3,3,false
GABES,GEN-AMMO,0,5000,0,3,false
GABES,GEN-POL,0,5000,0,3,false
GABES (HNTM),GEN-RESUPPLY,0,50,3,3,false
GABES (HNTM),GEN-AMMO,0,5000,0,3,false
GABES (HNTM),GEN-POL,0,5000,0,3,false
GABES (HNTS),GEN-RESUPPLY,0,50,3,3,false
GABES (HNTS),GEN-AMMO,0,5000,0,3,false
GABES (HNTS),GEN-POL,0,5000,0,3,false
GAFSA,GEN-RESUPPLY,0,50,3,3,false
GAFSA,GEN-AMMO,0,5000,0,3,false
GAFSA,GEN-POL,0,5000,0,3,false
JERBA-ZARZIS,GEN-RESUPPLY,0,50,3,3,false
JERBA-ZARZIS,GEN-AMMO,0,5000,0,3,false
JERBA-ZARZIS,GEN-POL,0,5000,0,3,false
MADANIYIN,GEN-RESUPPLY,0,50,3,3,false
MADANIYIN,GEN-AMMO,0,5000,0,3,false
MADANIYIN,GEN-POL,0,5000,0,3,false
MECHANICSBURG,GEN-RESUPPLY,0,5000,3,3,false
MECHANICSBURG,GEN-AMMO,0,5000,0,3,false
MECHANICSBURG,GEN-POL,0,5000,0,3,false
PHILADELPHIA,GEN-RESUPPLY,0,5000,3,3,false
PHILADELPHIA,GEN-AMMO,0,5000,0,3,false
PHILADELPHIA,GEN-POL,0,5000,0,3,false
SEABASE,GEN-RESUPPLY,0,50,3,3,false
SEABASE,GEN-AMMO,0,5000,0,3,false
SEABASE,GEN-POL,0,5000,0,3,false
SFAX,GEN-RESUPPLY,0,50,3,3,false
SFAX,GEN-AMMO,0,5000,0,3,false
SFAX,GEN-POL,0,5000,0,3,false
SIGONELLA,GEN-RESUPPLY,0,50,3,3,false
SIGONELLA,GEN-AMMO,0,5000,0,3,false
SIGONELLA,GEN-POL,0,5000,0,3,false
TEBESSA,GEN-RESUPPLY,0,50,3,3,false
TEBESSA,GEN-AMMO,0,5000,0,3,false
TEBESSA,GEN-POL,0,5000,0,3,false
THYNA-EL MAOU,GEN-RESUPPLY,0,50,3,3,false
THYNA-EL MAOU,GEN-AMMO,0,5000,0,3,false
THYNA-EL MAOU,GEN-POL,0,5000,0,3,false
