Organization,CommodityType,Day,StorageCapacity
ABN,GEN-RESUPPLY,0,999999
ABN,GEN-AMMO,0,999999
ABN,GEN-POL,0,999999
BIR EL ATER,GEN-RESUPPLY,0,999999
BIR EL ATER,GEN-AMMO,0,999999
BIR EL ATER,GEN-POL,0,999999
GABES,GEN-RESUPPLY,0,999999
GABES,GEN-AMMO,0,999999
GABES,GEN-POL,0,999999
GABES (HNTM),GEN-RESUPPLY,0,999999
GABES (HNTM),GEN-AMMO,0,999999
GABES (HNTM),GEN-POL,0,999999
GABES (HNTS),GEN-RESUPPLY,0,999999
GABES (HNTS),GEN-AMMO,0,999999
GABES (HNTS),GEN-POL,0,999999
GAFSA,GEN-RESUPPLY,0,999999
GAFSA,GEN-AMMO,0,999999
GAFSA,GEN-POL,0,999999
JERBA-ZARZIS,GEN-RESUPPLY,0,999999
JERBA-ZARZIS,GEN-AMMO,0,999999
JERBA-ZARZIS,GEN-POL,0,999999
MADANIYIN,GEN-RESUPPLY,0,999999
MADANIYIN,GEN-AMMO,0,999999
MADANIYIN,GEN-POL,0,999999
MECHANICSBURG,GEN-RESUPPLY,0,999999
MECHANICSBURG,GEN-AMMO,0,999999
MECHANICSBURG,GEN-POL,0,999999
PHILADELPHIA,GEN-RESUPPLY,0,999999
PHILADELPHIA,GEN-AMMO,0,999999
PHILADELPHIA,GEN-POL,0,999999
SEABASE,GEN-RESUPPLY,0,999999
SEABASE,GEN-AMMO,0,999999
SEABASE,GEN-POL,0,999999
SFAX,GEN-RESUPPLY,0,999999
SFAX,GEN-AMMO,0,999999
SFAX,GEN-POL,0,999999
SIGONELLA,GEN-RESUPPLY,0,999999
SIGONELLA,GEN-AMMO,0,999999
SIGONELLA,GEN-POL,0,999999
TEBESSA,GEN-RESUPPLY,0,999999
TEBESSA,GEN-AMMO,0,999999
TEBESSA,GEN-POL,0,999999
THYNA-EL MAOU,GEN-RESUPPLY,0,999999
THYNA-EL MAOU,GEN-AMMO,0,999999
THYNA-EL MAOU,GEN-POL,0,999999
