ConsumingOrg,CommodityType,Day,SupplyingOrg,DaysOfSupply
ABN,GEN-RESUPPLY,0,ABN,5
ABN,GEN-AMMO,0,ABN,0
ABN,GEN-POL,0,ABN,0
BIR EL ATER,GEN-RESUPPLY,0,BIR EL ATER,5
BIR EL ATER,GEN-AMMO,0,BIR EL ATER,0
BIR EL ATER,GEN-POL,0,BIR EL ATER,0
GABES,GEN-RESUPPLY,0,GABES,5
GABES,GEN-AMMO,0,GABES,0
GABES,GEN-POL,0,GABES,0
GABES (HNTM),GEN-RESUPPLY,0,GABES (HNTM),5
GABES (HNTM),GEN-AMMO,0,GABES (HNTM),0
GABES (HNTM),GEN-POL,0,GABES (HNTM),0
GABES (HNTS),GEN-RESUPPLY,0,GABES (HNTS),5
GABES (HNTS),GEN-AMMO,0,GABES (HNTS),0
GABES (HNTS),GEN-POL,0,GABES (HNTS),0
GAFSA,GEN-RESUPPLY,0,GAFSA,5
GAFSA,GEN-AMMO,0,GAFSA,0
GAFSA,GEN-POL,0,GAFSA,0
JERBA-ZARZIS,GEN-RESUPPLY,0,JERBA-ZARZIS,5
JERBA-ZARZIS,GEN-AMMO,0,JERBA-ZARZIS,0
JERBA-ZARZIS,GEN-POL,0,JERBA-ZARZIS,0
MADANIYIN,GEN-RESUPPLY,0,MADANIYIN,5
MADANIYIN,GEN-AMMO,0,MADANIYIN,0
MADANIYIN,GEN-POL,0,MADANIYIN,0
MECHANICSBURG,GEN-RESUPPLY,0,MECHANICSBURG,0
MECHANICSBURG,GEN-AMMO,0,MECHANICSBURG,0
MECHANICSBURG,GEN-POL,0,MECHANICSBURG,0
PHILADELPHIA,GEN-RESUPPLY,0,PHILADELPHIA,0
PHILADELPHIA,GEN-AMMO,0,PHILADELPHIA,0
PHILADELPHIA,GEN-POL,0,PHILADELPHIA,0
SEABASE,GEN-RESUPPLY,0,SEABASE,5
SEABASE,GEN-AMMO,0,SEABASE,0
SEABASE,GEN-POL,0,SEABASE,0
SFAX,GEN-RESUPPLY,0,SFAX,5
SFAX,GEN-AMMO,0,SFAX,0
SFAX,GEN-POL,0,SFAX,0
SIGONELLA,GEN-RESUPPLY,0,SIGONELLA,5
SIGONELLA,GEN-AMMO,0,SIGONELLA,0
SIGONELLA,GEN-POL,0,SIGONELLA,0
TEBESSA,GEN-RESUPPLY,0,TEBESSA,5
TEBESSA,GEN-AMMO,0,TEBESSA,0
TEBESSA,GEN-POL,0,TEBESSA,0
THYNA-EL MAOU,GEN-RESUPPLY,0,THYNA-EL MAOU,5
THYNA-EL MAOU,GEN-AMMO,0,THYNA-EL MAOU,0
THYNA-EL MAOU,GEN-POL,0,THYNA-EL MAOU,0
